Data Contributors,,,
,,,
FTC,,,
Year,Data Contributor,# of Reports,%
2017,"U.S. Department of the Treasury, Internal Revenue Service","22,435",0.77%
2017,National Consumer League,"3,634",0.13%
2017,Others,"10,364",0.36%
2017,Scam Detector,"4,556",0.16%
2017,"Canada, Competition Bureau",269,0.01%
2018,U.S. Department of Education,"30,703",0.99%
2018,PrivacyStar,"374,054",12.05%
2018,U.S. Postal Inspection Service,"16,949",0.55%
2018,Utilities United Against Scams,"6,399",0.21%
2018,AARP Fraud Watch Network,"6,257",0.20%
2018,"U.S. Department of the Treasury, Internal Revenue Service","24,585",0.79%
2018,National Consumer League,"4,384",0.14%
2018,Others,"10,338",0.33%
2018,Scam Detector,"3,364",0.11%
2018,"Canada, Competition Bureau","1,594",0.05%
2019,U.S. Department of Education,"41,176",1.29%
2019,PrivacyStar,"32,894",1.03%
2019,U.S. Postal Inspection Service,"18,270",0.57%
2019,Utilities United Against Scams,"11,876",0.37%
2019,AARP Fraud Watch Network,"10,115",0.32%
2019,"U.S. Department of the Treasury, Internal Revenue Service","4,121",0.13%
2019,National Consumer League,"4,116",0.13%
2019,Others,"3,459",0.11%
2019,Scam Detector,"2,903",0.09%
2019,"Canada, Competition Bureau","1,971",0.06%
,,,
State Law Enforcement Agencies,,,
Year,Data Contributor,# of Reports,%
2017,"Ohio, Attorney General","12,995",0.45%
2017,"Pennsylvania, Attorney General","9,284",0.32%
2017,"New York, Attorney General","11,167",0.38%
2017,"Wisconsin, Department of Agriculture, Trade, and Consumer Protection","8,033",0.28%
2017,"North Carolina, Department of Justice","8,533",0.29%
2017,"Washington, Attorney General","10,485",0.36%
2017,"Massachusetts, Attorney General","1,978",0.07%
2017,"Maine, Attorney General","5,936",0.20%
2017,"Michigan, Attorney General","3,201",0.11%
2017,"Indiana, Attorney General","3,552",0.12%
2017,"Nebraska, Attorney General","4,229",0.15%
2017,"Louisiana, Attorney General","5,400",0.19%
2017,"Oregon, Department of Justice","2,087",0.07%
2017,"Iowa, Attorney General","1,025",0.04%
2017,"Tennessee, Department of Commerce and Insurance, Consumer Affairs Division","1,553",0.05%
2017,"South Carolina, Department of Consumer Affairs","1,808",0.06%
2017,"Mississippi, Attorney General",90,0.00%
2017,"Idaho, Attorney General",606,0.02%
2017,"Colorado, Attorney General",700,0.02%
2017,"Alaska, Attorney General",299,0.01%
2017,"Hawaii, Office of Consumer Protection",169,0.01%
2017,"Nevada, Attorney General",386,0.01%
2017,"Montana, Attorney General",429,0.01%
2018,"Ohio, Attorney General","22,384",0.72%
2018,"Pennsylvania, Attorney General","13,340",0.43%
2018,"New York, Attorney General","9,850",0.32%
2018,"Wisconsin, Department of Agriculture, Trade, and Consumer Protection","5,899",0.19%
2018,"North Carolina, Department of Justice","9,917",0.32%
2018,"Washington, Attorney General","8,549",0.28%
2018,"Massachusetts, Attorney General","14,659",0.47%
2018,"Maine, Attorney General","4,857",0.16%
2018,"Michigan, Attorney General","3,886",0.13%
2018,"Indiana, Attorney General","3,680",0.12%
2018,"Nebraska, Attorney General","3,130",0.10%
2018,"Louisiana, Attorney General","4,028",0.13%
2018,"Oregon, Department of Justice","2,052",0.07%
2018,"Iowa, Attorney General",196,0.01%
2018,"Tennessee, Department of Commerce and Insurance, Consumer Affairs Division","1,496",0.05%
2018,"South Carolina, Department of Consumer Affairs","2,550",0.08%
2018,"Mississippi, Attorney General",309,0.01%
2018,"Idaho, Attorney General",814,0.03%
2018,"Colorado, Attorney General",727,0.02%
2018,"Alaska, Attorney General",309,0.01%
2018,"Hawaii, Office of Consumer Protection",227,0.01%
2018,"Nevada, Attorney General",148,0.00%
2018,"Montana, Attorney General",186,0.01%
2019,"Ohio, Attorney General","21,050",0.66%
2019,"Pennsylvania, Attorney General","12,526",0.39%
2019,"New York, Attorney General","12,419",0.39%
2019,"Wisconsin, Department of Agriculture, Trade, and Consumer Protection","9,427",0.29%
2019,"North Carolina, Department of Justice","9,229",0.29%
2019,"Washington, Attorney General","8,416",0.26%
2019,"Massachusetts, Attorney General","6,382",0.20%
2019,"Maine, Attorney General","5,443",0.17%
2019,"Michigan, Attorney General","4,969",0.16%
2019,"Indiana, Attorney General","3,716",0.12%
2019,"Nebraska, Attorney General","3,393",0.11%
2019,"Louisiana, Attorney General","2,717",0.08%
2019,"Oregon, Department of Justice","2,540",0.08%
2019,"Iowa, Attorney General","2,536",0.08%
2019,"Tennessee, Department of Commerce and Insurance, Consumer Affairs Division","1,887",0.06%
2019,"South Carolina, Department of Consumer Affairs","1,523",0.05%
2019,"Mississippi, Attorney General",691,0.02%
2019,"Idaho, Attorney General",675,0.02%
2019,"Colorado, Attorney General",575,0.02%
2019,"Alaska, Attorney General",301,0.01%
2019,"Hawaii, Office of Consumer Protection",201,0.01%
2019,"Nevada, Attorney General",144,0.00%
2019,"Montana, Attorney General",33,0.00%
,,,
"Percentages are based on the total number of Sentinel reports in 2017 (2,904,329), 2018 (3,104,375), and 2019 (3,200,329).",,,
,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,
