State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Maine,Loan or Lease Fraud,46,6%
Maryland,Credit Card Fraud,5123,40%
Maryland,Other Identity Theft,"4,673",37%
Maryland,Loan or Lease Fraud,"2,059",16%
Maryland,Phone or Utilities Fraud,2003,16%
Maryland,Bank Fraud,1267,10%
Maryland,Employment or Tax-Related Fraud,687,5%
Maryland,Government Documents or Benefits Fraud,369,3%
Massachusetts,Credit Card Fraud,3378,39%
Massachusetts,Other Identity Theft,"3,034",35%
Massachusetts,Phone or Utilities Fraud,1049,12%
Massachusetts,Bank Fraud,1026,12%
Massachusetts,Employment or Tax-Related Fraud,619,7%
Massachusetts,Loan or Lease Fraud,587,7%
Massachusetts,Government Documents or Benefits Fraud,295,3%
Michigan,Credit Card Fraud,"4,687",35%
Michigan,Other Identity Theft,"4,055",30%
Michigan,Phone or Utilities Fraud,"3,093",23%
Michigan,Loan or Lease Fraud,"1,613",12%
Michigan,Bank Fraud,1304,10%
Michigan,Employment or Tax-Related Fraud,978,7%
Michigan,Government Documents or Benefits Fraud,554,4%
Minnesota,Credit Card Fraud,2248,50%
Minnesota,Other Identity Theft,940,21%
Minnesota,Bank Fraud,692,15%
Minnesota,Phone or Utilities Fraud,566,13%
Minnesota,Loan or Lease Fraud,407,9%
Minnesota,Employment or Tax-Related Fraud,334,7%
Minnesota,Government Documents or Benefits Fraud,186,4%
Mississippi,Other Identity Theft,1991,42%
Mississippi,Credit Card Fraud,1535,33%
Mississippi,Loan or Lease Fraud,1271,27%
Mississippi,Phone or Utilities Fraud,534,11%
Mississippi,Bank Fraud,367,8%
Mississippi,Employment or Tax-Related Fraud,317,7%
Mississippi,Government Documents or Benefits Fraud,173,4%
Missouri,Credit Card Fraud,2514,34%
Missouri,Other Identity Theft,"2,504",34%
Missouri,Loan or Lease Fraud,1361,18%
Missouri,Phone or Utilities Fraud,1214,16%
Missouri,Bank Fraud,1011,14%
Missouri,Employment or Tax-Related Fraud,579,8%
Missouri,Government Documents or Benefits Fraud,334,5%
Montana,Credit Card Fraud,249,35%
Montana,Phone or Utilities Fraud,182,26%
Montana,Other Identity Theft,162,23%
Montana,Bank Fraud,91,13%
Montana,Employment or Tax-Related Fraud,63,9%
Montana,Government Documents or Benefits Fraud,60,8%
Montana,Loan or Lease Fraud,38,5%
Nebraska,Credit Card Fraud,456,35%
Nebraska,Other Identity Theft,327,25%
Nebraska,Bank Fraud,232,18%
Nebraska,Employment or Tax-Related Fraud,215,16%
Nebraska,Phone or Utilities Fraud,194,15%
Nebraska,Loan or Lease Fraud,115,9%
Nebraska,Government Documents or Benefits Fraud,90,7%
Nevada,Other Identity Theft,3226,42%
Nevada,Credit Card Fraud,"2,908",37%
Nevada,Loan or Lease Fraud,1059,14%
Nevada,Phone or Utilities Fraud,758,10%
Nevada,Bank Fraud,688,9%
Nevada,Employment or Tax-Related Fraud,516,7%
Nevada,Government Documents or Benefits Fraud,259,3%
New Hampshire,Credit Card Fraud,594,46%
New Hampshire,Phone or Utilities Fraud,345,26%
New Hampshire,Other Identity Theft,246,19%
New Hampshire,Bank Fraud,162,12%
New Hampshire,Loan or Lease Fraud,74,6%
New Hampshire,Employment or Tax-Related Fraud,55,4%
New Hampshire,Government Documents or Benefits Fraud,53,4%
New Jersey,Credit Card Fraud,"9,765",54%
New Jersey,Other Identity Theft,"4,398",24%
New Jersey,Loan or Lease Fraud,"2,345",13%
New Jersey,Phone or Utilities Fraud,2337,13%
New Jersey,Bank Fraud,1486,8%
New Jersey,Employment or Tax-Related Fraud,985,5%
New Jersey,Government Documents or Benefits Fraud,642,4%
New Mexico,Credit Card Fraud,711,34%
New Mexico,Other Identity Theft,512,25%
New Mexico,Bank Fraud,348,17%
New Mexico,Employment or Tax-Related Fraud,312,15%
New Mexico,Phone or Utilities Fraud,277,13%
New Mexico,Loan or Lease Fraud,271,13%
New Mexico,Government Documents or Benefits Fraud,140,7%
New York,Credit Card Fraud,"18,790",52%
New York,Other Identity Theft,"8,941",25%
New York,Phone or Utilities Fraud,"4,589",13%
New York,Loan or Lease Fraud,"4,431",12%
New York,Bank Fraud,"3,590",10%
New York,Employment or Tax-Related Fraud,"1,891",5%
New York,Government Documents or Benefits Fraud,"1,263",3%
North Carolina,Other Identity Theft,"7,661",41%
North Carolina,Credit Card Fraud,"6,791",37%
North Carolina,Loan or Lease Fraud,"3,416",18%
North Carolina,Phone or Utilities Fraud,2338,13%
North Carolina,Bank Fraud,"1,301",7%
North Carolina,Employment or Tax-Related Fraud,913,5%
North Carolina,Government Documents or Benefits Fraud,586,3%
North Dakota,Credit Card Fraud,191,43%
North Dakota,Other Identity Theft,105,23%
North Dakota,Loan or Lease Fraud,71,16%
North Dakota,Phone or Utilities Fraud,69,15%
North Dakota,Bank Fraud,66,15%
North Dakota,Employment or Tax-Related Fraud,33,7%
North Dakota,Government Documents or Benefits Fraud,19,4%
Ohio,Credit Card Fraud,"5,634",41%
Ohio,Other Identity Theft,"4,183",30%
Ohio,Phone or Utilities Fraud,"2,332",17%
Ohio,Loan or Lease Fraud,1873,14%
Ohio,Bank Fraud,"1,472",11%
Ohio,Employment or Tax-Related Fraud,990,7%
Ohio,Government Documents or Benefits Fraud,531,4%
Oklahoma,Credit Card Fraud,1291,35%
Oklahoma,Other Identity Theft,1038,28%
Oklahoma,Bank Fraud,552,15%
Oklahoma,Phone or Utilities Fraud,475,13%
Oklahoma,Loan or Lease Fraud,462,12%
Oklahoma,Government Documents or Benefits Fraud,406,11%
Oklahoma,Employment or Tax-Related Fraud,381,10%
Oregon,Credit Card Fraud,1530,38%
Oregon,Other Identity Theft,917,23%
Oregon,Phone or Utilities Fraud,824,21%
Oregon,Bank Fraud,657,16%
Oregon,Employment or Tax-Related Fraud,349,9%
Oregon,Loan or Lease Fraud,333,8%
Oregon,Government Documents or Benefits Fraud,251,6%
Pennsylvania,Credit Card Fraud,"8,155",39%
Pennsylvania,Other Identity Theft,"6,731",32%
Pennsylvania,Phone or Utilities Fraud,"3,395",16%
Pennsylvania,Loan or Lease Fraud,2880,14%
Pennsylvania,Bank Fraud,"2,011",10%
Pennsylvania,Employment or Tax-Related Fraud,"1,309",6%
Pennsylvania,Government Documents or Benefits Fraud,861,4%
Puerto Rico,Employment or Tax-Related Fraud,623,38%
Puerto Rico,Credit Card Fraud,374,23%
Puerto Rico,Other Identity Theft,303,19%
Puerto Rico,Phone or Utilities Fraud,267,16%
Puerto Rico,Loan or Lease Fraud,135,8%
Puerto Rico,Government Documents or Benefits Fraud,76,5%
Puerto Rico,Bank Fraud,62,4%
Rhode Island,Credit Card Fraud,459,40%
Rhode Island,Other Identity Theft,317,28%
Rhode Island,Phone or Utilities Fraud,196,17%
Rhode Island,Bank Fraud,143,12%
Rhode Island,Loan or Lease Fraud,99,9%
Rhode Island,Employment or Tax-Related Fraud,97,8%
Rhode Island,Government Documents or Benefits Fraud,62,5%
South Carolina,Other Identity Theft,4737,44%
South Carolina,Credit Card Fraud,"3,698",34%
South Carolina,Loan or Lease Fraud,2543,23%
South Carolina,Phone or Utilities Fraud,1533,14%
South Carolina,Bank Fraud,770,7%
