Fraud Reports by Amount Lost,,
,,
Number of Fraud Reports,"1,697,934",
Reports with $ Loss,"388,588",23% of the total
Total $ Loss,"$1,901,064,357 ",
Median $ Loss,$320 ,
,,
"Reported Fraud Losses in $1 - $10,000 + Range",,
Amount Lost,# of Reports,
"$1 - $1,000","283,419",
"$1,001 - $2,000","36,202",
"$2,001 - $3,000","16,161",
"$3,001 - $4,000","8,590",
"$4,001 - $5,000","6,779",
"$5,001 - $6,000","3,834",
"$6,001 - $7,000","2,852",
"$7,001 - $8,000","2,625",
"$8,001 - $9,000","1,820",
"$9,001 - $10,000","2,872",
"More than $10,000","23,434",
,,
"Reported Fraud Losses in $1 - $1,000 Range",,
Amount Lost ,# of Reports,
$1 - $100,"107,438",
$101 - $200,"51,454",
$201 - $300,"31,280",
$301 - $400,"21,636",
$401 - $500,"20,164",
$501 - $600,"13,280",
$601 - $700,"9,782",
$701 - $800,"9,572",
$801 - $900,"6,811",
"$901 - $1,000","12,002",
,,
"The amount lost is based on reports in which consumers indicated they lost between $1 and $999,999. ",,
,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,
