Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2017,Advance Payments for Credit Services,"Advance-Fee Loans, Credit Arrangers","14,911",0.51%
2017,Advance Payments for Credit Services,Credit Card Loss Protection,193,0.01%
2017,Advance Payments for Credit Services,Credit Repair,"2,438",0.08%
2017,Advance Payments for Credit Services,Recovery\Refund Companies,531,0.02%
2017,Auto Related,Auto: Financing,"8,942",0.31%
2017,Auto Related,Auto: Gas,162,0.01%
2017,Auto Related,Auto: Parts & Repairs,"7,111",0.24%
2017,Auto Related,Auto: Renting & Leasing,"11,108",0.38%
2017,Auto Related,Auto: Sales – New,"36,649",1.26%
2017,Auto Related,Auto: Sales – Used,"27,449",0.95%
2017,Auto Related,Auto: Warranty Plans & Services,"5,346",0.18%
2017,Banks and Lenders,"Banks, Savings & Loans, and Credit Unions","46,078",1.59%
2017,Banks and Lenders,Lending: Auto Title Loans,847,0.03%
2017,Banks and Lenders,Lending: Banks & Credit Unions,268,0.01%
2017,Banks and Lenders,Lending: Finance Company,"7,589",0.26%
2017,Banks and Lenders,Lending: Mortgage,"42,941",1.48%
2017,Banks and Lenders,Lending: Other Institutions,"9,922",0.34%
2017,Banks and Lenders,Lending: Payday Loans,"7,055",0.24%
2017,Banks and Lenders,Lending: Student Loans,"39,806",1.37%
2017,Business and Job Opportunities,Business Opportunities\Work-At-Home Plans,"9,405",0.32%
2017,Business and Job Opportunities,Employ Agencies\Job Counsel\Overseas Work,"8,214",0.28%
2017,Business and Job Opportunities,Franchises\Distributorships*,396,0.01%
2017,Business and Job Opportunities,Inventions\Idea Promotions,982,0.03%
2017,Business and Job Opportunities,Multi-Level Mktg\Pyramids\Chain Letters,"1,579",0.05%
2017,Charitable Solicitations,Charitable Solicitations,"3,906",0.13%
2017,Computer Equipment and Software,Computers: Equipment\Software,"19,856",0.68%
2017,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"109,125",3.76%
2017,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,731,0.03%
2017,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,160,0.01%
2017,Credit Cards,Credit Cards,"47,399",1.63%
2017,Debt Collection,Creditor Debt Collection,"26,325",0.91%
2017,Debt Collection,Third Party Debt Collection,"600,363",20.67%
2017,Education,Education: Colleges and Universities,"5,852",0.20%
2017,Education,Education: Trade\Vocational Schools,"2,512",0.09%
2017,Foreign Money Offers and Counterfeit Check Scams,Counterfeit Check Scams,"25,307",0.87%
2017,Foreign Money Offers and Counterfeit Check Scams,Nigerian\Other Foreign Money Offers (not prizes),"6,836",0.24%
2017,Funeral Services,Funeral Services,"1,160",0.04%
2017,Grants,Grants: Non-Educational,"5,157",0.18%
2017,Grants,Scholarships\Educational Grants,771,0.03%
2017,Health Care,Connected Consumer Devices: Activity\Healthcare Trackers*,11,0.00%
2017,Health Care,Health Care: Diet Products\Centers\Plans,"10,250",0.35%
2017,Health Care,Health Care: Dietary Supplements\Herbal Remedies,"2,944",0.10%
2017,Health Care,Health Care: Drugs-OTC\Prescription,945,0.03%
2017,Health Care,Health Care: Eye Care*,"3,451",0.12%
2017,Health Care,Health Care: Medical Discount Plans\Cards\Insurance,"4,008",0.14%
2017,Health Care,Health Care: Other Medical Treatments*,"5,126",0.18%
2017,Health Care,Health Care: Other Products\Supplies*,"8,695",0.30%
2017,"Home Repair, Improvement and Products",Home Appliances,"1,709",0.06%
2017,"Home Repair, Improvement and Products",Home Furnishings,"1,083",0.04%
2017,"Home Repair, Improvement and Products",Home Protection Devices,664,0.02%
2017,"Home Repair, Improvement and Products",Home Repair,"3,408",0.12%
2017,"Home Repair, Improvement and Products",Housing,"4,192",0.14%
2017,Identity Theft,Identity Theft,"370,917",12.77%
2017,Imposter Scams,Imposter: Business,"83,238",2.87%
2017,Imposter Scams,Imposter: Family\Friend,"18,941",0.65%
2017,Imposter Scams,Imposter: Government,"190,309",6.55%
2017,Imposter Scams,Romance Scams,"16,920",0.58%
2017,Imposter Scams,Tech Support Scams,"154,742",5.33%
2017,Internet Auction,Internet Auction,"2,316",0.08%
2017,Internet Services,Broadband Internet Services and Content: Cost*,6,0.00%
2017,Internet Services,Broadband Internet Services and Content: Internet Access*,1,0.00%
2017,Internet Services,Broadband Internet Services and Content: Internet Speed*,1,0.00%
2017,Internet Services,Internet Access Services,"6,332",0.22%
2017,Internet Services,Internet Information Services,"23,488",0.81%
2017,Internet Services,Internet Web Site Design\Promotion,"3,452",0.12%
2017,Internet Services,Malware and Computer Exploits,"1,843",0.06%
2017,Internet Services,Online Payment Services,"3,983",0.14%
2017,Internet Services,Social Networking Service,"7,075",0.24%
2017,Internet Services,Video and Internet Gaming\Virtual Reality*,"4,421",0.15%
2017,Investment Related,"Invest: Advice, Seminars","7,053",0.24%
2017,Investment Related,Invest: Art\Gems\Rare Coins,609,0.02%
2017,Investment Related,Invest: Other (note in comments),"7,076",0.24%
2017,Investment Related,Invest: Stocks\Commodity Futures Trading,"1,322",0.05%
2017,Magazines and Books,Books and Magazines,"5,895",0.20%
2017,Miscellaneous Reports,Children's Products,"1,238",0.04%
2017,Miscellaneous Reports,Food,687,0.02%
2017,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",429,0.01%
2017,Miscellaneous Reports,Health Care Provider Billing,"1,020",0.04%
2017,Miscellaneous Reports,Immigration Services,"1,318",0.05%
2017,Miscellaneous Reports,Insurance (Other than Medical),"1,679",0.06%
2017,Miscellaneous Reports,Jewelry\Watches,"2,904",0.10%
2017,Miscellaneous Reports,Leasing: Business,280,0.01%
2017,Miscellaneous Reports,Modeling Agencies\Services,235,0.01%
2017,Miscellaneous Reports,Personal Care Products,"1,418",0.05%
2017,Miscellaneous Reports,Property\Inheritance Tracers,176,0.01%
2017,Miscellaneous Reports,Real Estate (not Timeshares),"3,177",0.11%
2017,Miscellaneous Reports,Tobacco Products,592,0.02%
2017,Miscellaneous Reports,Utilities,"1,156",0.04%
2017,Mortgage Foreclosure Relief and Debt Management,Debt Management\Credit Counseling,"7,508",0.26%
2017,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification\Foreclosure Relief,"2,302",0.08%
2017,Office Supplies and Services,Office Supplies and Services,"2,393",0.08%
2017,Office Supplies and Services,Office: Ad Space\Directory Listings,"5,179",0.18%
2017,Online Shopping and Negative Reviews,Online Shopping,"133,934",4.61%
2017,"Prizes, Sweepstakes and Lotteries",Prizes\Sweepstakes\Lotteries,"143,140",4.93%
2017,Tax Preparers,Tax Preparers,"3,739",0.13%
2017,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services","50,569",1.74%
2017,Telephone and Mobile Services,Mobile: Applications\Other Downloads,"1,626",0.06%
2017,Telephone and Mobile Services,Mobile: Carrier Rates\Plans,"5,022",0.17%
2017,Telephone and Mobile Services,Mobile: Text Messages,"71,723",2.47%
2017,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits,"1,355",0.05%
2017,Telephone and Mobile Services,Telephone: Carrier Switching,400,0.01%
2017,Telephone and Mobile Services,Telephone: Other,"21,402",0.74%
2017,Telephone and Mobile Services,Telephone: Prepaid Phone Cards,"1,444",0.05%
2017,Telephone and Mobile Services,Telephone: Rates\Advertising,48,0.00%
2017,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits,468,0.02%
2017,Telephone and Mobile Services,Telephone: VoIP Services,671,0.02%
2017,Television and Electronic Media,Digital Media\Streaming,315,0.01%
2017,Television and Electronic Media,Television (Programming and Advertisements),"1,787",0.06%
2017,Television and Electronic Media,Television: Satellite & Cable,"44,703",1.54%
2017,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,455",0.08%
2017,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"6,571",0.23%
2017,"Travel, Vacations and Timeshare Plans",Travel\Vacations,"16,964",0.58%
2017,Unspecified Reports,Other (Note in Comments),"182,714",6.29%
2017,Unspecified Reports,Telemarketing Practices,"81,628",2.81%
2017,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products,"1,169",0.04%
2017,Unspecified Reports,Unsolicited Email,"16,319",0.56%
2018,Advance Payments for Credit Services,"Advance-Fee Loans, Credit Arrangers","16,840",0.54%
2018,Advance Payments for Credit Services,Credit Card Loss Protection,76,0.00%
2018,Advance Payments for Credit Services,Credit Repair,"3,126",0.10%
2018,Advance Payments for Credit Services,Recovery\Refund Companies,564,0.02%
2018,Auto Related,Auto: Financing,"10,289",0.33%
2018,Auto Related,Auto: Gas,345,0.01%
2018,Auto Related,Auto: Parts & Repairs,"21,052",0.68%
2018,Auto Related,Auto: Renting & Leasing,"9,883",0.32%
2018,Auto Related,Auto: Sales – New,"36,456",1.17%
2018,Auto Related,Auto: Sales – Used,"30,060",0.97%
2018,Auto Related,Auto: Warranty Plans & Services,"7,159",0.23%
2018,Banks and Lenders,"Banks, Savings & Loans, and Credit Unions","48,994",1.58%
2018,Banks and Lenders,Lending: Auto Title Loans,978,0.03%
2018,Banks and Lenders,Lending: Banks & Credit Unions,277,0.01%
2018,Banks and Lenders,Lending: Finance Company,"7,633",0.25%
2018,Banks and Lenders,Lending: Mortgage,"38,016",1.22%
2018,Banks and Lenders,Lending: Other Institutions,"9,135",0.29%
2018,Banks and Lenders,Lending: Payday Loans,"7,596",0.24%
2018,Banks and Lenders,Lending: Student Loans,"31,122",1.00%
2018,Business and Job Opportunities,Business Opportunities\Work-At-Home Plans,"13,077",0.42%
2018,Business and Job Opportunities,Employ Agencies\Job Counsel\Overseas Work,"9,966",0.32%
2018,Business and Job Opportunities,Franchises\Distributorships*,465,0.01%
2018,Business and Job Opportunities,Inventions\Idea Promotions,766,0.02%
2018,Business and Job Opportunities,Multi-Level Mktg\Pyramids\Chain Letters,"1,586",0.05%
2018,Charitable Solicitations,Charitable Solicitations,"4,483",0.14%
2018,Computer Equipment and Software,Computers: Equipment\Software,"19,202",0.62%
2018,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"137,204",4.42%
