Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Warner Robins, GA Metropolitan Statistical Area",661,"1,281"
2,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",570,"33,940"
3,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",556,"34,458"
4,"Macon-Bibb County, GA Metropolitan Statistical Area",455,"1,045"
5,"Memphis, TN-MS-AR Metropolitan Statistical Area",446,"6,027"
6,"Columbus, GA-AL Metropolitan Statistical Area",433,"1,322"
7,"Columbia, SC Metropolitan Statistical Area",411,"3,420"
8,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",410,"54,553"
9,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",367,"25,656"
10,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",367,"27,637"
11,"Shreveport-Bossier City, LA Metropolitan Statistical Area",349,"1,525"
12,"Sumter, SC Metropolitan Statistical Area",321,342
13,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",317,"2,347"
14,"New Orleans-Metairie, LA Metropolitan Statistical Area",313,"3,980"
15,"Killeen-Temple, TX Metropolitan Statistical Area",308,"1,393"
16,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",308,"6,876"
17,"Tallahassee, FL Metropolitan Statistical Area",295,"1,137"
18,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",277,"7,135"
19,"Fayetteville, NC Metropolitan Statistical Area",257,995
20,"Alexandria, LA Metropolitan Statistical Area",252,385
21,"Fresno, CA Metropolitan Statistical Area",251,"2,496"
22,"Montgomery, AL Metropolitan Statistical Area",248,927
23,"Brownsville-Harlingen, TX Metropolitan Statistical Area",245,"1,037"
24,"Birmingham-Hoover, AL Metropolitan Statistical Area",245,"2,817"
25,"Port St. Lucie, FL Metropolitan Statistical Area",243,"1,172"
26,"Greensboro-High Point, NC Metropolitan Statistical Area",239,"1,835"
27,"Greenville, NC Metropolitan Statistical Area",235,422
28,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",232,"5,955"
29,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",232,"14,124"
30,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",230,"46,030"
31,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",230,"1,630"
32,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",229,936
33,"Athens-Clarke County, GA Metropolitan Statistical Area",226,477
34,"Cleveland-Elyria, OH Metropolitan Statistical Area",226,"4,639"
35,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",225,"6,314"
36,"Florence, SC Metropolitan Statistical Area",223,458
37,"Jacksonville, FL Metropolitan Statistical Area",215,"3,305"
38,"Savannah, GA Metropolitan Statistical Area",215,836
39,"Tuscaloosa, AL Metropolitan Statistical Area",214,521
40,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",213,"20,245"
41,"Raleigh, NC Metropolitan Statistical Area",210,"2,864"
42,"Charleston-North Charleston, SC Metropolitan Statistical Area",210,"1,651"
43,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",210,"9,687"
44,"Sebring, FL Metropolitan Statistical Area",208,219
45,"Rocky Mount, NC Metropolitan Statistical Area",205,300
46,"Flint, MI Metropolitan Statistical Area",205,835
47,"East Stroudsburg, PA Metropolitan Statistical Area",205,347
48,"Vallejo-Fairfield, CA Metropolitan Statistical Area",203,908
49,"San Diego-Carlsbad, CA Metropolitan Statistical Area",203,"6,794"
50,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",203,"6,385"
51,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",201,"8,685"
52,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",198,"3,957"
53,"Lafayette, LA Metropolitan Statistical Area",196,960
54,"Bakersfield, CA Metropolitan Statistical Area",195,"1,753"
55,"Durham-Chapel Hill, NC Metropolitan Statistical Area",194,"1,118"
56,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",190,"9,003"
57,"Waco, TX Metropolitan Statistical Area",190,517
58,"Baton Rouge, LA Metropolitan Statistical Area",187,"1,553"
59,"Stockton-Lodi, CA Metropolitan Statistical Area",186,"1,402"
60,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",184,290
61,"St. Louis, MO-IL Metropolitan Statistical Area",183,"5,121"
62,"Brunswick, GA Metropolitan Statistical Area",182,216
63,"Salt Lake City, UT Metropolitan Statistical Area",182,"2,226"
64,"Pittsburgh, PA Metropolitan Statistical Area",181,"4,217"
65,"Albany, GA Metropolitan Statistical Area",181,277
66,"Trenton, NJ Metropolitan Statistical Area",179,663
67,"Burlington, NC Metropolitan Statistical Area",178,296
68,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",176,"8,574"
69,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",176,201
70,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",176,"1,049"
71,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",175,"10,938"
72,"Dunn, NC Micropolitan Statistical Area",172,231
73,"Dover, DE Metropolitan Statistical Area",170,304
74,"Ocala, FL Metropolitan Statistical Area",170,612
75,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",170,"2,933"
76,"Jackson, MS Metropolitan Statistical Area",169,979
77,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",166,"3,895"
78,"Mobile, AL Metropolitan Statistical Area",166,687
79,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",165,"1,496"
80,"Punta Gorda, FL Metropolitan Statistical Area",163,301
81,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",162,"1,407"
82,"Monroe, LA Metropolitan Statistical Area",161,285
83,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",160,"1,058"
84,"Gainesville, FL Metropolitan Statistical Area",160,462
85,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",160,791
86,"Richmond, VA Metropolitan Statistical Area",159,"2,082"
87,"Winston-Salem, NC Metropolitan Statistical Area",159,"1,069"
88,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",158,"2,490"
89,"Auburn-Opelika, AL Metropolitan Statistical Area",157,258
90,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",157,593
91,"Modesto, CA Metropolitan Statistical Area",154,848
92,"Austin-Round Rock, TX Metropolitan Statistical Area",154,"3,330"
93,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",152,"3,838"
94,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",152,331
95,"Lake Charles, LA Metropolitan Statistical Area",151,317
96,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",151,"1,138"
97,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",150,909
98,"Spartanburg, SC Metropolitan Statistical Area",149,509
99,"Corpus Christi, TX Metropolitan Statistical Area",148,670
100,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",148,"1,395"
101,"Wichita Falls, TX Metropolitan Statistical Area",147,223
102,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",144,"1,229"
103,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",143,"2,755"
104,"Santa Fe, NM Metropolitan Statistical Area",143,214
105,"Texarkana, TX-AR Metropolitan Statistical Area",141,212
106,"Hattiesburg, MS Metropolitan Statistical Area",141,210
107,"Goldsboro, NC Metropolitan Statistical Area",140,172
108,"Huntsville, AL Metropolitan Statistical Area",139,645
109,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",138,"2,831"
110,"Ann Arbor, MI Metropolitan Statistical Area",138,512
111,"Provo-Orem, UT Metropolitan Statistical Area",138,872
112,"Ogden-Clearfield, UT Metropolitan Statistical Area",137,924
113,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",136,"1,146"
114,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",136,"1,116"
115,"Midland, TX Metropolitan Statistical Area",136,242
116,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",136,"6,615"
117,"Tyler, TX Metropolitan Statistical Area",136,312
118,"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",135,752
119,"Rochester, NY Metropolitan Statistical Area",135,"1,441"
120,"Valdosta, GA Metropolitan Statistical Area",131,192
121,"Lumberton, NC Micropolitan Statistical Area",130,172
122,"St. George, UT Metropolitan Statistical Area",130,224
123,"Wilmington, NC Metropolitan Statistical Area",129,380
124,"Odessa, TX Metropolitan Statistical Area",129,209
125,"Yuba City, CA Metropolitan Statistical Area",128,223
126,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",127,337
127,"Hammond, LA Metropolitan Statistical Area",126,169
128,"Houma-Thibodaux, LA Metropolitan Statistical Area",125,262
129,"Colorado Springs, CO Metropolitan Statistical Area",125,925
130,"Rockford, IL Metropolitan Statistical Area",125,421
131,"Clarksville, TN-KY Metropolitan Statistical Area",124,363
132,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",124,"3,640"
133,"State College, PA Metropolitan Statistical Area",124,202
134,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",124,"1,494"
135,"New Haven-Milford, CT Metropolitan Statistical Area",123,"1,052"
136,"Albuquerque, NM Metropolitan Statistical Area",121,"1,112"
137,"Columbus, OH Metropolitan Statistical Area",121,"2,549"
138,"Lebanon, PA Metropolitan Statistical Area",120,170
139,"Kankakee, IL Metropolitan Statistical Area",118,130
140,"Merced, CA Metropolitan Statistical Area",116,319
141,"Madera, CA Metropolitan Statistical Area",116,183
142,"Dayton, OH Metropolitan Statistical Area",116,936
143,"Reno, NV Metropolitan Statistical Area",116,543
144,"Reading, PA Metropolitan Statistical Area",115,485
145,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",115,193
146,"Manchester-Nashua, NH Metropolitan Statistical Area",115,479
147,"Oklahoma City, OK Metropolitan Statistical Area",115,"1,609"
148,"Akron, OH Metropolitan Statistical Area",115,812
149,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",115,251
150,"Longview, TX Metropolitan Statistical Area",115,252
151,"Providence-Warwick, RI-MA Metropolitan Statistical Area",115,"1,858"
152,"El Paso, TX Metropolitan Statistical Area",114,966
153,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",113,314
154,"Tulsa, OK Metropolitan Statistical Area",113,"1,119"
155,"Norwich-New London, CT Metropolitan Statistical Area",112,300
156,"The Villages, FL Metropolitan Statistical Area",112,144
157,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",110,"4,340"
158,"Jackson, TN Metropolitan Statistical Area",110,142
159,"Kansas City, MO-KS Metropolitan Statistical Area",110,"2,355"
160,"Pottsville, PA Micropolitan Statistical Area",110,156
161,"Asheville, NC Metropolitan Statistical Area",110,504
162,"Saginaw, MI Metropolitan Statistical Area",109,208
163,"Chattanooga, TN-GA Metropolitan Statistical Area",108,605
164,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",108,295
165,"Racine, WI Metropolitan Statistical Area",107,211
166,"Dothan, AL Metropolitan Statistical Area",107,159
167,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",107,616
168,"California-Lexington Park, MD Metropolitan Statistical Area",107,120
169,"Santa Rosa, CA Metropolitan Statistical Area",106,532
170,"Tucson, AZ Metropolitan Statistical Area",106,"1,105"
171,"Boise City, ID Metropolitan Statistical Area",105,770
172,"Gainesville, GA Metropolitan Statistical Area",105,213
173,"Boulder, CO Metropolitan Statistical Area",105,343
174,"Fort Wayne, IN Metropolitan Statistical Area",105,459
175,"Toledo, OH Metropolitan Statistical Area",104,626
176,"Visalia-Porterville, CA Metropolitan Statistical Area",104,483
177,"Fort Collins, CO Metropolitan Statistical Area",104,363
178,"Chico, CA Metropolitan Statistical Area",103,239
179,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",103,496
180,"Olympia-Tumwater, WA Metropolitan Statistical Area",103,295
181,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",103,"2,545"
182,"Gadsden, AL Metropolitan Statistical Area",102,105
183,"Homosassa Springs, FL Metropolitan Statistical Area",102,151
184,"York-Hanover, PA Metropolitan Statistical Area",102,457
185,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",102,404
186,"Vineland-Bridgeton, NJ Metropolitan Statistical Area",101,153
187,"Hanford-Corcoran, CA Metropolitan Statistical Area",100,152
188,"Panama City, FL Metropolitan Statistical Area",99,200
189,"Bozeman, MT Micropolitan Statistical Area",99,111
190,"Lubbock, TX Metropolitan Statistical Area",99,316
191,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",99,"3,591"
192,"Sherman-Denison, TX Metropolitan Statistical Area",99,132
193,"Meridian, MS Micropolitan Statistical Area",98,99
194,"Concord, NH Micropolitan Statistical Area",98,148
195,"Jacksonville, NC Metropolitan Statistical Area",98,193
196,"Jonesboro, AR Metropolitan Statistical Area",97,128
197,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",96,517
198,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",95,200
199,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",95,"2,086"
200,"College Station-Bryan, TX Metropolitan Statistical Area",95,249
201,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",94,889
202,"Napa, CA Metropolitan Statistical Area",94,131
203,"Pueblo, CO Metropolitan Statistical Area",94,157
204,"Medford, OR Metropolitan Statistical Area",93,205
205,"Urban Honolulu, HI Metropolitan Statistical Area",93,911
206,"Columbia, MO Metropolitan Statistical Area",93,167
207,"Springfield, MA Metropolitan Statistical Area",93,586
208,"Salisbury, MD-DE Metropolitan Statistical Area",93,380
209,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",92,411
210,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",92,"1,194"
211,"Springfield, IL Metropolitan Statistical Area",92,191
212,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",92,"1,038"
213,"Torrington, CT Micropolitan Statistical Area",91,165
214,"Tupelo, MS Micropolitan Statistical Area",91,128
215,"Wichita, KS Metropolitan Statistical Area",91,586
216,"Redding, CA Metropolitan Statistical Area",91,163
