Identity Theft Types by Age,,
,,
Age Range,Theft Type,# of Reports
19 and Under,Bank Fraud,"1,752"
19 and Under,Credit Card Fraud,"1,680"
19 and Under,Employment or Tax-Related Fraud,"7,072"
19 and Under,Government Documents or Benefits Fraud,"1,054"
19 and Under,Loan or Lease Fraud,920
19 and Under,Other Identity Theft,"2,348"
19 and Under,Phone or Utilities Fraud,997
20 - 29,Bank Fraud,"10,523"
20 - 29,Credit Card Fraud,"43,440"
20 - 29,Employment or Tax-Related Fraud,"9,897"
20 - 29,Government Documents or Benefits Fraud,"3,362"
20 - 29,Loan or Lease Fraud,"20,217"
20 - 29,Other Identity Theft,"34,303"
20 - 29,Phone or Utilities Fraud,"18,594"
30 - 39,Bank Fraud,"12,952"
30 - 39,Credit Card Fraud,"74,572"
30 - 39,Employment or Tax-Related Fraud,"10,298"
30 - 39,Government Documents or Benefits Fraud,"4,710"
30 - 39,Loan or Lease Fraud,"33,868"
30 - 39,Other Identity Theft,"56,068"
30 - 39,Phone or Utilities Fraud,"25,755"
40 - 49,Bank Fraud,"10,790"
40 - 49,Credit Card Fraud,"55,672"
40 - 49,Employment or Tax-Related Fraud,"6,744"
40 - 49,Government Documents or Benefits Fraud,"3,948"
40 - 49,Loan or Lease Fraud,"23,156"
40 - 49,Other Identity Theft,"39,086"
40 - 49,Phone or Utilities Fraud,"15,929"
50 - 59,Bank Fraud,"9,265"
50 - 59,Credit Card Fraud,"34,394"
50 - 59,Employment or Tax-Related Fraud,"5,094"
50 - 59,Government Documents or Benefits Fraud,"3,358"
50 - 59,Loan or Lease Fraud,"11,320"
50 - 59,Other Identity Theft,"21,613"
50 - 59,Phone or Utilities Fraud,"9,654"
60 - 69,Bank Fraud,"6,985"
60 - 69,Credit Card Fraud,"19,269"
60 - 69,Employment or Tax-Related Fraud,"3,265"
60 - 69,Government Documents or Benefits Fraud,"2,860"
60 - 69,Loan or Lease Fraud,"4,475"
60 - 69,Other Identity Theft,"10,569"
60 - 69,Phone or Utilities Fraud,"5,343"
70 - 79,Bank Fraud,"3,000"
70 - 79,Credit Card Fraud,"6,990"
70 - 79,Employment or Tax-Related Fraud,"1,221"
70 - 79,Government Documents or Benefits Fraud,"1,803"
70 - 79,Loan or Lease Fraud,1162
70 - 79,Other Identity Theft,"3,704"
70 - 79,Phone or Utilities Fraud,"1,998"
80 and Over,Bank Fraud,"1,107"
80 and Over,Credit Card Fraud,"1,991"
80 and Over,Employment or Tax-Related Fraud,567
80 and Over,Government Documents or Benefits Fraud,957
80 and Over,Loan or Lease Fraud,272
80 and Over,Other Identity Theft,1160
80 and Over,Phone or Utilities Fraud,518
,,
"Of the 650,572 total identity theft reports in 2019, 87% included consumer age information.",,
,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,
