Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
1,"Homosassa Springs, FL Metropolitan Statistical Area","1,131","1,673"
2,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",912,"20,358"
3,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",885,"54,833"
4,"Jacksonville, FL Metropolitan Statistical Area",878,"13,473"
5,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",866,"51,515"
6,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",839,"26,368"
7,"East Stroudsburg, PA Metropolitan Statistical Area",823,"1,395"
8,"Reno, NV Metropolitan Statistical Area",813,"3,821"
9,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",804,"5,300"
10,"Prescott, AZ Metropolitan Statistical Area",803,"1,864"
11,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",786,"4,694"
12,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",785,"49,061"
13,"Columbia, SC Metropolitan Statistical Area",776,"6,464"
14,"Tallahassee, FL Metropolitan Statistical Area",772,"2,972"
15,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",770,"1,613"
16,"Ocala, FL Metropolitan Statistical Area",769,"2,769"
17,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",760,"19,514"
18,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",757,"19,472"
19,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",757,"6,216"
20,"Memphis, TN-MS-AR Metropolitan Statistical Area",750,"10,132"
21,"Port St. Lucie, FL Metropolitan Statistical Area",744,"3,586"
22,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",738,"3,548"
23,"Punta Gorda, FL Metropolitan Statistical Area",737,"1,363"
24,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",736,"3,644"
25,"Fayetteville, NC Metropolitan Statistical Area",724,"2,803"
26,"Santa Fe, NM Metropolitan Statistical Area",722,"1,083"
27,"Dover, DE Metropolitan Statistical Area",721,"1,288"
28,"Olympia-Tumwater, WA Metropolitan Statistical Area",721,"2,064"
29,"Columbus, GA-AL Metropolitan Statistical Area",717,"2,191"
30,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",717,"1,128"
31,"St. Louis, MO-IL Metropolitan Statistical Area",716,"20,080"
32,"Cleveland-Elyria, OH Metropolitan Statistical Area",714,"14,697"
33,"Richmond, VA Metropolitan Statistical Area",712,"9,299"
34,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",712,"19,953"
35,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",711,"34,541"
36,"Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",705,962
37,"Columbus, OH Metropolitan Statistical Area",705,"14,850"
38,"Tuscaloosa, AL Metropolitan Statistical Area",704,"1,715"
39,"Gainesville, FL Metropolitan Statistical Area",703,"2,025"
40,"Tucson, AZ Metropolitan Statistical Area",701,"7,286"
41,"Colorado Springs, CO Metropolitan Statistical Area",701,"5,179"
42,"Albany, OR Metropolitan Statistical Area",701,892
43,"Savannah, GA Metropolitan Statistical Area",699,"2,721"
44,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",698,"12,074"
45,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",697,"4,938"
46,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",686,"3,937"
47,"Bremerton-Silverdale, WA Metropolitan Statistical Area",685,"1,847"
48,"Asheville, NC Metropolitan Statistical Area",680,"3,124"
49,"Eugene, OR Metropolitan Statistical Area",679,"2,578"
50,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",679,"16,826"
51,"Killeen-Temple, TX Metropolitan Statistical Area",679,"3,065"
52,"Montgomery, AL Metropolitan Statistical Area",676,"2,523"
53,"Huntsville, AL Metropolitan Statistical Area",674,"3,120"
54,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",673,"41,032"
55,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",671,"15,742"
56,"Kingston, NY Metropolitan Statistical Area",671,"1,198"
57,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",670,"19,644"
58,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",669,"50,470"
59,"The Villages, FL Metropolitan Statistical Area",669,861
60,"Medford, OR Metropolitan Statistical Area",669,"1,468"
61,"Mobile, AL Metropolitan Statistical Area",666,"2,754"
62,"Charleston-North Charleston, SC Metropolitan Statistical Area",662,"5,212"
63,"Boulder, CO Metropolitan Statistical Area",658,"2,146"
64,"Raleigh, NC Metropolitan Statistical Area",658,"8,967"
65,"Panama City, FL Metropolitan Statistical Area",658,"1,325"
66,"Roanoke, VA Metropolitan Statistical Area",658,"2,066"
67,"Austin-Round Rock, TX Metropolitan Statistical Area",657,"14,256"
68,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",655,"4,946"
69,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",654,"5,511"
70,"Macon-Bibb County, GA Metropolitan Statistical Area",654,"1,502"
71,"Bend-Redmond, OR Metropolitan Statistical Area",652,"1,251"
72,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",650,"12,543"
73,"San Diego-Carlsbad, CA Metropolitan Statistical Area",649,"21,693"
74,"Sebring, FL Metropolitan Statistical Area",649,684
75,"Warner Robins, GA Metropolitan Statistical Area",648,"1,257"
76,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",648,"5,874"
77,"Rochester, NY Metropolitan Statistical Area",645,"6,913"
78,"Pittsburgh, PA Metropolitan Statistical Area",645,"14,989"
79,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",645,"128,780"
80,"Kansas City, MO-KS Metropolitan Statistical Area",644,"13,810"
81,"Topeka, KS Metropolitan Statistical Area",641,"1,492"
82,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",638,"25,116"
83,"Trenton, NJ Metropolitan Statistical Area",637,"2,355"
84,"Roseburg, OR Micropolitan Statistical Area",635,700
85,"Vallejo-Fairfield, CA Metropolitan Statistical Area",633,"2,829"
86,"Tyler, TX Metropolitan Statistical Area",633,"1,457"
87,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",632,"1,761"
88,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",631,"3,628"
89,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",631,800
90,"New Haven-Milford, CT Metropolitan Statistical Area",630,"5,402"
91,"Charleston, WV Metropolitan Statistical Area",626,"1,322"
92,"Albuquerque, NM Metropolitan Statistical Area",626,"5,737"
93,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",625,"43,764"
94,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",625,"1,776"
95,"New Bern, NC Metropolitan Statistical Area",625,783
96,"Pueblo, CO Metropolitan Statistical Area",625,"1,047"
97,"Missoula, MT Metropolitan Statistical Area",625,742
98,"Manchester-Nashua, NH Metropolitan Statistical Area",624,"2,591"
99,"Chattanooga, TN-GA Metropolitan Statistical Area",624,"3,498"
100,"Salt Lake City, UT Metropolitan Statistical Area",622,"7,600"
101,"Greensboro-High Point, NC Metropolitan Statistical Area",622,"4,772"
102,"Dayton, OH Metropolitan Statistical Area",621,"5,007"
103,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",620,"29,335"
104,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",620,"5,278"
105,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",620,"7,009"
106,"Torrington, CT Micropolitan Statistical Area",620,"1,123"
107,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",620,"8,042"
108,"Rocky Mount, NC Metropolitan Statistical Area",620,905
109,"Grand Junction, CO Metropolitan Statistical Area",618,947
110,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",616,"3,723"
111,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",615,"9,688"
112,"Bellingham, WA Metropolitan Statistical Area",615,"1,387"
113,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",614,719
114,"Binghamton, NY Metropolitan Statistical Area",614,"1,475"
115,"New Orleans-Metairie, LA Metropolitan Statistical Area",613,"7,787"
116,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",612,"5,774"
117,"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",611,"3,394"
118,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",611,783
119,"Birmingham-Hoover, AL Metropolitan Statistical Area",609,"7,020"
120,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",609,"80,884"
121,"Wilmington, NC Metropolitan Statistical Area",607,"1,788"
122,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",606,"57,559"
123,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",605,"2,288"
124,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",604,"1,316"
125,"Winston-Salem, NC Metropolitan Statistical Area",601,"4,037"
126,"Shreveport-Bossier City, LA Metropolitan Statistical Area",601,"2,621"
127,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",600,"5,303"
128,"Redding, CA Metropolitan Statistical Area",600,"1,081"
129,"Lynchburg, VA Metropolitan Statistical Area",597,"1,572"
130,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",597,"25,813"
131,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",597,"2,443"
132,"Akron, OH Metropolitan Statistical Area",596,"4,198"
133,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",593,"1,575"
134,"Cookeville, TN Micropolitan Statistical Area",593,668
135,"Coeur d'Alene, ID Metropolitan Statistical Area",593,957
136,"Clarksville, TN-KY Metropolitan Statistical Area",591,"1,726"
137,"Racine, WI Metropolitan Statistical Area",590,"1,159"
138,"Knoxville, TN Metropolitan Statistical Area",589,"5,200"
139,"Brunswick, GA Metropolitan Statistical Area",588,697
140,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",588,"4,358"
141,"Canton-Massillon, OH Metropolitan Statistical Area",588,"2,344"
142,"Jacksonville, NC Metropolitan Statistical Area",588,"1,162"
143,"Kalispell, MT Micropolitan Statistical Area",588,600
144,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",588,"1,575"
145,"Carbondale-Marion, IL Metropolitan Statistical Area",587,731
146,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",587,"3,161"
147,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",586,"12,826"
148,"Fort Collins, CO Metropolitan Statistical Area",585,"2,049"
149,"Johnstown, PA Metropolitan Statistical Area",585,770
150,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",584,"11,962"
151,"Glens Falls, NY Metropolitan Statistical Area",583,732
152,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",583,"1,600"
153,"Cedar Rapids, IA Metropolitan Statistical Area",583,"1,588"
154,"Salisbury, MD-DE Metropolitan Statistical Area",582,"2,388"
155,"Boise City, ID Metropolitan Statistical Area",581,"4,246"
156,"St. George, UT Metropolitan Statistical Area",580,996
157,"Pottsville, PA Micropolitan Statistical Area",580,824
158,"Norwich-New London, CT Metropolitan Statistical Area",579,"1,544"
159,"Sumter, SC Metropolitan Statistical Area",578,616
160,"Lexington-Fayette, KY Metropolitan Statistical Area",575,"2,973"
161,"Durham-Chapel Hill, NC Metropolitan Statistical Area",574,"3,303"
162,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",571,"6,890"
163,"Cleveland, TN Metropolitan Statistical Area",567,701
164,"Syracuse, NY Metropolitan Statistical Area",566,"3,684"
165,"Kalamazoo-Portage, MI Metropolitan Statistical Area",566,"1,926"
166,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",565,"20,523"
167,"Spartanburg, SC Metropolitan Statistical Area",562,"1,917"
168,"Springfield, OH Metropolitan Statistical Area",561,755
169,"Longview, WA Metropolitan Statistical Area",561,611
170,"Longview, TX Metropolitan Statistical Area",561,"1,230"
171,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",559,936
172,"Barnstable Town, MA Metropolitan Statistical Area",559,"1,194"
173,"Winchester, VA-WV Metropolitan Statistical Area",559,781
174,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",558,"1,711"
