Top Three Identity Theft Reports by Year,,
,,
Theft Type,Year,# of Reports
2015,Credit Card Fraud,"74,902"
2015,Loan or Lease Fraud,"17,987"
2015,Phone or Utilities Fraud,"46,801"
2016,Credit Card Fraud,"124,514"
2016,Loan or Lease Fraud,"24,056"
2016,Phone or Utilities Fraud,"49,281"
2017,Credit Card Fraud,"133,096"
2017,Loan or Lease Fraud,"30,088"
2017,Phone or Utilities Fraud,"55,138"
2018,Credit Card Fraud,"157,715"
2018,Loan or Lease Fraud,"51,926"
2018,Phone or Utilities Fraud,"63,651"
2019,Credit Card Fraud,"271,823"
2019,Loan or Lease Fraud,"104,699"
2019,Phone or Utilities Fraud,"83,535"
,,
,,
The top identity theft types can vary by year. This table shows the top three types of identity theft reported in 2019 and how those types changed over five years.,,
,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,
