Report Categories over Three Years,,,
,,,
Year,Category, # of Reports ,Percentage
2017,Advance Payments for Credit Services,"18,073",0.62%
2017,Auto Related,"95,008",3.27%
2017,Banks and Lenders,"154,426",5.32%
2017,Business and Job Opportunities,"20,416",0.70%
2017,Charitable Solicitations,"3,906",0.13%
2017,Computer Equipment and Software,"19,856",0.68%
2017,"Credit Bureaus, Information Furnishers and Report Users","109,556",3.77%
2017,Credit Cards,"47,399",1.63%
2017,Debt Collection,"626,075",21.56%
2017,Education,"8,245",0.28%
2017,Foreign Money Offers and Counterfeit Check Scams,"32,136",1.11%
2017,Funeral Services,"1,160",0.04%
2017,Grants,"5,918",0.20%
2017,Health Care,"35,096",1.21%
2017,"Home Repair, Improvement and Products","11,054",0.38%
2017,Identity Theft,"370,917",12.77%
2017,Imposter Scams,"461,476",15.89%
2017,Internet Auction,"2,316",0.08%
2017,Internet Services,"50,586",1.74%
2017,Investment Related,"16,057",0.55%
2017,Magazines and Books,"5,895",0.20%
2017,Miscellaneous Reports,"16,306",0.56%
2017,Mortgage Foreclosure Relief and Debt Management,"9,803",0.34%
2017,Office Supplies and Services,"7,572",0.26%
2017,Online Shopping and Negative Reviews,"133,934",4.61%
2017,"Prizes, Sweepstakes and Lotteries","143,140",4.93%
2017,Tax Preparers,"3,739",0.13%
2017,Telephone and Mobile Services,"151,105",5.20%
2017,Television and Electronic Media,"46,761",1.61%
2017,"Travel, Vacations and Timeshare Plans","25,766",0.89%
2017,Unspecified Reports,"281,652",9.70%
2018,Advance Payments for Credit Services,"20,606",0.66%
2018,Auto Related,"113,597",3.66%
2018,Banks and Lenders,"143,639",4.63%
2018,Business and Job Opportunities,"25,746",0.83%
2018,Charitable Solicitations,"4,483",0.14%
2018,Computer Equipment and Software,"19,202",0.62%
2018,"Credit Bureaus, Information Furnishers and Report Users","137,811",4.44%
2018,Credit Cards,"52,409",1.69%
2018,Debt Collection,"484,014",15.59%
2018,Education,"15,846",0.51%
2018,Foreign Money Offers and Counterfeit Check Scams,"27,528",0.89%
2018,Funeral Services,"1,029",0.03%
2018,Grants,"6,328",0.20%
2018,Health Care,"50,785",1.64%
2018,"Home Repair, Improvement and Products","17,177",0.55%
2018,Identity Theft,"444,358",14.31%
2018,Imposter Scams,"549,732",17.71%
2018,Internet Auction,"1,743",0.06%
2018,Internet Services,"66,180",2.13%
2018,Investment Related,"15,456",0.50%
2018,Magazines and Books,"6,756",0.22%
2018,Miscellaneous Reports,"37,824",1.22%
2018,Mortgage Foreclosure Relief and Debt Management,"10,440",0.34%
2018,Office Supplies and Services,"5,817",0.19%
2018,Online Shopping and Negative Reviews,"151,303",4.87%
2018,"Prizes, Sweepstakes and Lotteries","140,066",4.51%
2018,Tax Preparers,"4,295",0.14%
2018,Telephone and Mobile Services,"167,563",5.40%
2018,Television and Electronic Media,"40,242",1.30%
2018,"Travel, Vacations and Timeshare Plans","30,566",0.98%
2018,Unspecified Reports,"328,974",10.60%
2019,Advance Payments for Credit Services,"17,408",0.54%
2019,Auto Related,"115,109",3.60%
2019,Banks and Lenders,"149,457",4.67%
2019,Business and Job Opportunities,"28,629",0.89%
2019,Charitable Solicitations,"3,389",0.11%
2019,Computer Equipment and Software,"12,901",0.40%
2019,"Credit Bureaus, Information Furnishers and Report Users","165,231",5.16%
2019,Credit Cards,"54,150",1.69%
2019,Debt Collection,"135,147",4.22%
2019,Education,"20,485",0.64%
2019,Foreign Money Offers and Counterfeit Check Scams,"31,146",0.97%
2019,Funeral Services,"1,105",0.03%
2019,Grants,"5,287",0.17%
2019,Health Care,"59,360",1.85%
2019,"Home Repair, Improvement and Products","23,963",0.75%
2019,Identity Theft,"650,572",20.33%
2019,Imposter Scams,"647,472",20.23%
2019,Internet Auction,"1,795",0.06%
2019,Internet Services,"78,848",2.46%
2019,Investment Related,"16,708",0.52%
2019,Magazines and Books,"7,191",0.22%
2019,Miscellaneous Reports,"43,742",1.37%
2019,Mortgage Foreclosure Relief and Debt Management,"10,605",0.33%
2019,Office Supplies and Services,"5,406",0.17%
2019,Online Shopping and Negative Reviews,"173,785",5.43%
2019,"Prizes, Sweepstakes and Lotteries","124,841",3.90%
2019,Tax Preparers,"4,096",0.13%
2019,Telephone and Mobile Services,"186,475",5.83%
2019,Television and Electronic Media,"36,755",1.15%
2019,"Travel, Vacations and Timeshare Plans","34,695",1.08%
2019,Unspecified Reports,"547,565",17.11%
,,,
"Percentages are based on the total number of Sentinel reports in 2017 (2,904,329), 2018 (3,104,375), and 2019 (3,200,329). Consumers can report more than one category or subcategory.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,
