State Rankings: Fraud and Other Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Nevada,905,"27,463"
2,Florida,835,"177,838"
3,Delaware,820,"7,928"
4,Maryland,770,"46,503"
5,Georgia,752,"79,083"
6,Arizona,711,"50,964"
7,Oregon,685,"28,711"
8,Colorado,673,"38,303"
9,Virginia,672,"57,202"
10,South Carolina,662,"33,675"
11,Washington,658,"49,601"
12,New York,656,"128,208"
13,Missouri,650,"39,843"
14,North Carolina,649,"67,350"
15,New Jersey,638,"56,880"
16,Tennessee,636,"43,087"
17,Pennsylvania,635,"81,284"
18,Ohio,624,"72,903"
19,Connecticut,623,"22,250"
20,New Hampshire,623,"8,447"
21,California,616,"243,620"
22,Alabama,613,"29,986"
23,Texas,597,"171,242"
24,Illinois,585,"74,575"
25,Montana,571,"6,064"
26,New Mexico,570,"11,948"
27,West Virginia,564,"10,190"
28,Michigan,557,"55,683"
29,Massachusetts,553,"38,170"
30,Rhode Island,547,"5,779"
31,Utah,545,"17,228"
32,Kansas,544,"15,852"
33,Wisconsin,544,"31,610"
34,Idaho,539,"9,460"
35,Minnesota,539,"30,246"
36,Louisiana,534,"24,884"
37,Kentucky,529,"23,645"
38,Maine,527,"7,055"
39,Indiana,517,"34,622"
40,Arkansas,509,"15,351"
41,Mississippi,504,"15,041"
42,Alaska,502,"3,701"
43,Hawaii,497,"7,056"
44,Vermont,495,"3,102"
45,Wyoming,481,"2,778"
46,Nebraska,476,"9,179"
47,Oklahoma,475,"18,738"
48,Iowa,474,"14,949"
49,North Dakota,377,"2,867"
50,South Dakota,366,"3,227"
,District of Columbia,"1,090","7,659"
,Puerto Rico,117,"3,751"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2018 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,
,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,
