Major Data Contributors,,,
,,,
Data Contributor,Data Contributor Type,# of Reports,%
FTC - Web Reports (IDT),FTC,"477,494",14.92%
FTC - Web Reports (Fraud & Other),FTC,"457,567",14.30%
FTC - Mobile Reports (Fraud & Other),FTC,"362,180",11.32%
"FTC - ""877 FTC HELP"" (Fraud & Other)",FTC,"342,951",10.72%
FTC - Mobile Reports (IDT),FTC,"101,715",3.18%
"FTC - ""877 ID THEFT""",FTC,"71,363",2.23%
Better Business Bureau,Other Data Contributors,"561,224",17.54%
Consumer Financial Protection Bureau,Other Data Contributors,"353,023",11.03%
Other Data Contributors,Other Data Contributors,"130,901",4.09%
State Law Enforcement Agencies,Other Data Contributors,"110,793",3.46%
Publishers Clearing House,Other Data Contributors,"100,471",3.14%
Microsoft Corporation Cyber Crime Center,Other Data Contributors,"77,785",2.43%
MoneyGram International & Western Union Money Transfer,Other Data Contributors,"52,862",1.65%
,,,
"Percentages are based on the total number of 2019 Sentinel reports (3,200,329). Where appropriate, the type of report provided by the organization is indicated in parenthesis.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",,,
