Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
1,"Homosassa Springs, FL Metropolitan Statistical Area","1,525","2,190"
2,"Santa Fe, NM Metropolitan Statistical Area",930,"1,382"
3,"Jacksonville, FL Metropolitan Statistical Area",846,"12,502"
4,"Jackson, MI Metropolitan Statistical Area",827,"1,311"
5,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",824,"47,707"
6,"Prescott, AZ Metropolitan Statistical Area",809,"1,825"
7,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",786,"16,937"
8,"Columbia, SC Metropolitan Statistical Area",765,"6,255"
9,"Missoula, MT Metropolitan Statistical Area",763,886
10,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",756,"4,823"
11,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",756,"18,695"
12,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",752,"4,356"
13,"Gainesville, FL Metropolitan Statistical Area",748,"2,101"
14,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",748,"22,683"
15,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",734,"44,555"
16,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",728,"3,269"
17,"Columbus, GA-AL Metropolitan Statistical Area",722,"2,228"
18,"Carbondale-Marion, IL Metropolitan Statistical Area",716,905
19,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",713,"17,403"
20,"Macon-Bibb County, GA Metropolitan Statistical Area",709,"1,625"
21,"Ocala, FL Metropolitan Statistical Area",707,"2,469"
22,"Port St. Lucie, FL Metropolitan Statistical Area",703,"3,271"
23,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",700,"1,436"
24,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",697,"1,056"
25,"Dover, DE Metropolitan Statistical Area",696,"1,216"
26,"Punta Gorda, FL Metropolitan Statistical Area",694,"1,238"
27,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",682,"3,312"
28,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",681,"31,744"
29,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",673,"4,482"
30,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",671,844
31,"Montgomery, AL Metropolitan Statistical Area",669,"2,501"
32,"Memphis, TN-MS-AR Metropolitan Statistical Area",663,"8,903"
33,"Asheville, NC Metropolitan Statistical Area",661,"2,991"
34,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",661,"5,208"
35,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",660,"4,768"
36,"East Stroudsburg, PA Metropolitan Statistical Area",658,"1,093"
37,"The Villages, FL Metropolitan Statistical Area",648,803
38,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",643,"18,352"
39,"Tallahassee, FL Metropolitan Statistical Area",640,"2,428"
40,"Killeen-Temple, TX Metropolitan Statistical Area",638,"2,781"
41,"Rocky Mount, NC Metropolitan Statistical Area",637,939
42,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",635,"45,901"
43,"Tucson, AZ Metropolitan Statistical Area",634,"6,440"
44,"Colorado Springs, CO Metropolitan Statistical Area",632,"4,504"
45,"Savannah, GA Metropolitan Statistical Area",631,"2,424"
46,"Cleveland-Elyria, OH Metropolitan Statistical Area",631,"12,963"
47,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",628,"14,414"
48,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",626,"3,487"
49,"Charleston, WV Metropolitan Statistical Area",622,"1,355"
50,"Fayetteville, NC Metropolitan Statistical Area",620,"2,359"
51,"Warner Robins, GA Metropolitan Statistical Area",618,"1,175"
52,"New Orleans-Metairie, LA Metropolitan Statistical Area",618,"7,842"
53,"Panama City, FL Metropolitan Statistical Area",615,"1,229"
54,"Cheyenne, WY Metropolitan Statistical Area",606,595
55,"Albuquerque, NM Metropolitan Statistical Area",604,"5,496"
56,"Sebring, FL Metropolitan Statistical Area",602,608
57,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",601,"11,213"
58,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",601,"1,604"
59,"Birmingham-Hoover, AL Metropolitan Statistical Area",599,"6,875"
60,"Wilmington, NC Metropolitan Statistical Area",598,"1,689"
61,"Albany, OR Metropolitan Statistical Area",595,731
62,"Texarkana, TX-AR Metropolitan Statistical Area",594,892
63,"Raleigh, NC Metropolitan Statistical Area",593,"7,722"
64,"Topeka, KS Metropolitan Statistical Area",592,"1,380"
65,"Olympia-Tumwater, WA Metropolitan Statistical Area",590,"1,625"
66,"Tyler, TX Metropolitan Statistical Area",586,"1,320"
67,"Huntsville, AL Metropolitan Statistical Area",583,"2,623"
68,"Roseburg, OR Micropolitan Statistical Area",582,631
69,"Austin-Round Rock, TX Metropolitan Statistical Area",582,"11,958"
70,"Rochester, NY Metropolitan Statistical Area",581,"6,271"
71,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",581,"35,270"
72,"Reno, NV Metropolitan Statistical Area",581,"2,657"
73,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",580,"4,263"
74,"Kansas City, MO-KS Metropolitan Statistical Area",579,"12,180"
75,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",576,"5,094"
76,"Columbus, OH Metropolitan Statistical Area",575,"11,746"
77,"Akron, OH Metropolitan Statistical Area",575,"4,035"
78,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",574,"1,197"
79,"Greensboro-High Point, NC Metropolitan Statistical Area",572,"4,328"
80,"Mobile, AL Metropolitan Statistical Area",571,"2,370"
