Major Data Contributors,,,
,,,
Data Contributor,Data Contributor Type,# of Reports,%
"FTC - ""877 FTC HELP"" (Fraud & Other)",FTC,"353,375",11.80%
FTC - Web Reports (Fraud & Other),FTC,"340,357",11.37%
FTC - Web Reports (IDT),FTC,"273,440",9.13%
FTC - Mobile Reports (Fraud & Other),FTC,"193,328",6.46%
"FTC - ""877 ID THEFT""",FTC,"89,628",2.99%
FTC - Mobile Reports (IDT),FTC,"81,534",2.72%
Better Business Bureau,Other Data Contributors,"503,222",16.80%
PrivacyStar,Other Data Contributors,"368,172",12.30%
Consumer Financial Protection Bureau,Other Data Contributors,"332,504",11.10%
Other Data Contributors,Other Data Contributors,"170,344",5.69%
Publishers Clearing House,Other Data Contributors,"107,805",3.60%
Microsoft Corporation Cyber Crime Center,Other Data Contributors,"105,676",3.53%
State Law Enforcement Agencies,Other Data Contributors,"76,942",2.57%
,,,
"Percentages are based on the total number of 2018 Sentinel reports (2,994,483). Where appropriate, the type of report provided by the organization is indicated in parenthesis.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",,,
