Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Macon-Bibb County, GA Metropolitan Statistical Area",321,736
2,"Columbus, GA-AL Metropolitan Statistical Area",308,950
3,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",292,"16,902"
4,"Warner Robins, GA Metropolitan Statistical Area",280,532
5,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",274,"16,617"
6,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",258,"34,334"
7,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",232,"5,005"
8,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",226,"16,342"
9,"Memphis, TN-MS-AR Metropolitan Statistical Area",218,"2,929"
10,"Bakersfield, CA Metropolitan Statistical Area",208,"1,841"
11,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",196,"13,300"
12,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",195,"8,395"
13,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",193,"4,707"
14,"Brownsville-Harlingen, TX Metropolitan Statistical Area",188,793
15,"Fresno, CA Metropolitan Statistical Area",186,"1,823"
16,"Sumter, SC Metropolitan Statistical Area",185,199
17,"Columbia, SC Metropolitan Statistical Area",183,"1,497"
18,"Ann Arbor, MI Metropolitan Statistical Area",178,650
19,"Wichita Falls, TX Metropolitan Statistical Area",178,268
20,"Stockton-Lodi, CA Metropolitan Statistical Area",177,"1,297"
21,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",176,"3,484"
22,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",168,"7,863"
23,"Vallejo-Fairfield, CA Metropolitan Statistical Area",167,737
24,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",161,"7,307"
25,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",158,"1,055"
26,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",157,"4,770"
27,"New Orleans-Metairie, LA Metropolitan Statistical Area",155,"1,962"
28,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",154,233
29,"Montgomery, AL Metropolitan Statistical Area",152,569
30,"Savannah, GA Metropolitan Statistical Area",152,582
31,"Tallahassee, FL Metropolitan Statistical Area",150,570
32,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",149,"3,430"
33,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",149,"3,691"
34,"Jacksonville, FL Metropolitan Statistical Area",149,"2,204"
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",149,"9,033"
36,"Killeen-Temple, TX Metropolitan Statistical Area",149,648
37,"San Diego-Carlsbad, CA Metropolitan Statistical Area",148,"4,911"
