Fraud Reports and Reported Amount Lost by State,,,,
,,,,
State,# of Reports,% Reporting $ Loss,Total $ Loss,Median $ Loss
Alabama,"22,113",24%,"$53,864,805 ",$500 
Alaska,"4,409",26%,"$16,691,422 ",$950 
Arizona,"43,960",25%,"$173,944,111 ",$804 
Arkansas,"12,917",25%,"$34,563,485 ",$500 
California,"213,223",27%,"$1,348,767,079 ",$900 
Colorado,"39,926",24%,"$138,154,434 ",$600 
Connecticut,"18,340",24%,"$57,488,024 ",$670 
Delaware,"6,742",21%,"$19,035,794 ",$700 
District of Columbia,"6,285",22%,"$19,009,213 ",$623 
Florida,"138,515",25%,"$556,817,240 ",$800 
Georgia,"61,187",23%,"$158,447,633 ",$600 
Hawaii,"7,885",25%,"$37,902,730 ",$845 
Idaho,"9,094",24%,"$29,231,804 ",$500 
Illinois,"63,992",22%,"$199,135,728 ",$600 
Indiana,"31,484",23%,"$61,860,100 ",$500 
Iowa,"12,063",24%,"$29,944,600 ",$500 
Kansas,"13,858",22%,"$40,799,748 ",$500 
Kentucky,"20,935",22%,"$47,977,240 ",$500 
Louisiana,"19,522",24%,"$43,179,357 ",$534 
Maine,"6,873",24%,"$21,714,301 ",$600 
Maryland,"40,460",22%,"$132,975,026 ",$742 
Massachusetts,"37,925",24%,"$136,182,935 ",$700 
Michigan,"49,372",22%,"$133,908,860 ",$500 
Minnesota,"27,508",24%,"$80,431,719 ",$600 
Mississippi,"11,121",25%,"$22,929,665 ",$500 
Missouri,"31,873",22%,"$83,673,092 ",$563 
Montana,"5,683",25%,"$17,004,601 ",$575 
Nebraska,"9,172",22%,"$23,932,566 ",$550 
Nevada,"21,852",27%,"$108,430,340 ",$800 
New Hampshire,"7,894",22%,"$18,313,546 ",$540 
New Jersey,"48,226",25%,"$231,108,158 ",$800 
New Mexico,"11,607",27%,"$38,157,630 ",$700 
New York,"100,476",25%,"$397,753,483 ",$700 
North Carolina,"54,867",23%,"$148,931,452 ",$549 
North Dakota,"2,725",26%,"$11,190,341 ",$800 
Ohio,"57,534",21%,"$135,283,585 ",$500 
Oklahoma,"17,072",24%,"$54,561,217 ",$500 
Oregon,"27,120",22%,"$85,399,463 ",$600 
Pennsylvania,"69,735",22%,"$169,166,342 ",$509 
Puerto Rico,"3,351",35%,"$7,383,819 ",$508 
Rhode Island,"5,448",22%,"$14,916,470 ",$600 
South Carolina,"27,155",24%,"$75,905,349 ",$560 
South Dakota,"3,237",25%,"$10,599,419 ",$600 
Tennessee,"36,802",25%,"$108,513,499 ",$525 
Texas,"137,897",27%,"$555,844,875 ",$660 
Utah,"17,208",26%,"$62,270,305 ",$700 
Vermont,"3,596",21%,"$7,885,771 ",$500 
Virginia,"52,349",23%,"$179,169,999 ",$650 
Washington,"48,468",23%,"$215,496,044 ",$750 
West Virginia,"8,578",24%,"$19,381,378 ",$500 
Wisconsin,"28,157",23%,"$88,248,309 ",$500 
Wyoming,"2,942",28%,"$11,293,782 ",$500 
,,,,
"The amount lost refers to reports with a loss of $1 – $999,999.  The number of reports for each state excludes state-specific data contributor reports.",,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,,
