Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Tuscaloosa, AL Metropolitan Statistical Area","1,123","2,829"
2,"Baton Rouge, LA Metropolitan Statistical Area",974,"8,347"
3,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",868,"53,201"
4,"Lafayette, LA Metropolitan Statistical Area",779,"3,819"
5,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",777,"46,195"
6,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",651,"45,408"
7,"Sumter, SC Metropolitan Statistical Area",632,888
8,"Savannah, GA Metropolitan Statistical Area",617,"2,407"
9,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",600,"15,349"
10,"Montgomery, AL Metropolitan Statistical Area",586,"2,190"
11,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",567,"34,557"
12,"Tallahassee, FL Metropolitan Statistical Area",564,"2,172"
13,"Columbus, GA-AL Metropolitan Statistical Area",537,"1,717"
14,"Columbia, SC Metropolitan Statistical Area",535,"4,455"
15,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",529,"3,736"
16,"LaGrange, GA-AL Micropolitan Statistical Area",522,540
17,"Memphis, TN-MS-AR Metropolitan Statistical Area",513,"6,892"
18,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",503,"11,219"
19,"Killeen-Temple, TX Metropolitan Statistical Area",488,"2,210"
20,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",484,"63,962"
21,"New Orleans-Metairie, LA Metropolitan Statistical Area",480,"6,109"
22,"Gadsden, AL Metropolitan Statistical Area",465,478
23,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",456,"34,005"
24,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",455,"11,806"
25,"Albany, GA Metropolitan Statistical Area",454,669
26,"Warner Robins, GA Metropolitan Statistical Area",436,798
27,"Meridian, MS Micropolitan Statistical Area",420,424
28,"Fayetteville, NC Metropolitan Statistical Area",418,"2,187"
29,"Shreveport-Bossier City, LA Metropolitan Statistical Area",417,"1,657"
30,"Birmingham-Hoover, AL Metropolitan Statistical Area",414,"4,509"
31,"Macon-Bibb County, GA Metropolitan Statistical Area",406,933
32,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",406,"3,337"
33,"Florence, SC Metropolitan Statistical Area",398,817
34,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",391,"37,048"
35,"Richmond, VA Metropolitan Statistical Area",385,"4,932"
36,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",383,"12,078"
37,"Cleveland-Elyria, OH Metropolitan Statistical Area",375,"7,693"
38,"Port St. Lucie, FL Metropolitan Statistical Area",370,"1,782"
39,"Mobile, AL Metropolitan Statistical Area",369,"1,587"
40,"Dover, DE Metropolitan Statistical Area",368,659
41,"Hammond, LA Metropolitan Statistical Area",365,488
42,"Columbus, OH Metropolitan Statistical Area",364,"7,641"
43,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",363,"69,873"
44,"Greensboro-High Point, NC Metropolitan Statistical Area",357,"2,737"
45,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",354,"9,926"
46,"Charleston-North Charleston, SC Metropolitan Statistical Area",346,"2,738"
47,"Naples-Marco Island, FL Metropolitan Statistical Area",344,"1,306"
48,"Jacksonville, FL Metropolitan Statistical Area",344,"5,279"
49,"East Stroudsburg, PA Metropolitan Statistical Area",344,581
50,"Jackson, MS Metropolitan Statistical Area",342,"2,042"
51,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",339,"1,337"
52,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",330,"1,997"
53,"Raleigh-Cary, NC Metropolitan Statistical Area",329,"4,480"
54,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",326,"20,376"
55,"Kankakee, IL Metropolitan Statistical Area",324,356
56,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",319,"15,488"
57,"Anniston-Oxford, AL Metropolitan Statistical Area",318,364
58,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",318,"5,623"
59,"Reading, PA Metropolitan Statistical Area",316,"1,326"
60,"Tyler, TX Metropolitan Statistical Area",314,723
61,"Auburn-Opelika, AL Metropolitan Statistical Area",314,513
62,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",312,"13,486"
63,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",310,"2,604"
64,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",309,"6,718"
65,"Pittsburgh, PA Metropolitan Statistical Area",306,"7,114"
66,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",306,"14,074"
67,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",305,"2,308"
68,"Houma-Thibodaux, LA Metropolitan Statistical Area",303,634
69,"Greenville-Anderson, SC Metropolitan Statistical Area",303,"2,750"
70,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",300,"1,781"
71,"Huntsville, AL Metropolitan Statistical Area",297,"1,382"
72,"Valdosta, GA Metropolitan Statistical Area",295,432
73,"Alexandria, LA Metropolitan Statistical Area",295,450
74,"Fresno, CA Metropolitan Statistical Area",294,"2,908"
75,"St. Louis, MO-IL Metropolitan Statistical Area",292,"8,205"
76,"Ocala, FL Metropolitan Statistical Area",290,"1,046"
77,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",288,"1,949"
78,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",287,"1,893"
79,"Brunswick, GA Metropolitan Statistical Area",286,338
80,"Chico, CA Metropolitan Statistical Area",283,632
81,"Greenville, NC Metropolitan Statistical Area",282,507
82,"Hattiesburg, MS Metropolitan Statistical Area",280,472
83,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",278,"6,491"
84,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",277,"1,493"
85,"Akron, OH Metropolitan Statistical Area",275,"1,935"
86,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",273,"6,858"
87,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",272,"5,176"
88,"Trenton-Princeton, NJ Metropolitan Statistical Area",271,996
89,"Hilton Head Island-Bluffton, SC Metropolitan Statistical Area",270,593
90,"Brownsville-Harlingen, TX Metropolitan Statistical Area",268,"1,131"
91,"Spartanburg, SC Metropolitan Statistical Area",267,839
92,"Clarksville, TN-KY Metropolitan Statistical Area",265,808
93,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",263,"5,389"
94,"Rockford, IL Metropolitan Statistical Area",263,885
95,"Lake Charles, LA Metropolitan Statistical Area",262,550
96,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",261,"1,446"
97,"Lumberton, NC Micropolitan Statistical Area",260,342
98,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",255,"1,890"
99,"Danville, VA Micropolitan Statistical Area",255,259
100,"Athens-Clarke County, GA Metropolitan Statistical Area",255,537
101,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",254,"2,186"
102,"Vallejo, CA Metropolitan Statistical Area",254,"1,128"
103,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",253,"8,412"
104,"Springfield, OH Metropolitan Statistical Area",251,338
105,"Durham-Chapel Hill, NC Metropolitan Statistical Area",251,"1,598"
106,"Sebring-Avon Park, FL Metropolitan Statistical Area",249,260
107,"Ann Arbor, MI Metropolitan Statistical Area",248,915
108,"Champaign-Urbana, IL Metropolitan Statistical Area",247,559
109,"Stockton, CA Metropolitan Statistical Area",246,"1,847"
110,"Dayton-Kettering, OH Metropolitan Statistical Area",245,"1,977"
111,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",245,"2,313"
112,"Flint, MI Metropolitan Statistical Area",245,996
113,"Gainesville, FL Metropolitan Statistical Area",243,796
114,"New Haven-Milford, CT Metropolitan Statistical Area",242,"2,069"
115,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",241,"11,719"
116,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",241,"1,385"
117,"Columbia, MO Metropolitan Statistical Area",241,499
118,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",239,"3,765"
119,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area",238,"2,864"
120,"Sherman-Denison, TX Metropolitan Statistical Area",237,316
121,"Providence-Warwick, RI-MA Metropolitan Statistical Area",237,"3,834"
122,"Syracuse, NY Metropolitan Statistical Area",236,"1,536"
123,"Monroe, LA Metropolitan Statistical Area",234,474
124,"Winston-Salem, NC Metropolitan Statistical Area",234,"1,573"
