State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Alabama,Bank Fraud,"1,276",7%
Alabama,Credit Card Fraud,"8,585",48%
Alabama,Employment or Tax-Related Fraud,917,5%
Alabama,Government Documents or Benefits Fraud,415,2%
Alabama,Loan or Lease Fraud,"2,754",16%
Alabama,Other Identity Theft,"5,876",33%
Alabama,Phone or Utilities Fraud,918,5%
Alaska,Bank Fraud,155,20%
Alaska,Credit Card Fraud,249,32%
Alaska,Employment or Tax-Related Fraud,88,11%
Alaska,Government Documents or Benefits Fraud,37,5%
Alaska,Loan or Lease Fraud,74,10%
Alaska,Other Identity Theft,227,30%
Alaska,Phone or Utilities Fraud,67,9%
Arizona,Bank Fraud,"2,042",11%
Arizona,Credit Card Fraud,"7,609",40%
Arizona,Employment or Tax-Related Fraud,"2,072",11%
Arizona,Government Documents or Benefits Fraud,749,4%
Arizona,Loan or Lease Fraud,"2,665",14%
Arizona,Other Identity Theft,"6,111",32%
Arizona,Phone or Utilities Fraud,"1,682",9%
Arkansas,Bank Fraud,619,12%
Arkansas,Credit Card Fraud,"2,091",40%
Arkansas,Employment or Tax-Related Fraud,540,10%
Arkansas,Government Documents or Benefits Fraud,232,4%
Arkansas,Loan or Lease Fraud,714,14%
Arkansas,Other Identity Theft,"1,587",31%
Arkansas,Phone or Utilities Fraud,457,9%
California,Bank Fraud,"11,166",9%
California,Credit Card Fraud,"64,878",52%
California,Employment or Tax-Related Fraud,"10,156",8%
California,Government Documents or Benefits Fraud,"4,790",4%
California,Loan or Lease Fraud,"14,977",12%
California,Other Identity Theft,"32,952",26%
California,Phone or Utilities Fraud,"6,850",5%
Colorado,Bank Fraud,"2,105",20%
Colorado,Credit Card Fraud,"4,292",40%
Colorado,Employment or Tax-Related Fraud,"1,342",13%
Colorado,Government Documents or Benefits Fraud,534,5%
Colorado,Loan or Lease Fraud,"1,188",11%
Colorado,Other Identity Theft,"2,329",22%
Colorado,Phone or Utilities Fraud,791,7%
Connecticut,Bank Fraud,"1,266",16%
Connecticut,Credit Card Fraud,"2,834",35%
Connecticut,Employment or Tax-Related Fraud,641,8%
Connecticut,Government Documents or Benefits Fraud,"1,384",17%
Connecticut,Loan or Lease Fraud,793,10%
Connecticut,Other Identity Theft,"1,965",24%
Connecticut,Phone or Utilities Fraud,630,8%
Delaware,Bank Fraud,892,19%
Delaware,Credit Card Fraud,"1,882",40%
Delaware,Employment or Tax-Related Fraud,187,4%
Delaware,Government Documents or Benefits Fraud,144,3%
Delaware,Loan or Lease Fraud,637,14%
Delaware,Other Identity Theft,"1,452",31%
Delaware,Phone or Utilities Fraud,393,8%
District of Columbia,Bank Fraud,438,15%
District of Columbia,Credit Card Fraud,"1,029",35%
District of Columbia,Employment or Tax-Related Fraud,237,8%
District of Columbia,Government Documents or Benefits Fraud,416,14%
District of Columbia,Loan or Lease Fraud,372,13%
District of Columbia,Other Identity Theft,754,26%
District of Columbia,Phone or Utilities Fraud,141,5%
Florida,Bank Fraud,"8,486",8%
Florida,Credit Card Fraud,"58,506",53%
Florida,Employment or Tax-Related Fraud,"4,940",4%
Florida,Government Documents or Benefits Fraud,"2,338",2%
Florida,Loan or Lease Fraud,"16,093",14%
Florida,Other Identity Theft,"35,803",32%
Florida,Phone or Utilities Fraud,"6,133",6%
Georgia,Bank Fraud,"3,308",5%
Georgia,Credit Card Fraud,"25,323",42%
Georgia,Employment or Tax-Related Fraud,"2,374",4%
Georgia,Government Documents or Benefits Fraud,"1,143",2%
Georgia,Loan or Lease Fraud,"11,892",20%
Georgia,Other Identity Theft,"26,038",43%
Georgia,Phone or Utilities Fraud,"4,404",7%
Hawaii,Bank Fraud,304,17%
Hawaii,Credit Card Fraud,730,40%
Hawaii,Employment or Tax-Related Fraud,168,9%
Hawaii,Government Documents or Benefits Fraud,123,7%
Hawaii,Loan or Lease Fraud,213,12%
Hawaii,Other Identity Theft,523,28%
Hawaii,Phone or Utilities Fraud,114,6%
Idaho,Bank Fraud,404,18%
Idaho,Credit Card Fraud,754,34%
Idaho,Employment or Tax-Related Fraud,311,14%
Idaho,Government Documents or Benefits Fraud,67,3%
Idaho,Loan or Lease Fraud,279,13%
Idaho,Other Identity Theft,520,23%
Idaho,Phone or Utilities Fraud,246,11%
Illinois,Bank Fraud,"7,351",17%
Illinois,Credit Card Fraud,"15,708",37%
Illinois,Employment or Tax-Related Fraud,"3,970",9%
Illinois,Government Documents or Benefits Fraud,"3,800",9%
Illinois,Loan or Lease Fraud,"5,362",13%
Illinois,Other Identity Theft,"10,830",25%
Illinois,Phone or Utilities Fraud,"2,810",7%
Indiana,Bank Fraud,"1,874",15%
Indiana,Credit Card Fraud,"4,979",40%
Indiana,Employment or Tax-Related Fraud,"1,169",9%
Indiana,Government Documents or Benefits Fraud,546,4%
Indiana,Loan or Lease Fraud,"1,652",13%
Indiana,Other Identity Theft,"3,582",29%
Indiana,Phone or Utilities Fraud,865,7%
Iowa,Bank Fraud,730,24%
Iowa,Credit Card Fraud,"1,078",35%
