Data Contributors,,,
,,,
FTC,,,
Year,Data Contributor,# of Reports,%
2020,FTC - Web Reports (IDT),"1,066,273",21.24%
2020,FTC - Web Reports (Fraud & Other),"636,998",12.69%
2020,FTC - Mobile Reports (Fraud & Other),"514,160",10.24%
2020,FTC - Mobile Reports (IDT),"216,320",4.31%
2020,"FTC - ""877 FTC HELP"" (Fraud & Other)","232,842",4.64%
2020,"FTC - ""877 ID THEFT""","105,000",2.09%
2021,FTC - Web Reports (IDT),"1,001,736",16.79%
2021,FTC - Web Reports (Fraud & Other),"809,542",13.57%
2021,FTC - Mobile Reports (Fraud & Other),"676,801",11.35%
2021,FTC - Mobile Reports (IDT),"218,456",3.66%
2021,"FTC - ""877 FTC HELP"" (Fraud & Other)","199,382",3.34%
2021,"FTC - ""877 ID THEFT""","92,054",1.54%
2022,FTC - Web Reports (IDT),"797,827",15.49%
2022,FTC - Web Reports (Fraud & Other),"695,970",13.51%
2022,FTC - Mobile Reports (Fraud & Other),"624,387",12.12%
2022,FTC - Mobile Reports (IDT),"191,499",3.72%
2022,"FTC - ""877 FTC HELP"" (Fraud & Other)","155,837",3.03%
2022,"FTC - ""877 ID THEFT""","100,296",1.95%
,,,
Top Data Contributors,,,
Year,Data Contributor,# of Reports,%
2020,Consumer Financial Protection Bureau,"525,717",10.47%
2020,Better Business Bureau,"1,043,765",20.79%
2020,Internet Crime Complaint Center,"208,088",4.15%
2020,Publishers Clearing House,"80,146",1.60%
2021,Consumer Financial Protection Bureau,"844,441",14.16%
2021,Better Business Bureau,"934,036",15.66%
2021,Australian Competition and Consumer Commission,"218,092",3.66%
2021,Internet Crime Complaint Center,"170,854",2.86%
2021,Publishers Clearing House,"81,235",1.36%
2022,Consumer Financial Protection Bureau,"919,773",17.86%
2022,Better Business Bureau,"813,891",15.80%
2022,Australian Competition and Consumer Commission,"159,094",3.09%
2022,Internet Crime Complaint Center,"137,882",2.68%
2022,Publishers Clearing House,"93,433",1.81%
,,,
Other Data Contributors,,,
Year,Data Contributor,# of Reports,%
2020,U.S. Department of Education,"46,787",0.93%
2020,MoneyGram International & Western Union Money Transfer,"43,262",0.86%
2020,Microsoft Corporation Cyber Crime Center,"63,115",1.26%
2020,U.S. Department of Justice Disaster Fraud Task Force,"4,164",0.08%
2020,Scam Detector,"5,332",0.11%
2020,Others,"26,967",0.54%
2020,U.S. Postal Inspection Service,"25,990",0.52%
2020,Task Force on Market Integrity and Consumer Fraud,639,0.01%
2020,AARP Fraud Watch Network,"9,673",0.19%
2021,U.S. Department of Education,"58,401",0.98%
2021,MoneyGram International & Western Union Money Transfer,"45,659",0.77%
2021,Microsoft Corporation Cyber Crime Center,"61,925",1.04%
2021,Social Security Administration,"181,035",3.04%
2021,U.S. Department of Justice Disaster Fraud Task Force,"130,150",2.18%
