Fraud Reports by Amount Lost,,
,,
Number of Fraud Reports,"2,369,527",
Reports with $ Loss,"609,481",26% of the total
Total $ Loss,"$8,767,366,822 ",
Median $ Loss,$650 ,
,,
"Reported Fraud Losses in $1 - $10,000 + Range",,
Amount Lost,# of Reports,
"$1 - $1,000","359,787",
"$1,001 - $2,000","62,588",
"$2,001 - $3,000","31,231",
"$3,001 - $4,000","19,088",
"$4,001 - $5,000","16,205",
"$5,001 - $6,000","8,870",
"$6,001 - $7,000","6,631",
"$7,001 - $8,000","6,220",
"$8,001 - $9,000","4,304",
"$9,001 - $10,000","8,338",
"More than $10,000","86,219",
,,
"Reported Fraud Losses in $1 - $1,000 Range",,
Amount Lost ,# of Reports,
$1 - $100,"122,384",
$101 - $200,"61,573",
$201 - $300,"39,855",
$301 - $400,"27,695",
$401 - $500,"30,758",
$501 - $600,"17,551",
$601 - $700,"13,065",
$701 - $800,"14,347",
$801 - $900,"10,100",
"$901 - $1,000","22,459",
,,
"The amount lost is based on reports in which consumers indicated they lost between $1 and $999,999. ",,
,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,
