Reports by Military Consumers,,,,,
,,,,,
Report Type,# of Reports,,,,
Fraud,"93,124",,,,
Identity Theft,"37,924",,,,
Other,"65,548",,,,
,,,,,
# of Fraud Reports,"93,124",,,,
# of Reports with $ Loss,"28,872",31% of military consumer fraud reports,,,
Total $ Loss,$414M,,,,
Median $ Loss,$765 ,,,,
,,,,,
Top 10 Fraud Categories,,,,,
Rank,Category, # of Reports  ,% Reporting $ Loss, Total $ Loss , Median $ Loss 
1,Imposter Scams,"39,909",23%,$164.5M,"$1,200 "
2,Online Shopping and Negative Reviews,"12,611",73%,$25.2M,$189 
3,Investment Related,"4,209",77%,$117.0M,"$5,000 "
4,"Prizes, Sweepstakes and Lotteries","4,087",28%,$33.8M,"$1,500 "
5,Business and Job Opportunities,"3,628",33%,$19.2M,"$2,456 "
6,Foreign Money Offers and Fake Check Scams,"2,530",36%,$11.5M,"$2,600 "
7,Internet Services,"2,084",14%,$2.1M,$475 
8,Telephone and Mobile Services,"1,971",36%,$1.9M,$200 
9,Advance Payments for Credit Services,"1,515",29%,$8.1M,"$1,000 "
10,Mortgage Foreclosure Relief and Debt Management,"1,331",32%,$4.9M,"$1,403 "
,,,,,
Identity Theft Types,,,,,
Rank, Theft Type ,# of Reports,,,
1,Credit Card Fraud,"14,501",,,
2,Bank Fraud,"10,190",,,
3,Other Identity Theft,"6,404",,,
4,Loan or Lease Fraud,"4,683",,,
5,Phone or Utilities Fraud,"3,724",,,
6,Employment or Tax-Related Fraud,"3,699",,,
7,Government Documents or Benefits Fraud,"2,681",,,
,,,,,
Top 10 Other Categories,,,,,
Rank,Category,# of Reports,,,
1,"Credit Bureaus, Information Furnishers and Report Users","25,803",,,
2,Banks and Lenders,"11,838",,,
3,Debt Collection,"5,305",,,
4,Credit Cards,"3,871",,,
5,Auto Related,"3,706",,,
6,Education,1348,,,
7,"Home Repair, Improvement and Products",1203,,,
8,"Privacy, Data Security, and Cyber Threats",1059,,,
9,Television and Electronic Media,778,,,
10,Computer Equipment and Software,93,,,
,,,,,
"Certain categories are comprised of subcategories that fall in both Fraud and Other report types. See Appendix B3. The Fraud rankings exclude subcategories that are not fraud, and the Other rankings exclude subcategories that are classified as fraud.",,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,,,
