State: Top Ten Report Categories,,,,,,,,
,,,,,,,,
State,Category,# of Reports,Percentage,,,,,
Washington,Internet Services,"2,242",3%,,,,,
Washington,Health Care,"2,212",3%,,,,,
Washington,Investment Related,"1,977",2%,,,,,
West Virginia,Identity Theft,"2,657",17%,,,,,
West Virginia,Imposter Scams,"2,532",16%,,,,,
West Virginia,"Prizes, Sweepstakes and Lotteries","1,358",9%,,,,,
West Virginia,Online Shopping and Negative Reviews,1214,8%,,,,,
West Virginia,Banks and Lenders,936,6%,,,,,
West Virginia,"Credit Bureaus, Information Furnishers and Report Users",673,4%,,,,,
West Virginia,Internet Services,656,4%,,,,,
West Virginia,Auto Related,635,4%,,,,,
West Virginia,Telephone and Mobile Services,539,3%,,,,,
West Virginia,Television and Electronic Media,433,3%,,,,,
Wisconsin,Imposter Scams,"8,830",17%,,,,,
Wisconsin,Identity Theft,"8,319",16%,,,,,
Wisconsin,"Credit Bureaus, Information Furnishers and Report Users","4,829",9%,,,,,
Wisconsin,Online Shopping and Negative Reviews,"4,363",8%,,,,,
Wisconsin,Banks and Lenders,"3,049",6%,,,,,
Wisconsin,"Prizes, Sweepstakes and Lotteries","2,760",5%,,,,,
Wisconsin,Auto Related,"1,729",3%,,,,,
Wisconsin,Internet Services,"1,388",3%,,,,,
Wisconsin,Health Care,"1,356",3%,,,,,
Wisconsin,Telephone and Mobile Services,1325,3%,,,,,
Wyoming,Imposter Scams,799,17%,,,,,
Wyoming,Identity Theft,552,12%,,,,,
Wyoming,Online Shopping and Negative Reviews,453,10%,,,,,
Wyoming,"Prizes, Sweepstakes and Lotteries",396,9%,,,,,
Wyoming,Banks and Lenders,262,6%,,,,,
Wyoming,"Credit Bureaus, Information Furnishers and Report Users",198,4%,,,,,
Wyoming,Internet Services,160,3%,,,,,
Wyoming,Auto Related,155,3%,,,,,
Wyoming,Debt Collection,130,3%,,,,,
Wyoming,Health Care,116,3%,,,,,
Wyoming,Investment Related,116,3%,,,,,
,,,,,,,,
Percentages are based on the total number of 2022 reports from the corresponding state's consumers. State-specific data contributor reports are excluded.,,,,,,,,
,,,,,,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,,,,,,
