State: Top Ten Report Categories,,,,,,,,
,,,,,,,,
State,Category,# of Reports,Percentage,,,,,
Hawaii,Online Shopping and Negative Reviews,1032,8%,,,,,
Hawaii,"Credit Bureaus, Information Furnishers and Report Users",886,7%,,,,,
Hawaii,Banks and Lenders,712,5%,,,,,
Hawaii,"Prizes, Sweepstakes and Lotteries",700,5%,,,,,
Hawaii,Internet Services,370,3%,,,,,
Hawaii,Auto Related,358,3%,,,,,
Hawaii,Investment Related,354,3%,,,,,
Hawaii,Health Care,300,2%,,,,,
Idaho,Imposter Scams,"2,894",19%,,,,,
Idaho,Identity Theft,"2,225",15%,,,,,
Idaho,Online Shopping and Negative Reviews,1423,9%,,,,,
Idaho,Banks and Lenders,882,6%,,,,,
Idaho,"Prizes, Sweepstakes and Lotteries",789,5%,,,,,
Idaho,"Credit Bureaus, Information Furnishers and Report Users",684,4%,,,,,
Idaho,Auto Related,539,4%,,,,,
Idaho,Internet Services,406,3%,,,,,
Idaho,Health Care,386,3%,,,,,
Idaho,Telephone and Mobile Services,378,2%,,,,,
Illinois,Identity Theft,"42,558",25%,,,,,
Illinois,"Credit Bureaus, Information Furnishers and Report Users","29,742",17%,,,,,
Illinois,Imposter Scams,"19,272",11%,,,,,
Illinois,Banks and Lenders,"9,674",6%,,,,,
Illinois,Online Shopping and Negative Reviews,"9,420",5%,,,,,
Illinois,Auto Related,"6,029",4%,,,,,
Illinois,Debt Collection,"4,391",3%,,,,,
Illinois,Internet Services,"4,059",2%,,,,,
Illinois,"Prizes, Sweepstakes and Lotteries","3,933",2%,,,,,
Illinois,Credit Cards,"3,513",2%,,,,,
Indiana,Identity Theft,"12,422",19%,,,,,
Indiana,Imposter Scams,"10,170",15%,,,,,
Indiana,"Credit Bureaus, Information Furnishers and Report Users","6,995",11%,,,,,
Indiana,Online Shopping and Negative Reviews,"4,637",7%,,,,,
Indiana,Banks and Lenders,"3,694",6%,,,,,
Indiana,"Prizes, Sweepstakes and Lotteries","2,845",4%,,,,,
Indiana,Auto Related,"2,307",4%,,,,,
Indiana,Internet Services,"1,532",2%,,,,,
Indiana,Debt Collection,"1,508",2%,,,,,
Indiana,Telephone and Mobile Services,1436,2%,,,,,
Iowa,Imposter Scams,"4,305",20%,,,,,
Iowa,Identity Theft,"3,097",14%,,,,,
Iowa,Online Shopping and Negative Reviews,"1,880",9%,,,,,
Iowa,"Credit Bureaus, Information Furnishers and Report Users",1480,7%,,,,,
Iowa,Banks and Lenders,1392,6%,,,,,
Iowa,"Prizes, Sweepstakes and Lotteries",952,4%,,,,,
Iowa,Auto Related,696,3%,,,,,
Iowa,Internet Services,602,3%,,,,,
Iowa,Debt Collection,550,3%,,,,,
Iowa,Telephone and Mobile Services,508,2%,,,,,
Kansas,Identity Theft,"5,651",21%,,,,,
Kansas,Imposter Scams,"4,415",16%,,,,,
Kansas,Online Shopping and Negative Reviews,"1,871",7%,,,,,
Kansas,"Credit Bureaus, Information Furnishers and Report Users","1,629",6%,,,,,
Kansas,Banks and Lenders,1552,6%,,,,,
Kansas,"Prizes, Sweepstakes and Lotteries",1310,5%,,,,,
Kansas,Auto Related,941,3%,,,,,
Kansas,Internet Services,733,3%,,,,,
Kansas,Debt Collection,730,3%,,,,,
Kansas,Telephone and Mobile Services,630,2%,,,,,
Kentucky,Imposter Scams,"6,289",16%,,,,,
Kentucky,Identity Theft,"5,334",14%,,,,,
Kentucky,"Credit Bureaus, Information Furnishers and Report Users","3,020",8%,,,,,
Kentucky,Online Shopping and Negative Reviews,"2,934",8%,,,,,
Kentucky,Banks and Lenders,"2,332",6%,,,,,
Kentucky,"Prizes, Sweepstakes and Lotteries","2,121",5%,,,,,
Kentucky,Auto Related,"1,706",4%,,,,,
Kentucky,Telephone and Mobile Services,"1,055",3%,,,,,
Kentucky,Debt Collection,999,3%,,,,,
Kentucky,Internet Services,985,3%,,,,,
Louisiana,Identity Theft,"24,898",36%,,,,,
Louisiana,"Credit Bureaus, Information Furnishers and Report Users","14,212",21%,,,,,
Louisiana,Imposter Scams,"5,568",8%,,,,,
Louisiana,Banks and Lenders,"2,853",4%,,,,,
Louisiana,Online Shopping and Negative Reviews,"2,525",4%,,,,,
Louisiana,"Prizes, Sweepstakes and Lotteries","1,703",2%,,,,,
Louisiana,Debt Collection,"1,671",2%,,,,,
Louisiana,Auto Related,"1,612",2%,,,,,
Louisiana,Telephone and Mobile Services,1030,1%,,,,,
Louisiana,Internet Services,1004,1%,,,,,
Maine,Imposter Scams,"2,253",19%,,,,,
Maine,Identity Theft,1377,12%,,,,,
Maine,Online Shopping and Negative Reviews,1119,10%,,,,,
Maine,Banks and Lenders,842,7%,,,,,
Maine,"Prizes, Sweepstakes and Lotteries",636,5%,,,,,
Maine,"Credit Bureaus, Information Furnishers and Report Users",498,4%,,,,,
Maine,Auto Related,400,3%,,,,,
Maine,Health Care,396,3%,,,,,
Maine,Internet Services,318,3%,,,,,
Maine,Telephone and Mobile Services,283,2%,,,,,
Maryland,Identity Theft,"20,736",20%,,,,,
Maryland,"Credit Bureaus, Information Furnishers and Report Users","18,731",18%,,,,,
Maryland,Imposter Scams,"13,214",13%,,,,,
Maryland,Banks and Lenders,"6,876",7%,,,,,
Maryland,Online Shopping and Negative Reviews,"5,446",5%,,,,,
Maryland,Auto Related,"3,700",4%,,,,,
Maryland,"Prizes, Sweepstakes and Lotteries","2,621",3%,,,,,
Maryland,Debt Collection,"2,541",2%,,,,,
Maryland,Health Care,"2,262",2%,,,,,
Maryland,Credit Cards,"2,238",2%,,,,,
Massachusetts,Identity Theft,"15,518",20%,,,,,
Massachusetts,Imposter Scams,"13,673",18%,,,,,
Massachusetts,"Credit Bureaus, Information Furnishers and Report Users","6,253",8%,,,,,
Massachusetts,Online Shopping and Negative Reviews,"5,894",8%,,,,,
Massachusetts,Banks and Lenders,"4,378",6%,,,,,
Massachusetts,Auto Related,"2,496",3%,,,,,
Massachusetts,"Prizes, Sweepstakes and Lotteries","1,903",3%,,,,,
Massachusetts,Internet Services,"1,832",2%,,,,,
Massachusetts,Health Care,"1,771",2%,,,,,
Massachusetts,Credit Cards,"1,718",2%,,,,,
Michigan,Identity Theft,"21,768",20%,,,,,
Michigan,"Credit Bureaus, Information Furnishers and Report Users","16,678",15%,,,,,
Michigan,Imposter Scams,"15,680",14%,,,,,
Michigan,Online Shopping and Negative Reviews,"7,130",6%,,,,,
Michigan,Banks and Lenders,"6,489",6%,,,,,
Michigan,"Prizes, Sweepstakes and Lotteries","4,171",4%,,,,,
Michigan,Auto Related,"3,310",3%,,,,,
Michigan,Debt Collection,"3,028",3%,,,,,
Michigan,Internet Services,"2,741",2%,,,,,
Michigan,Telephone and Mobile Services,"2,569",2%,,,,,
Minnesota,Imposter Scams,"9,210",19%,,,,,
Minnesota,Identity Theft,"7,262",15%,,,,,
Minnesota,Online Shopping and Negative Reviews,"4,068",8%,,,,,
