Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2020,"Privacy, Data Security, and Cyber Threats",Malware & Computer Exploits†,"71,858",1.43%
2020,"Privacy, Data Security, and Cyber Threats",Privacy & Data Security‡,"5,176",0.10%
2020,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","116,524",2.32%
2020,Tax Preparers,Tax Preparers,"5,494",0.11%
2020,Telephone and Mobile Services,Connected Non-Wearable Devices*,618,0.01%
2020,Telephone and Mobile Services,"Mobile: Accessories, Devices, and Services§","26,793",0.53%
2020,Telephone and Mobile Services,Mobile: Applications\Other Downloads§,"3,924",0.08%
2020,Telephone and Mobile Services,Mobile: Carrier Rates\Plans§,"10,302",0.21%
2020,Telephone and Mobile Services,Mobile: Unauthorized Charges or Debits§,"3,098",0.06%
2020,Telephone and Mobile Services,Phone Billing‡,"6,412",0.13%
2020,Telephone and Mobile Services,Phone Carrier Switching,966,0.02%
2020,Telephone and Mobile Services,"Phone Devices, Accessories & Services‡","48,074",0.96%
2020,Telephone and Mobile Services,Prepaid Phone Cards,"1,843",0.04%
2020,Telephone and Mobile Services,Telephone: Other§,"17,451",0.35%
2020,Telephone and Mobile Services,Telephone: Unauthorized Charges or Debits§,409,0.01%
2020,Telephone and Mobile Services,Telephone: VoIP Services§,649,0.01%
2020,Television and Electronic Media,Cable & Satellite TV,"51,001",1.02%
2020,Television and Electronic Media,Streaming & Digital Media,"2,418",0.05%
2020,Television and Electronic Media,TV Programming & Ads,"2,249",0.04%
2020,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"3,355",0.07%
2020,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"10,770",0.21%
2020,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"81,954",1.63%
2020,Unspecified Reports,Other Misc.,"452,706",9.02%
2020,Unspecified Reports,Unauthorized Debits or Charges for Unknown Products§,"1,340",0.03%
2020,Unspecified Reports,Unsolicited Email,"112,697",2.24%
2020,Unspecified Reports,Unsolicited Text Messages,"303,066",6.04%
2020,Unspecified Reports,Unwanted Telemarketing Calls,"155,904",3.11%
2021,Advance Payments for Credit Services,Advance-Fee Credit,"21,092",0.35%
2021,Advance Payments for Credit Services,Credit Card Loss Protection,164,0.00%
2021,Advance Payments for Credit Services,Credit Repair,"3,445",0.06%
2021,Advance Payments for Credit Services,Refund Scams,348,0.01%
2021,Auto Related,Auto Financing,"10,247",0.17%
2021,Auto Related,Auto Parts & Repairs,"31,725",0.53%
2021,Auto Related,Auto Renting & Leasing,"20,356",0.34%
2021,Auto Related,Auto Service & Warranties,"14,839",0.25%
2021,Auto Related,Gasoline,485,0.01%
2021,Auto Related,New Auto Sales,"44,748",0.75%
2021,Auto Related,Used Auto Sales,"43,400",0.73%
2021,Banks and Lenders,Auto Title Lending,891,0.01%
2021,Banks and Lenders,Bank & Credit Union Lending,802,0.01%
2021,Banks and Lenders,"Banks, Credit Unions & S&Ls","78,800",1.32%
2021,Banks and Lenders,Finance Company Lending,"11,849",0.20%
2021,Banks and Lenders,Misc. Institution Lending,"20,007",0.34%
2021,Banks and Lenders,Mortgage Lending,"47,482",0.80%
2021,Banks and Lenders,Payday Loans,"6,069",0.10%
2021,Banks and Lenders,Student Loans,"46,503",0.78%
2021,Business and Job Opportunities,Business & Work-at-Home Opportunities,"16,166",0.27%
2021,Business and Job Opportunities,Franchises & Distributorships*,"1,030",0.02%
2021,Business and Job Opportunities,Invention Promotion,614,0.01%
2021,Business and Job Opportunities,Job Scams & Employment Agencies,"80,234",1.35%
