Major Data Contributors,,,
,,,
Data Contributor,Data Contributor Type,# of Reports,%
FTC - Web Reports (IDT),FTC,"797,827",15.49%
FTC - Web Reports (Fraud & Other),FTC,"695,970",13.51%
FTC - Mobile Reports (Fraud & Other),FTC,"624,387",12.12%
FTC - Mobile Reports (IDT),FTC,"191,499",3.72%
"FTC - ""877 FTC HELP"" (Fraud & Other)",FTC,"155,837",3.03%
"FTC - ""877 ID THEFT""",FTC,"100,296",1.95%
Consumer Financial Protection Bureau,Other Data Contributors,"919,773",17.86%
Better Business Bureau,Other Data Contributors,"813,891",15.80%
Other Data Contributors,Other Data Contributors,"399,187",7.75%
Australian Competition and Consumer Commission,Other Data Contributors,"159,094",3.09%
State Law Enforcement Agencies,Other Data Contributors,"154,726",3.00%
Internet Crime Complaint Center,Other Data Contributors,"137,882",2.68%
,,,
"Percentages are based on the total number of 2022 Sentinel reports (5,150,368). Where appropriate, the type of report provided by the organization is indicated in parenthesis.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,
