Top Three Identity Theft Reports by Year,,
,,
Theft Type,Year,# of Reports
2018,Bank Fraud,"52,619"
2018,Credit Card Fraud,"157,750"
2018,Loan or Lease Fraud,"51,945"
2019,Bank Fraud,"58,857"
2019,Credit Card Fraud,"271,943"
2019,Loan or Lease Fraud,"104,778"
2020,Bank Fraud,"89,681"
2020,Credit Card Fraud,"393,428"
2020,Loan or Lease Fraud,"205,085"
2021,Bank Fraud,"124,523"
2021,Credit Card Fraud,"389,907"
2021,Loan or Lease Fraud,"197,978"
2022,Bank Fraud,"156,099"
2022,Credit Card Fraud,"441,822"
2022,Loan or Lease Fraud,"153,547"
,,
,,
The top identity theft types can vary by year. This table shows the top three types of identity theft reported in 2022 and how those types changed over five years.,,
,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,
