State Rankings: Fraud and Other Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Georgia,"1,550","162,957"
2,Delaware,"1,506","14,570"
3,Nevada,"1,455","44,081"
4,Florida,"1,446","306,735"
5,Maryland,"1,363","82,287"
6,Pennsylvania,"1,151","147,310"
7,South Carolina,"1,128","57,447"
8,Virginia,"1,108","94,288"
9,Alabama,"1,086","53,153"
10,New Jersey,"1,070","95,073"
11,Tennessee,"1,063","72,011"
12,North Carolina,"1,060","110,090"
13,Arizona,"1,051","75,407"
14,Colorado,"1,051","59,746"
15,Texas,"1,028","294,378"
16,Illinois,"1,017","129,325"
17,New York,974,"190,101"
18,California,947,"372,800"
19,Louisiana,946,"44,137"
20,Washington,936,"70,297"
21,Oregon,927,"38,703"
22,Missouri,923,"56,535"
23,Connecticut,900,"32,140"
24,Michigan,893,"89,025"
25,Ohio,886,"103,419"
26,Massachusetts,878,"60,325"
27,Mississippi,871,"25,984"
28,Rhode Island,866,"9,164"
29,New Hampshire,860,"11,655"
30,Alaska,844,"6,219"
31,New Mexico,818,"17,154"
32,Vermont,798,"4,985"
33,Indiana,796,"53,334"
34,Hawaii,790,"11,223"
35,Arkansas,790,"23,789"
36,Utah,785,"24,737"
37,Maine,772,"10,351"
38,Montana,760,"8,074"
39,Wisconsin,760,"44,120"
40,Minnesota,753,"42,157"
41,Kentucky,747,"33,340"
42,Idaho,743,"13,027"
43,Kansas,729,"21,242"
44,Oklahoma,720,"28,435"
45,West Virginia,717,"12,967"
46,Wyoming,700,"4,068"
47,Nebraska,692,"13,306"
48,Iowa,586,"18,454"
49,South Dakota,549,"4,829"
50,North Dakota,536,"4,075"
,District of Columbia,"1,747","12,261"
,Puerto Rico,182,"5,931"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2020 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,
,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,
