Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1001
"Binghamton, NY Metropolitan Statistical Area",960
"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",975
"Glens Falls, NY Metropolitan Statistical Area",846
"Ithaca, NY Metropolitan Statistical Area",854
"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",722
"Kingston, NY Metropolitan Statistical Area",1125
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",1116
"Ogdensburg-Massena, NY Micropolitan Statistical Area",653
"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",997
"Rochester, NY Metropolitan Statistical Area",1042
"Syracuse, NY Metropolitan Statistical Area",1084
"Utica-Rome, NY Metropolitan Statistical Area",785
"Watertown-Fort Drum, NY Metropolitan Statistical Area",869
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
