Major Data Contributors,,,
,,,
Data Contributor,Data Contributor Type,# of Reports,%
"FTC - ""877 FTC HELP"" (Fraud & Other)",FTC,"232,846",4.93%
"FTC - ""877 ID THEFT""",FTC,"105,000",2.22%
FTC - Mobile Reports (Fraud & Other),FTC,"515,083",10.91%
FTC - Mobile Reports (IDT),FTC,"216,328",4.58%
FTC - Web Reports (Fraud & Other),FTC,"639,784",13.55%
FTC - Web Reports (IDT),FTC,"1,066,287",22.59%
Better Business Bureau,Other Data Contributors,"757,331",16.04%
Consumer Financial Protection Bureau,Other Data Contributors,"524,996",11.12%
Internet Crime Complaint Center,Other Data Contributors,"199,099",4.22%
Microsoft Corporation Cyber Crime Center,Other Data Contributors,"63,115",1.34%
Other Data Contributors,Other Data Contributors,"160,647",3.40%
Publishers Clearing House,Other Data Contributors,"80,146",1.70%
State Law Enforcement Agencies,Other Data Contributors,"160,081",3.39%
,,,
"Percentages are based on the total number of 2020 Sentinel reports (4,720,743). Where appropriate, the type of report provided by the organization is indicated in parenthesis.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
