Data Contributors,,,
,,,
FTC,,,
Year,Data Contributor,# of Reports,%
2018,FTC - Web Reports (IDT),"273,271",8.77%
2018,FTC - Web Reports (Fraud & Other),"339,284",10.89%
2018,FTC - Mobile Reports (Fraud & Other),"192,738",6.19%
2018,"FTC - ""877 FTC HELP"" (Fraud & Other)","353,366",11.34%
2018,FTC - Mobile Reports (IDT),"81,518",2.62%
2018,"FTC - ""877 ID THEFT""","89,555",2.87%
2019,FTC - Web Reports (IDT),"477,492",14.72%
2019,FTC - Web Reports (Fraud & Other),"455,548",14.04%
2019,FTC - Mobile Reports (Fraud & Other),"358,138",11.04%
2019,"FTC - ""877 FTC HELP"" (Fraud & Other)","342,946",10.57%
2019,FTC - Mobile Reports (IDT),"101,692",3.13%
2019,"FTC - ""877 ID THEFT""","71,339",2.20%
2020,FTC - Web Reports (IDT),"1,066,287",22.59%
2020,FTC - Web Reports (Fraud & Other),"639,784",13.55%
2020,FTC - Mobile Reports (Fraud & Other),"515,083",10.91%
2020,"FTC - ""877 FTC HELP"" (Fraud & Other)","232,846",4.93%
2020,FTC - Mobile Reports (IDT),"216,328",4.58%
2020,"FTC - ""877 ID THEFT""","105,000",2.22%
,,,
Top Data Contributors,,,
Year,Data Contributor,# of Reports,%
2018,Better Business Bureau,"554,428",17.80%
2018,Consumer Financial Protection Bureau,"332,728",10.68%
2018,Publishers Clearing House,"115,078",3.69%
2018,Microsoft Corporation Cyber Crime Center,"111,172",3.57%
2019,Better Business Bureau,"592,001",18.24%
2019,Consumer Financial Protection Bureau,"353,152",10.88%
2019,Publishers Clearing House,"100,471",3.10%
2019,Microsoft Corporation Cyber Crime Center,"77,769",2.40%
2020,Better Business Bureau,"757,331",16.04%
2020,Consumer Financial Protection Bureau,"524,996",11.12%
2020,Internet Crime Complaint Center,"199,099",4.22%
2020,Publishers Clearing House,"80,146",1.70%
2020,Microsoft Corporation Cyber Crime Center,"63,115",1.34%
,,,
Other Data Contributors,,,
Year,Data Contributor,# of Reports,%
2018,U.S. Department of Education,"30,843",0.99%
2018,MoneyGram International & Western Union Money Transfer,"79,560",2.55%
2018,U.S. Postal Inspection Service,"16,966",0.54%
2018,Others,"41,228",1.32%
2018,AARP Fraud Watch Network,"6,257",0.20%
2018,PrivacyStar,"374,054",12.01%
2018,Scam Detector,"3,364",0.11%
2018,National Consumer League,"4,384",0.14%
2018,"Canada, Competition Bureau","1,594",0.05%
2018,U.S. Department of Justice Disaster Fraud Task Force,117,0.00%
2019,U.S. Department of Education,"42,690",1.32%
2019,MoneyGram International & Western Union Money Transfer,"52,860",1.63%
2019,U.S. Postal Inspection Service,"18,446",0.57%
2019,Others,"20,078",0.62%
2019,AARP Fraud Watch Network,"10,115",0.31%
2019,PrivacyStar,"32,894",1.01%
2019,Scam Detector,"2,903",0.09%
2019,National Consumer League,"4,116",0.13%
2019,"Canada, Competition Bureau","1,971",0.06%
2019,U.S. Department of Justice Disaster Fraud Task Force,129,0.00%
2020,U.S. Department of Education,"46,570",0.99%
2020,MoneyGram International & Western Union Money Transfer,"42,804",0.91%
2020,U.S. Postal Inspection Service,"25,830",0.55%
2020,Others,"10,401",0.22%
2020,AARP Fraud Watch Network,"9,457",0.20%
2020,PrivacyStar,"9,174",0.19%
2020,Scam Detector,"5,332",0.11%
2020,National Consumer League,"4,689",0.10%
2020,"Canada, Competition Bureau","3,197",0.07%
2020,U.S. Department of Justice Disaster Fraud Task Force,"3,193",0.07%
,,,
State Law Enforcement Agencies,Data Contributor,# of Reports,%
2018,"Ohio, Attorney General","22,384",0.72%
2018,"Massachusetts, Attorney General","14,750",0.47%
2018,"New York, Attorney General","9,831",0.32%
2018,"Pennsylvania, Attorney General","13,341",0.43%
2018,"Washington, Attorney General","8,549",0.27%
2018,"Wisconsin, Department of Agriculture, Trade, and Consumer Protection","5,899",0.19%
2018,"North Carolina, Department of Justice","9,917",0.32%
2018,"Maine, Attorney General","4,857",0.16%
2018,"Michigan, Attorney General","3,886",0.12%
2018,"Indiana, Attorney General","3,680",0.12%
2018,Florida Department of Agriculture and Consumer Services,70,0.00%
2018,"Louisiana, Attorney General","4,029",0.13%
2018,"Tennessee, Department of Commerce and Insurance, Consumer Affairs Division","1,496",0.05%
2018,"Nebraska, Attorney General","3,130",0.10%
2018,"Oregon, Department of Justice","2,052",0.07%
2018,"Iowa, Attorney General",196,0.01%
2018,"South Carolina, Department of Consumer Affairs","3,225",0.10%
2018,"Connecticut, Department of Consumer Protection",6,0.00%
2018,"Nevada, Attorney General",148,0.00%
2018,"Idaho, Attorney General",814,0.03%
2018,"Montana, Attorney General",206,0.01%
2018,"Hawaii, Office of Consumer Protection",240,0.01%
2018,"Alaska, Attorney General",309,0.01%
2018,"Mississippi, Attorney General",309,0.01%
2018,"Colorado, Attorney General",727,0.02%
2019,"Ohio, Attorney General","21,050",0.65%
2019,"Massachusetts, Attorney General","13,223",0.41%
2019,"New York, Attorney General","12,418",0.38%
2019,"Pennsylvania, Attorney General","12,526",0.39%
2019,"Washington, Attorney General","8,416",0.26%
2019,"Wisconsin, Department of Agriculture, Trade, and Consumer Protection","9,455",0.29%
2019,"North Carolina, Department of Justice","9,229",0.28%
2019,"Maine, Attorney General","5,443",0.17%
2019,"Michigan, Attorney General","4,996",0.15%
2019,"Indiana, Attorney General","3,716",0.11%
2019,Florida Department of Agriculture and Consumer Services,"7,142",0.22%
2019,"Louisiana, Attorney General","2,740",0.08%
2019,"Tennessee, Department of Commerce and Insurance, Consumer Affairs Division","2,021",0.06%
2019,"Nebraska, Attorney General","3,393",0.10%
2019,"Oregon, Department of Justice","2,540",0.08%
2019,"Iowa, Attorney General","2,536",0.08%
2019,"South Carolina, Department of Consumer Affairs","2,533",0.08%
2019,"Connecticut, Department of Consumer Protection","1,615",0.05%
2019,"Nevada, Attorney General",144,0.00%
2019,"Idaho, Attorney General",675,0.02%
2019,"Montana, Attorney General",473,0.01%
2019,"Hawaii, Office of Consumer Protection",241,0.01%
2019,"Alaska, Attorney General",303,0.01%
2019,"Mississippi, Attorney General",691,0.02%
2019,"Colorado, Attorney General",575,0.02%
2020,"Ohio, Attorney General","26,626",0.56%
2020,"Massachusetts, Attorney General","20,473",0.43%
2020,"New York, Attorney General","17,421",0.37%
2020,"Pennsylvania, Attorney General","16,392",0.35%
2020,"Washington, Attorney General","11,805",0.25%
2020,"Wisconsin, Department of Agriculture, Trade, and Consumer Protection","9,411",0.20%
2020,"North Carolina, Department of Justice","9,144",0.19%
2020,"Maine, Attorney General","8,584",0.18%
2020,"Michigan, Attorney General","8,435",0.18%
2020,"Indiana, Attorney General","5,091",0.11%
2020,Florida Department of Agriculture and Consumer Services,"4,179",0.09%
2020,"Louisiana, Attorney General","4,103",0.09%
2020,"Tennessee, Department of Commerce and Insurance, Consumer Affairs Division","3,225",0.07%
2020,"Nebraska, Attorney General","3,093",0.07%
2020,"Oregon, Department of Justice","2,901",0.06%
2020,"Iowa, Attorney General","2,424",0.05%
2020,"South Carolina, Department of Consumer Affairs","1,948",0.04%
2020,"Connecticut, Department of Consumer Protection","1,436",0.03%
2020,"Nevada, Attorney General","1,294",0.03%
2020,"Idaho, Attorney General",808,0.02%
2020,"Montana, Attorney General",566,0.01%
2020,"Hawaii, Office of Consumer Protection",502,0.01%
2020,"Alaska, Attorney General",220,0.00%
,,,
,,,
"Percentages are based on the total number of Sentinel reports in 2018 (3,115,556), 2019 (3,244,844), and 2020 (4,720,743).",,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
