Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Topeka, KS Metropolitan Statistical Area","1,925","4,465"
2,"Lawrence, KS Metropolitan Statistical Area","1,717","2,099"
3,"Wichita, KS Metropolitan Statistical Area","1,395","8,929"
4,"Manhattan, KS Metropolitan Statistical Area","1,207","1,573"
5,"Tuscaloosa, AL Metropolitan Statistical Area","1,195","3,011"
6,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","1,156","8,579"
7,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","1,145","108,287"
8,"Bloomington, IL Metropolitan Statistical Area","1,042","1,788"
9,"Springfield, IL Metropolitan Statistical Area",994,"2,056"
10,"Providence-Warwick, RI-MA Metropolitan Statistical Area",970,"15,751"
11,"Peoria, IL Metropolitan Statistical Area",935,"3,746"
12,"Sumter, SC Metropolitan Statistical Area",916,"1,286"
13,"Memphis, TN-MS-AR Metropolitan Statistical Area",902,"12,136"
14,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",896,"53,964"
15,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",879,"34,968"
16,"Champaign-Urbana, IL Metropolitan Statistical Area",870,"1,966"
17,"Decatur, IL Metropolitan Statistical Area",824,857
18,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",816,"50,341"
19,"Kankakee, IL Metropolitan Statistical Area",815,895
20,"Kansas City, MO-KS Metropolitan Statistical Area",806,"17,400"
21,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",803,"18,206"
22,"Rockford, IL Metropolitan Statistical Area",738,"2,480"
23,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",724,"51,165"
24,"Shreveport-Bossier City, LA Metropolitan Statistical Area",713,"2,816"
25,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",711,"2,066"
26,"Portland-South Portland, ME Metropolitan Statistical Area",691,"3,722"
27,"Tallahassee, FL Metropolitan Statistical Area",686,"2,655"
28,"Killeen-Temple, TX Metropolitan Statistical Area",680,"3,131"
29,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",678,"33,030"
30,"Warner Robins, GA Metropolitan Statistical Area",677,"1,256"
31,"Florence, SC Metropolitan Statistical Area",668,"1,369"
32,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",637,"1,730"
33,"Ottawa, IL Micropolitan Statistical Area",633,931
34,"Carbondale-Marion, IL Metropolitan Statistical Area",631,857
35,"Reno, NV Metropolitan Statistical Area",609,"2,895"
36,"Augusta-Waterville, ME Micropolitan Statistical Area",598,731
37,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",597,"45,242"
38,"Bellingham, WA Metropolitan Statistical Area",591,"1,354"
39,"Macon-Bibb County, GA Metropolitan Statistical Area",590,"1,357"
40,"Columbus, GA-AL Metropolitan Statistical Area",588,"1,887"
41,"Columbia, SC Metropolitan Statistical Area",587,"4,918"
42,"Wenatchee, WA Metropolitan Statistical Area",585,706
43,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",579,"3,294"
44,"Lafayette, LA Metropolitan Statistical Area",573,"2,805"
45,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",568,"75,066"
46,"Pinehurst-Southern Pines, NC Micropolitan Statistical Area",557,562
47,"Worcester, MA-CT Metropolitan Statistical Area",537,"5,087"
48,"Baton Rouge, LA Metropolitan Statistical Area",527,"4,506"
49,"Bangor, ME Metropolitan Statistical Area",521,792
50,"Yakima, WA Metropolitan Statistical Area",516,"1,294"
51,"Lewiston-Auburn, ME Metropolitan Statistical Area",513,555
52,"New Orleans-Metairie, LA Metropolitan Statistical Area",509,"6,466"
53,"Springfield, MA Metropolitan Statistical Area",503,"3,505"
54,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",501,647
55,"Kennewick-Richland, WA Metropolitan Statistical Area",497,"1,490"
56,"Greenville, NC Metropolitan Statistical Area",490,885
57,"Montgomery, AL Metropolitan Statistical Area",479,"1,787"
58,"Barnstable Town, MA Metropolitan Statistical Area",472,"1,005"
59,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",471,"12,297"
60,"St. Louis, MO-IL Metropolitan Statistical Area",457,"12,797"
61,"Fayetteville, NC Metropolitan Statistical Area",442,"2,327"
62,"Clarksville, TN-KY Metropolitan Statistical Area",440,"1,354"
63,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",435,"26,563"
64,"Pittsfield, MA Metropolitan Statistical Area",434,542
65,"Birmingham-Hoover, AL Metropolitan Statistical Area",429,"4,673"
66,"Oklahoma City, OK Metropolitan Statistical Area",428,"6,036"
67,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",427,"21,122"
68,"Jonesboro, AR Metropolitan Statistical Area",424,567
69,"Tupelo, MS Micropolitan Statistical Area",414,687
70,"Flint, MI Metropolitan Statistical Area",411,"1,667"
71,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",403,"77,363"
72,"Fort Collins, CO Metropolitan Statistical Area",401,"1,432"
73,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",401,"1,575"
74,"Charleston-North Charleston, SC Metropolitan Statistical Area",399,"3,203"
75,"LaGrange, GA-AL Micropolitan Statistical Area",398,411
76,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",394,"11,699"
77,"Albany, GA Metropolitan Statistical Area",393,577
78,"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",392,"2,097"
79,"Boulder, CO Metropolitan Statistical Area",389,"1,269"
80,"Tulsa, OK Metropolitan Statistical Area",386,"3,858"
81,"Cleveland-Elyria, OH Metropolitan Statistical Area",380,"7,786"
82,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",373,"10,440"
83,"Jacksonville, FL Metropolitan Statistical Area",372,"5,799"
84,"Salt Lake City, UT Metropolitan Statistical Area",368,"4,538"
85,"Longview, WA Metropolitan Statistical Area",368,407
86,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",366,"1,387"
87,"Colorado Springs, CO Metropolitan Statistical Area",366,"2,727"
88,"East Stroudsburg, PA Metropolitan Statistical Area",365,622
89,"Port St. Lucie, FL Metropolitan Statistical Area",365,"1,785"
90,"Raleigh-Cary, NC Metropolitan Statistical Area",362,"5,036"
91,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",361,"9,522"
92,"Jackson, MS Metropolitan Statistical Area",360,"2,141"
93,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",357,"7,412"
94,"Savannah, GA Metropolitan Statistical Area",356,"1,400"
95,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",354,"2,568"
96,"Vallejo, CA Metropolitan Statistical Area",353,"1,582"
97,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",349,558
98,"Mobile, AL Metropolitan Statistical Area",349,"1,498"
99,"Texarkana, TX-AR Metropolitan Statistical Area",347,516
100,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",338,"15,709"
101,"Greensboro-High Point, NC Metropolitan Statistical Area",334,"2,580"
102,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",333,"2,026"
103,"Ann Arbor, MI Metropolitan Statistical Area",331,"1,215"
104,"Trenton-Princeton, NJ Metropolitan Statistical Area",330,"1,212"
105,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",329,"10,518"
106,"Anniston-Oxford, AL Metropolitan Statistical Area",329,374
107,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",328,"14,162"
108,"Rocky Mount, NC Metropolitan Statistical Area",326,475
109,"Tucson, AZ Metropolitan Statistical Area",326,"3,410"
110,"Bakersfield, CA Metropolitan Statistical Area",319,"2,874"
111,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",316,"7,028"
112,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",315,"2,141"
113,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",313,"1,575"
114,"Tyler, TX Metropolitan Statistical Area",313,729
115,"Rochester, NY Metropolitan Statistical Area",303,"3,241"
116,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",302,"10,087"
117,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",302,709
118,"Greeley, CO Metropolitan Statistical Area",301,978
119,"Brownsville-Harlingen, TX Metropolitan Statistical Area",300,"1,268"
120,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",299,"7,073"
121,"Waco, TX Metropolitan Statistical Area",299,818
122,"Urban Honolulu, HI Metropolitan Statistical Area",299,"2,910"
123,"Pueblo, CO Metropolitan Statistical Area",297,501
124,"Athens-Clarke County, GA Metropolitan Statistical Area",297,635
125,"Goldsboro, NC Metropolitan Statistical Area",296,365
126,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",296,373
127,"Billings, MT Metropolitan Statistical Area",295,536
128,"Fort Wayne, IN Metropolitan Statistical Area",289,"1,193"
129,"Lawton, OK Metropolitan Statistical Area",288,364
130,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",286,"13,527"
131,"Bozeman, MT Micropolitan Statistical Area",286,327
132,"Hammond, LA Metropolitan Statistical Area",286,385
133,"Stockton, CA Metropolitan Statistical Area",283,"2,155"
134,"Monroe, LA Metropolitan Statistical Area",283,566
135,"Fresno, CA Metropolitan Statistical Area",282,"2,816"
136,"Missoula, MT Metropolitan Statistical Area",278,333
137,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",278,"17,447"
138,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",277,"7,065"
139,"Lake Charles, LA Metropolitan Statistical Area",275,578
140,"Hattiesburg, MS Metropolitan Statistical Area",273,461
141,"Grand Junction, CO Metropolitan Statistical Area",273,421
142,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",271,"1,630"
143,"Brunswick, GA Metropolitan Statistical Area",269,319
144,"Corpus Christi, TX Metropolitan Statistical Area",268,"1,151"
145,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",264,"5,256"
146,"Naples-Marco Island, FL Metropolitan Statistical Area",263,"1,013"
147,"Fort Smith, AR-OK Metropolitan Statistical Area",262,657
148,"Valdosta, GA Metropolitan Statistical Area",262,386
149,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",258,"2,244"
150,"Longview, TX Metropolitan Statistical Area",257,738
151,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",257,"4,051"
152,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",257,678
153,"Ocala, FL Metropolitan Statistical Area",256,935
154,"Greenville-Anderson, SC Metropolitan Statistical Area",254,"2,338"
155,"Provo-Orem, UT Metropolitan Statistical Area",253,"1,642"
156,"Odessa, TX Metropolitan Statistical Area",253,420
157,"Gainesville, FL Metropolitan Statistical Area",252,830
158,"Huntsville, AL Metropolitan Statistical Area",251,"1,185"
159,"Lumberton, NC Micropolitan Statistical Area",251,328
160,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",250,"1,923"
161,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",249,"1,664"
162,"Akron, OH Metropolitan Statistical Area",248,"1,745"
163,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",247,"2,089"
164,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",247,"6,165"
165,"Columbus, OH Metropolitan Statistical Area",247,"5,245"
166,"Auburn-Opelika, AL Metropolitan Statistical Area",246,405
167,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",243,"2,143"
168,"Dover, DE Metropolitan Statistical Area",243,440
169,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",242,"4,272"
170,"Alexandria, LA Metropolitan Statistical Area",234,356
171,"Richmond, VA Metropolitan Statistical Area",231,"2,985"
172,"Durham-Chapel Hill, NC Metropolitan Statistical Area",230,"1,481"
173,"Ogden-Clearfield, UT Metropolitan Statistical Area",229,"1,565"
174,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",228,484
175,"Flagstaff, AZ Metropolitan Statistical Area",228,327
176,"Gulfport-Biloxi, MS Metropolitan Statistical Area",227,947
177,"Modesto, CA Metropolitan Statistical Area",226,"1,246"
178,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",224,523
179,"Syracuse, NY Metropolitan Statistical Area",220,"1,430"
180,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",220,"2,075"
181,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",220,"1,218"
182,"College Station-Bryan, TX Metropolitan Statistical Area",220,582
183,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",220,"1,859"
184,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",219,709
185,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",219,"4,236"
186,"Midland, TX Metropolitan Statistical Area",219,399
187,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",217,"2,452"
188,"Kingston, NY Metropolitan Statistical Area",217,386
189,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",217,484
190,"Show Low, AZ Micropolitan Statistical Area",216,240
191,"San Angelo, TX Metropolitan Statistical Area",216,264
192,"Hilo, HI Micropolitan Statistical Area",215,433
193,"Yuba City, CA Metropolitan Statistical Area",213,374
194,"Dothan, AL Metropolitan Statistical Area",212,317
195,"Wichita Falls, TX Metropolitan Statistical Area",212,321
196,"Sherman-Denison, TX Metropolitan Statistical Area",212,289
197,"Punta Gorda, FL Metropolitan Statistical Area",208,392
198,"Gainesville, GA Metropolitan Statistical Area",207,424
