State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Alabama,Identity Theft,"17,376",30%
Alabama,"Credit Bureaus, Information Furnishers and Report Users","9,346",16%
Alabama,Imposter Scams,"4,370",7%
Alabama,Online Shopping and Negative Reviews,"3,482",6%
Alabama,"Prizes, Sweepstakes and Lotteries","2,143",4%
Alabama,Debt Collection,"2,124",4%
Alabama,Banks and Lenders,"2,002",3%
Alabama,Internet Services,"1,456",2%
Alabama,Auto Related,"1,365",2%
Alabama,Telephone and Mobile Services,1058,2%
Alaska,Identity Theft,926,15%
Alaska,Imposter Scams,821,13%
Alaska,Online Shopping and Negative Reviews,518,8%
Alaska,"Prizes, Sweepstakes and Lotteries",446,7%
Alaska,Internet Services,277,4%
Alaska,"Privacy, Data Security, and Cyber Threats",276,4%
Alaska,"Credit Bureaus, Information Furnishers and Report Users",219,3%
Alaska,Banks and Lenders,196,3%
Alaska,Health Care,133,2%
Alaska,Debt Collection,128,2%
Arizona,Identity Theft,"27,661",30%
Arizona,Imposter Scams,"8,448",9%
Arizona,Online Shopping and Negative Reviews,"5,825",6%
Arizona,"Credit Bureaus, Information Furnishers and Report Users","3,692",4%
Arizona,Banks and Lenders,"3,615",4%
Arizona,Internet Services,"2,772",3%
Arizona,Auto Related,"2,636",3%
Arizona,"Prizes, Sweepstakes and Lotteries","2,623",3%
Arizona,Debt Collection,"2,360",3%
Arizona,"Privacy, Data Security, and Cyber Threats","2,091",2%
Arkansas,Identity Theft,"17,470",42%
Arkansas,"Credit Bureaus, Information Furnishers and Report Users","6,932",17%
Arkansas,Imposter Scams,"2,849",7%
Arkansas,Online Shopping and Negative Reviews,"1,840",4%
Arkansas,"Prizes, Sweepstakes and Lotteries",1292,3%
Arkansas,Banks and Lenders,967,2%
Arkansas,Debt Collection,947,2%
Arkansas,Internet Services,833,2%
Arkansas,Auto Related,766,2%
Arkansas,Telephone and Mobile Services,572,1%
California,Identity Theft,"147,382",32%
California,Imposter Scams,"41,264",9%
California,"Credit Bureaus, Information Furnishers and Report Users","36,898",8%
California,Online Shopping and Negative Reviews,"33,312",7%
California,Banks and Lenders,"19,239",4%
California,Internet Services,"15,760",3%
California,Debt Collection,"12,144",3%
California,"Privacy, Data Security, and Cyber Threats","10,965",2%
California,Auto Related,"10,297",2%
California,"Prizes, Sweepstakes and Lotteries","8,356",2%
Colorado,Identity Theft,"20,762",29%
Colorado,Imposter Scams,"7,089",10%
Colorado,Online Shopping and Negative Reviews,"5,562",8%
Colorado,Banks and Lenders,"2,929",4%
Colorado,"Credit Bureaus, Information Furnishers and Report Users","2,313",3%
Colorado,Internet Services,"2,292",3%
