Top Three Identity Theft Reports by Year,,
,,
Theft Type,Year,# of Reports
2016,Credit Card Fraud,"124,522"
2016,Government Documents or Benefits Fraud,"23,954"
2016,Loan or Lease Fraud,"24,065"
2017,Credit Card Fraud,"133,100"
2017,Government Documents or Benefits Fraud,"25,941"
2017,Loan or Lease Fraud,"30,100"
2018,Credit Card Fraud,"157,743"
2018,Government Documents or Benefits Fraud,"24,933"
2018,Loan or Lease Fraud,"51,936"
2019,Credit Card Fraud,"271,927"
2019,Government Documents or Benefits Fraud,"23,213"
2019,Loan or Lease Fraud,"104,771"
2020,Credit Card Fraud,"393,207"
2020,Government Documents or Benefits Fraud,"406,375"
2020,Loan or Lease Fraud,"204,967"
,,
,,
The top identity theft types can vary by year. This table shows the top three types of identity theft reported in 2020 and how those types changed over five years.,,
,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,
