Fraud Reports and Reported Amount Lost by State,,,,
,,,,
State,# of Reports,% Reporting $ Loss,Total $ Loss,Median $ Loss
Alabama,"21,882",34%,"$25,919,356 ",$280 
Alaska,"4,231",30%,"$5,690,482 ",$500 
Arizona,"42,292",33%,"$69,480,674 ",$374 
Arkansas,"12,204",32%,"$13,766,178 ",$296 
California,"202,866",38%,"$400,906,105 ",$407 
Colorado,"35,403",35%,"$50,865,030 ",$360 
Connecticut,"18,665",37%,"$24,267,172 ",$286 
Delaware,"6,651",42%,"$9,127,134 ",$400 
District of Columbia,"5,660",35%,"$9,398,272 ",$399 
Florida,"132,020",34%,"$199,363,162 ",$384 
Georgia,"55,642",34%,"$71,838,915 ",$300 
Hawaii,"7,358",36%,"$15,600,412 ",$370 
Idaho,"8,257",35%,"$10,032,295 ",$295 
Illinois,"61,741",35%,"$93,324,881 ",$285 
Indiana,"30,537",34%,"$31,617,840 ",$240 
Iowa,"12,428",33%,"$17,145,701 ",$250 
Kansas,"13,921",30%,"$14,926,793 ",$250 
Kentucky,"20,798",32%,"$15,805,749 ",$210 
Louisiana,"18,780",34%,"$21,538,613 ",$300 
Maine,"6,234",31%,"$5,915,326 ",$211 
Maryland,"40,190",34%,"$55,070,605 ",$329 
Massachusetts,"34,028",34%,"$40,944,783 ",$275 
Michigan,"49,627",33%,"$57,506,652 ",$250 
Minnesota,"28,463",33%,"$36,770,064 ",$300 
Mississippi,"12,143",33%,"$10,747,672 ",$213 
Missouri,"31,649",33%,"$40,320,201 ",$236 
Montana,"5,482",30%,"$5,633,203 ",$299 
Nebraska,"8,801",30%,"$12,908,859 ",$263 
Nevada,"21,097",36%,"$36,540,254 ",$400 
New Hampshire,"7,265",30%,"$6,303,838 ",$231 
New Jersey,"46,512",39%,"$71,095,338 ",$320 
New Mexico,"11,790",33%,"$24,425,707 ",$420 
New York,"104,830",38%,"$169,772,736 ",$306 
North Carolina,"54,326",33%,"$72,091,558 ",$285 
North Dakota,"2,649",36%,"$3,001,792 ",$381 
Ohio,"58,226",32%,"$58,025,769 ",$230 
Oklahoma,"16,209",33%,"$18,870,613 ",$269 
Oregon,"25,951",33%,"$32,077,498 ",$300 
Pennsylvania,"68,854",36%,"$74,743,014 ",$261 
Puerto Rico,"3,762",50%,"$8,030,078 ",$384 
Rhode Island,"5,194",33%,"$4,065,867 ",$229 
South Carolina,"26,531",33%,"$35,233,327 ",$294 
South Dakota,"2,989",34%,"$4,206,690 ",$252 
Tennessee,"35,638",32%,"$40,622,639 ",$270 
Texas,"136,042",35%,"$203,050,893 ",$350 
Utah,"15,777",33%,"$23,933,628 ",$322 
Vermont,"3,292",33%,"$3,641,974 ",$298 
Virginia,"52,960",34%,"$72,616,232 ",$340 
Washington,"47,364",33%,"$68,724,033 ",$400 
West Virginia,"8,464",35%,"$9,393,717 ",$205 
Wisconsin,"28,771",34%,"$34,307,635 ",$249 
Wyoming,"2,631",35%,"$4,088,181 ",$312 
,,,,
"The amount lost refers to reports with a loss of $1 – $999,999.  The number of reports for each state excludes state-specific data contributor reports.",,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,,
