Report Categories,,,
,,,
Rank,Category, # of Reports ,Percentage
1,Identity Theft,"1,387,615",29.39%
2,Imposter Scams,"498,278",10.56%
3,Online Shopping and Negative Reviews,"353,509",7.49%
4,"Credit Bureaus, Information Furnishers and Report Users","316,521",6.70%
5,Banks and Lenders,"170,958",3.62%
6,Internet Services,"140,435",2.97%
7,Auto Related,"120,474",2.55%
8,Debt Collection,"120,190",2.55%
9,"Prizes, Sweepstakes and Lotteries","116,205",2.46%
10,Health Care,"83,472",1.77%
11,Telephone and Mobile Services,"81,835",1.73%
12,"Privacy, Data Security, and Cyber Threats","74,925",1.59%
13,"Travel, Vacations and Timeshare Plans","73,388",1.55%
14,Credit Cards,"66,090",1.40%
15,Business and Job Opportunities,"59,131",1.25%
16,"Home Repair, Improvement and Products","52,555",1.11%
17,Television and Electronic Media,"41,079",0.87%
18,Foreign Money Offers and Fake Check Scams,"38,420",0.81%
19,Education,"26,872",0.57%
20,Investment Related,"24,647",0.52%
21,Computer Equipment and Software,"21,306",0.45%
22,Advance Payments for Credit Services,"16,842",0.36%
23,Mortgage Foreclosure Relief and Debt Management,"10,727",0.23%
24,Magazines and Books,"6,333",0.13%
25,Office Supplies and Services,"5,392",0.11%
26,Charitable Solicitations,"4,629",0.10%
27,Tax Preparers,"4,616",0.10%
28,Grants,"4,014",0.09%
29,Funeral Services,"1,309",0.03%
,,,
"Percentages are based on the total number of 2020 Sentinel reports (4,720,743). 9% of the total were coded “Other(Note in Comments).” See Appendix B3.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,
