"Fraud, Identity Theft, and Other Reports by Military Consumers",,,,,
,,,,,
Military Status,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Active Duty Service Member,"12,510","4,442",39%,$13M,$575 
Military Retiree/Veteran,"114,808","41,579",22%,$66M,$569 
Reserve/National Guard,"7,659","2,833",30%,$6M,$578 
Spouse/Dependent of Active Duty Service Member,"18,873","7,748",25%,$17M,$500 
,,,,,
"Of the 171,792 total reports from military consumers in 2020, 90% provided military status information.",,,,,
,,,,,
Military Branch,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
U.S. Air Force,"29,086","11,397",22%,$18M,$500 
U.S. Army,"68,976","24,793",24%,$47M,$600 
U.S. Coast Guard,"2,473",963,26%,$4M,$550 
U.S. Marines,"15,335","5,134",27%,$9M,$540 
U.S. Navy,"30,632","11,512",24%,$20M,$576 
,,,,,
"Of the 171,792 total reports from military consumers in 2020, 85% provided military branch information.",,,,,
,,,,,
Military Rank,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Enlisted,"80,614","26,440",28%,$43M,$500 
Officer,"17,771","6,867",24%,$19M,$500 
,,,,,
"Of the 171,792 total reports from military consumers in 2020, 57% provided information about rank.",,,,,
,,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,,,,
