State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Alabama,Bank Fraud,975,6%
Alabama,Credit Card Fraud,"7,365",42%
Alabama,Employment or Tax-Related Fraud,"1,610",9%
Alabama,Government Documents or Benefits Fraud,"1,504",9%
Alabama,Loan or Lease Fraud,"3,385",19%
Alabama,Other Identity Theft,"5,879",34%
Alabama,Phone or Utilities Fraud,"1,346",8%
Alaska,Bank Fraud,128,14%
Alaska,Credit Card Fraud,253,27%
Alaska,Employment or Tax-Related Fraud,101,11%
Alaska,Government Documents or Benefits Fraud,226,24%
Alaska,Loan or Lease Fraud,120,13%
Alaska,Other Identity Theft,188,20%
Alaska,Phone or Utilities Fraud,133,14%
Arizona,Bank Fraud,"2,057",7%
Arizona,Credit Card Fraud,"5,346",19%
Arizona,Employment or Tax-Related Fraud,"3,722",13%
Arizona,Government Documents or Benefits Fraud,"10,895",39%
Arizona,Loan or Lease Fraud,"3,144",11%
Arizona,Other Identity Theft,"5,360",19%
Arizona,Phone or Utilities Fraud,"1,721",6%
Arkansas,Bank Fraud,605,3%
Arkansas,Credit Card Fraud,"3,413",20%
Arkansas,Employment or Tax-Related Fraud,"1,072",6%
Arkansas,Government Documents or Benefits Fraud,"6,888",39%
Arkansas,Loan or Lease Fraud,"3,348",19%
Arkansas,Other Identity Theft,"5,870",34%
Arkansas,Phone or Utilities Fraud,"1,003",6%
California,Bank Fraud,"10,471",7%
California,Credit Card Fraud,"66,393",45%
California,Employment or Tax-Related Fraud,"14,733",10%
California,Government Documents or Benefits Fraud,"14,866",10%
California,Loan or Lease Fraud,"20,815",14%
California,Other Identity Theft,"39,466",27%
California,Phone or Utilities Fraud,"9,902",7%
Colorado,Bank Fraud,"1,874",9%
Colorado,Credit Card Fraud,"3,162",15%
Colorado,Employment or Tax-Related Fraud,"1,794",9%
Colorado,Government Documents or Benefits Fraud,"12,043",58%
Colorado,Loan or Lease Fraud,"1,324",6%
Colorado,Other Identity Theft,"2,375",11%
Colorado,Phone or Utilities Fraud,882,4%
Connecticut,Bank Fraud,817,12%
Connecticut,Credit Card Fraud,"2,172",32%
Connecticut,Employment or Tax-Related Fraud,787,12%
Connecticut,Government Documents or Benefits Fraud,"1,200",18%
Connecticut,Loan or Lease Fraud,978,14%
Connecticut,Other Identity Theft,"1,471",22%
Connecticut,Phone or Utilities Fraud,870,13%
Delaware,Bank Fraud,"1,284",29%
Delaware,Credit Card Fraud,"1,356",31%
Delaware,Employment or Tax-Related Fraud,202,5%
Delaware,Government Documents or Benefits Fraud,305,7%
Delaware,Loan or Lease Fraud,614,14%
Delaware,Other Identity Theft,994,23%
Delaware,Phone or Utilities Fraud,483,11%
District of Columbia,Bank Fraud,242,9%
District of Columbia,Credit Card Fraud,914,35%
District of Columbia,Employment or Tax-Related Fraud,321,12%
District of Columbia,Government Documents or Benefits Fraud,263,10%
District of Columbia,Loan or Lease Fraud,500,19%
District of Columbia,Other Identity Theft,762,29%
District of Columbia,Phone or Utilities Fraud,269,10%
Florida,Bank Fraud,"7,399",7%
Florida,Credit Card Fraud,"44,644",44%
Florida,Employment or Tax-Related Fraud,"7,447",7%
Florida,Government Documents or Benefits Fraud,"6,443",6%
Florida,Loan or Lease Fraud,"19,709",19%
Florida,Other Identity Theft,"34,544",34%
Florida,Phone or Utilities Fraud,"9,525",9%
Georgia,Bank Fraud,"2,959",4%
Georgia,Credit Card Fraud,"29,126",42%
Georgia,Employment or Tax-Related Fraud,"4,053",6%
Georgia,Government Documents or Benefits Fraud,"2,772",4%
Georgia,Loan or Lease Fraud,"17,367",25%
Georgia,Other Identity Theft,"28,172",41%
Georgia,Phone or Utilities Fraud,"6,991",10%
Hawaii,Bank Fraud,270,7%
Hawaii,Credit Card Fraud,650,17%
Hawaii,Employment or Tax-Related Fraud,404,11%
Hawaii,Government Documents or Benefits Fraud,"1,879",49%
Hawaii,Loan or Lease Fraud,267,7%
Hawaii,Other Identity Theft,662,17%
Hawaii,Phone or Utilities Fraud,188,5%
Idaho,Bank Fraud,421,18%
Idaho,Credit Card Fraud,543,23%
Idaho,Employment or Tax-Related Fraud,327,14%
Idaho,Government Documents or Benefits Fraud,538,23%
Idaho,Loan or Lease Fraud,349,15%
Idaho,Other Identity Theft,429,18%
Idaho,Phone or Utilities Fraud,146,6%
Illinois,Bank Fraud,"4,203",3%
Illinois,Credit Card Fraud,"14,342",11%
Illinois,Employment or Tax-Related Fraud,"5,625",4%
Illinois,Government Documents or Benefits Fraud,"98,330",73%
Illinois,Loan or Lease Fraud,"7,468",6%
Illinois,Other Identity Theft,"13,211",10%
Illinois,Phone or Utilities Fraud,"4,323",3%
Indiana,Bank Fraud,"1,264",7%
Indiana,Credit Card Fraud,"2,883",17%
Indiana,Employment or Tax-Related Fraud,"1,624",9%
Indiana,Government Documents or Benefits Fraud,"8,309",48%
Indiana,Loan or Lease Fraud,"1,439",8%
