Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
1,"Tuscaloosa, AL Metropolitan Statistical Area","2,273","5,729"
2,"Sebastian-Vero Beach, FL Metropolitan Statistical Area","1,614","2,581"
3,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","1,376","10,216"
4,"Memphis, TN-MS-AR Metropolitan Statistical Area","1,361","18,322"
5,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","1,319","81,365"
6,"Homosassa Springs, FL Metropolitan Statistical Area","1,261","1,887"
7,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area","1,227","73,880"
8,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area","1,223","27,721"
9,"Jacksonville, FL Metropolitan Statistical Area","1,136","17,719"
10,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","1,094","6,583"
11,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","1,093","34,930"
12,"East Stroudsburg, PA Metropolitan Statistical Area","1,081","1,840"
13,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","1,072","27,956"
14,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","1,072","67,314"
15,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","1,069","65,226"
16,"Port St. Lucie, FL Metropolitan Statistical Area","1,066","5,214"
17,"Montgomery, AL Metropolitan Statistical Area","1,029","3,841"
18,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","1,018","28,508"
19,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","1,016","26,802"
20,"Killeen-Temple, TX Metropolitan Statistical Area","1,005","4,628"
21,"Santa Fe, NM Metropolitan Statistical Area","1,000","1,504"
22,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",989,"17,494"
