Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",729,"44,489"
2,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",604,"36,395"
3,"Tuscaloosa, AL Metropolitan Statistical Area",497,"1,321"
4,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",488,"34,414"
5,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",488,"10,889"
6,"Savannah, GA Metropolitan Statistical Area",483,"1,940"
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",467,"29,038"
8,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area",465,"5,644"
9,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",458,"60,428"
10,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",446,"11,747"
11,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",439,"33,078"
12,"Killeen-Temple, TX Metropolitan Statistical Area",427,"1,997"
13,"LaGrange, GA-AL Micropolitan Statistical Area",400,417
14,"Cleveland-Elyria, OH Metropolitan Statistical Area",398,"8,289"
15,"Macon-Bibb County, GA Metropolitan Statistical Area",394,919
16,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",392,"2,799"
17,"Columbus, OH Metropolitan Statistical Area",384,"8,154"
18,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",378,"9,927"
19,"Florence, SC Metropolitan Statistical Area",369,740
20,"Memphis, TN-MS-AR Metropolitan Statistical Area",368,"4,912"
21,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",365,"3,491"
22,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",363,"17,842"
23,"Montgomery, AL Metropolitan Statistical Area",361,"1,390"
24,"Charleston-North Charleston, SC Metropolitan Statistical Area",356,"2,809"
25,"Columbia, SC Metropolitan Statistical Area",354,"2,925"
26,"Warner Robins, GA Metropolitan Statistical Area",352,666
27,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",351,"11,036"
28,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",350,"33,634"
29,"Norwich-New London, CT Metropolitan Statistical Area",346,931
30,"New Haven-Milford, CT Metropolitan Statistical Area",345,"2,982"
31,"East Stroudsburg, PA Metropolitan Statistical Area",342,575
32,"Columbus, GA-AL Metropolitan Statistical Area",341,"1,111"
33,"Baton Rouge, LA Metropolitan Statistical Area",341,"2,955"
34,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",339,"1,347"
35,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",332,"14,568"
36,"Tallahassee, FL Metropolitan Statistical Area",331,"1,268"
37,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",329,"2,715"
38,"Albany, GA Metropolitan Statistical Area",329,491
39,"New Orleans-Metairie, LA Metropolitan Statistical Area",320,"4,056"
40,"Port St. Lucie, FL Metropolitan Statistical Area",316,"1,528"
41,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",312,"2,677"
42,"Akron, OH Metropolitan Statistical Area",312,"2,190"
43,"Monroe, LA Metropolitan Statistical Area",310,642
44,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",309,"14,816"
45,"Fayetteville, NC Metropolitan Statistical Area",308,"1,599"
46,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",304,"19,236"
47,"Jacksonville, FL Metropolitan Statistical Area",303,"4,798"
48,"Valdosta, GA Metropolitan Statistical Area",303,446
49,"Richmond, VA Metropolitan Statistical Area",301,"3,924"
50,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",300,"60,047"
51,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",300,"6,697"
52,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",299,"2,225"
53,"Torrington, CT Micropolitan Statistical Area",298,551
54,"Sumter, SC Metropolitan Statistical Area",296,406
55,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",295,"8,376"
56,"Greenville-Anderson, SC Metropolitan Statistical Area",295,"2,704"
57,"Reading, PA Metropolitan Statistical Area",294,"1,255"
58,"Dover, DE Metropolitan Statistical Area",291,524
