Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2021,Advance Payments for Credit Services,Advance-Fee Credit,"21,151",0.35%
2021,Advance Payments for Credit Services,Credit Repair,"3,549",0.06%
2021,Auto Related,Auto Financing,"10,618",0.17%
2021,Auto Related,Auto Parts & Repairs,"33,871",0.55%
2021,Auto Related,Auto Renting & Leasing,"23,478",0.38%
2021,Auto Related,Auto Service & Warranties,"15,307",0.25%
2021,Auto Related,Gasoline,484,0.01%
2021,Auto Related,New Auto Sales,"47,949",0.78%
2021,Auto Related,Used Auto Sales,"45,051",0.74%
2021,Banks and Lenders,Auto Title Lending,985,0.02%
2021,Banks and Lenders,Bank & Credit Union Lending,802,0.01%
2021,Banks and Lenders,"Banks, Credit Unions & S&Ls","80,672",1.32%
2021,Banks and Lenders,Finance Company Lending,"13,517",0.22%
2021,Banks and Lenders,Misc. Institution Lending,"21,128",0.35%
2021,Banks and Lenders,Mortgage Lending,"48,837",0.80%
2021,Banks and Lenders,Payday Loans,"6,207",0.10%
2021,Banks and Lenders,Student Loans,"46,609",0.76%
2021,Business and Job Opportunities,Business & Work-at-Home Opportunities,"16,728",0.27%
2021,Business and Job Opportunities,Franchises & Distributorships*,"1,027",0.02%
2021,Business and Job Opportunities,Invention Promotion,619,0.01%
2021,Business and Job Opportunities,Job Scams & Employment Agencies,"80,876",1.32%
2021,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"8,166",0.13%
2021,Charitable Solicitations,Charitable Solicitations,"9,610",0.16%
2021,Computer Equipment and Software,Computer Equipment & Software,"21,476",0.35%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"592,847",9.68%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,"2,577",0.04%
2021,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,748,0.01%
2021,Credit Cards and Loss Protection‡,Credit Cards and Loss Protection‡,"74,885",1.22%
2021,Debt Collection,Creditor Debt Collection,"57,951",0.95%
2021,Debt Collection,Third Party Debt Collection,"102,747",1.68%
2021,Education,Colleges & Universities,"23,311",0.38%
2021,Education,Trade & Vocational Schools,"3,467",0.06%
2021,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"36,665",0.60%
2021,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"2,446",0.04%
2021,Funeral Services,Funeral Services,"1,678",0.03%
2021,Grants,Non-Educational Grants,"4,030",0.07%
2021,Grants,Scholarships & Educational Grants,314,0.01%
2021,Health Care,"Diet Products, Plans & Centers","31,696",0.52%
2021,Health Care,Eye Care*,"6,073",0.10%
2021,Health Care,Health Care Billing*,"2,174",0.04%
2021,Health Care,Medical Insurance & Discount Plans,"6,722",0.11%
2021,Health Care,Medical Treatments & Cures,"44,535",0.73%
2021,Health Care,Misc. Medical*,"23,130",0.38%
2021,"Home Repair, Improvement and Products",Home Appliances and Connected Devices‡,"4,442",0.07%
2021,"Home Repair, Improvement and Products",Home Furnishings,"9,151",0.15%
2021,"Home Repair, Improvement and Products",Home Protection Devices,"1,076",0.02%
2021,"Home Repair, Improvement and Products",Home Repair,"16,779",0.27%
2021,"Home Repair, Improvement and Products",Home Warranties,"32,401",0.53%
2021,"Home Repair, Improvement and Products",Housing,"35,086",0.57%
2021,Identity Theft,Identity Theft,"1,434,492",23.43%
2021,Imposter Scams,Business Imposters,"399,225",6.52%
2021,Imposter Scams,Family & Friend Imposters,"36,264",0.59%
2021,Imposter Scams,Government Imposters§,"396,551",6.48%
2021,Imposter Scams,Romance Scams,"79,696",1.30%
2021,Imposter Scams,Tech Support Scams,"116,864",1.91%
2021,Internet Services,Broadband Internet Access*,"5,416",0.09%
2021,Internet Services,Broadband Internet Cost*,"7,567",0.12%
2021,Internet Services,Broadband Internet Speed*,"1,622",0.03%
2021,Internet Services,Gaming & Virtual Reality*,"7,499",0.12%
2021,Internet Services,Online Payment Services,"66,248",1.08%
2021,Internet Services,Social Networking Services,"32,857",0.54%
2021,Internet Services,Website Content,"27,539",0.45%
2021,Internet Services,Website Design & Promotion,"4,180",0.07%
2021,Investment Related,Miscellaneous Investments & Investment Advice‡,"79,374",1.30%
2021,Investment Related,Stocks & Commodity Futures Trading,"4,306",0.07%
2021,Magazines and Books,Books & Magazines,"7,282",0.12%
2021,Miscellaneous Reports,Business Equipment & Facilities Leasing,199,0.00%
2021,Miscellaneous Reports,Children's Products,"1,915",0.03%
2021,Miscellaneous Reports,Food,"2,617",0.04%
2021,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles","1,112",0.02%
2021,Miscellaneous Reports,Immigration Services,582,0.01%
2021,Miscellaneous Reports,Insurance (excl. Medical),"7,976",0.13%
2021,Miscellaneous Reports,Jewelry & Watches,"6,761",0.11%
2021,Miscellaneous Reports,Personal Care Products,"4,223",0.07%
2021,Miscellaneous Reports,Property & Inheritance Tracers,838,0.01%
2021,Miscellaneous Reports,Real Estate,"23,472",0.38%
2021,Miscellaneous Reports,Tobacco Products,"1,326",0.02%
2021,Miscellaneous Reports,Utilities,"4,970",0.08%
2021,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"21,870",0.36%
2021,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,800,0.01%
2021,Office Supplies and Services,Office Directory Listings & Ad Space,"2,420",0.04%
2021,Office Supplies and Services,Office Supplies & Services,"2,469",0.04%
2021,Online Shopping and Negative Reviews,Negative Online Reviews*,469,0.01%
2021,Online Shopping and Negative Reviews,Online Shopping,"458,385",7.49%
2021,"Privacy, Data Security, and Cyber Threats",Malware & Computer Exploits†,"54,870",0.90%
2021,"Privacy, Data Security, and Cyber Threats",Privacy & Data Security,"20,875",0.34%
2021,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","154,829",2.53%
2021,Tax Preparers,Tax Preparers,"7,998",0.13%
2021,Telephone and Mobile Services,Phone Billing‡,"18,146",0.30%
2021,Telephone and Mobile Services,"Phone Devices, Accessories & Services§","99,996",1.63%
2021,Telephone and Mobile Services,Prepaid Phone Cards,"1,260",0.02%
2021,Television and Electronic Media,Cable & Satellite TV,"44,146",0.72%
2021,Television and Electronic Media,Streaming & Digital Media,"2,395",0.04%
2021,Television and Electronic Media,TV Programming & Ads,"2,177",0.04%
2021,"Travel, Vacations and Timeshare Plans",Timeshare Resales,"2,889",0.05%
2021,"Travel, Vacations and Timeshare Plans",Timeshare Sales,"9,368",0.15%
2021,"Travel, Vacations and Timeshare Plans",Vacation & Travel,"65,936",1.08%
2021,Unspecified Reports,Other Misc.,"551,546",9.01%
2021,Unspecified Reports,Unsolicited Email,"171,456",2.80%
2021,Unspecified Reports,Unsolicited Text Messages,"294,657",4.81%
2021,Unspecified Reports,Unwanted Telemarketing Calls,"188,672",3.08%
2022,Advance Payments for Credit Services,Advance-Fee Credit,"30,592",0.58%
2022,Advance Payments for Credit Services,Credit Repair,"4,008",0.08%
