State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Alabama,"Credit Bureaus, Information Furnishers and Report Users","15,966",24%
Alabama,Identity Theft,"12,228",18%
Alabama,Imposter Scams,"7,639",11%
Alabama,Online Shopping and Negative Reviews,"3,534",5%
Alabama,Banks and Lenders,"3,146",5%
Alabama,"Prizes, Sweepstakes and Lotteries","3,110",5%
Alabama,Debt Collection,"2,265",3%
Alabama,Auto Related,"2,183",3%
Alabama,Internet Services,"1,361",2%
Alabama,Telephone and Mobile Services,1270,2%
Alaska,Imposter Scams,1771,24%
Alaska,Identity Theft,839,12%
Alaska,Online Shopping and Negative Reviews,657,9%
Alaska,"Prizes, Sweepstakes and Lotteries",396,5%
Alaska,Banks and Lenders,332,5%
Alaska,Internet Services,281,4%
Alaska,"Credit Bureaus, Information Furnishers and Report Users",274,4%
Alaska,Auto Related,256,4%
Alaska,"Privacy, Data Security, and Cyber Threats",206,3%
Alaska,Investment Related,192,3%
Arizona,Identity Theft,"18,539",18%
Arizona,Imposter Scams,"16,406",16%
Arizona,"Credit Bureaus, Information Furnishers and Report Users","12,226",12%
Arizona,Online Shopping and Negative Reviews,"6,783",6%
Arizona,Banks and Lenders,"4,816",5%
Arizona,Auto Related,"3,927",4%
Arizona,"Prizes, Sweepstakes and Lotteries","3,592",3%
Arizona,Health Care,"3,155",3%
Arizona,Debt Collection,"2,637",3%
Arizona,Internet Services,"2,501",2%
Arkansas,Identity Theft,"5,071",17%
Arkansas,Imposter Scams,"4,403",15%
Arkansas,"Credit Bureaus, Information Furnishers and Report Users","3,714",13%
Arkansas,Online Shopping and Negative Reviews,"2,103",7%
Arkansas,"Prizes, Sweepstakes and Lotteries",1776,6%
Arkansas,Banks and Lenders,1372,5%
Arkansas,Auto Related,1150,4%
Arkansas,Debt Collection,840,3%
Arkansas,Telephone and Mobile Services,722,2%
Arkansas,Internet Services,667,2%
California,Identity Theft,"119,929",23%
California,Imposter Scams,"73,298",14%
California,"Credit Bureaus, Information Furnishers and Report Users","70,483",13%
California,Online Shopping and Negative Reviews,"33,337",6%
California,Banks and Lenders,"26,889",5%
California,Auto Related,"15,388",3%
California,"Prizes, Sweepstakes and Lotteries","13,594",3%
California,Internet Services,"13,179",3%
California,Credit Cards and Loss Protection,"12,849",2%
California,Debt Collection,"11,430",2%
Colorado,Imposter Scams,"13,941",19%
Colorado,Identity Theft,"12,729",17%
Colorado,Online Shopping and Negative Reviews,"6,039",8%
Colorado,Banks and Lenders,"3,873",5%
Colorado,"Credit Bureaus, Information Furnishers and Report Users","3,630",5%
Colorado,Auto Related,"2,855",4%
Colorado,"Prizes, Sweepstakes and Lotteries","2,651",4%
Colorado,Health Care,"2,210",3%
Colorado,Internet Services,"1,985",3%
Colorado,"Privacy, Data Security, and Cyber Threats","1,847",2%
Connecticut,Identity Theft,"13,848",29%
Connecticut,Imposter Scams,"6,318",13%
Connecticut,"Credit Bureaus, Information Furnishers and Report Users","4,366",9%
Connecticut,Online Shopping and Negative Reviews,"3,129",7%
Connecticut,Banks and Lenders,"2,458",5%
Connecticut,Auto Related,"1,715",4%
Connecticut,Credit Cards and Loss Protection,"1,263",3%
Connecticut,Internet Services,1251,3%
Connecticut,"Prizes, Sweepstakes and Lotteries",1111,2%
Connecticut,Health Care,1111,2%
Delaware,"Credit Bureaus, Information Furnishers and Report Users","3,826",21%
Delaware,Identity Theft,"3,523",19%
Delaware,Imposter Scams,2160,12%
Delaware,Online Shopping and Negative Reviews,1131,6%
Delaware,Banks and Lenders,900,5%
Delaware,Auto Related,675,4%
Delaware,"Prizes, Sweepstakes and Lotteries",649,4%
Delaware,Debt Collection,618,3%
Delaware,Credit Cards and Loss Protection,496,3%
Delaware,Internet Services,462,3%
District of Columbia,Identity Theft,"3,268",20%
District of Columbia,"Credit Bureaus, Information Furnishers and Report Users","2,856",18%
District of Columbia,Imposter Scams,2114,13%
District of Columbia,Banks and Lenders,1124,7%
District of Columbia,Online Shopping and Negative Reviews,988,6%
District of Columbia,Credit Cards and Loss Protection,518,3%
District of Columbia,Internet Services,485,3%
District of Columbia,Auto Related,463,3%
District of Columbia,Debt Collection,354,2%
District of Columbia,Health Care,315,2%
Florida,"Credit Bureaus, Information Furnishers and Report Users","96,598",23%
Florida,Identity Theft,"93,547",22%
Florida,Imposter Scams,"45,223",11%
Florida,Online Shopping and Negative Reviews,"20,887",5%
Florida,Banks and Lenders,"19,564",5%
Florida,Auto Related,"14,270",3%
Florida,Debt Collection,"13,098",3%
Florida,"Prizes, Sweepstakes and Lotteries","10,700",3%
Florida,Credit Cards and Loss Protection,"9,404",2%
Florida,Health Care,"8,928",2%
Georgia,"Credit Bureaus, Information Furnishers and Report Users","54,403",25%
Georgia,Identity Theft,"48,606",23%
Georgia,Imposter Scams,"19,575",9%
Georgia,Banks and Lenders,"10,658",5%
Georgia,Online Shopping and Negative Reviews,"8,879",4%
Georgia,Debt Collection,"8,245",4%
Georgia,Auto Related,"7,521",4%
Georgia,"Prizes, Sweepstakes and Lotteries","4,580",2%
Georgia,Credit Cards and Loss Protection,"4,497",2%
Georgia,Internet Services,"3,919",2%
Hawaii,Imposter Scams,"3,055",22%
Hawaii,Identity Theft,"1,773",13%
Hawaii,Online Shopping and Negative Reviews,1114,8%
Hawaii,"Credit Bureaus, Information Furnishers and Report Users",933,7%
Hawaii,"Prizes, Sweepstakes and Lotteries",699,5%
Hawaii,Banks and Lenders,622,5%
Hawaii,Auto Related,444,3%
Hawaii,Internet Services,373,3%
Hawaii,Investment Related,370,3%
Hawaii,Credit Cards and Loss Protection,329,2%
Idaho,Imposter Scams,"3,354",20%
Idaho,Identity Theft,"2,223",13%
Idaho,Online Shopping and Negative Reviews,1553,9%
Idaho,"Prizes, Sweepstakes and Lotteries",885,5%
Idaho,"Credit Bureaus, Information Furnishers and Report Users",818,5%
Idaho,Banks and Lenders,797,5%
Idaho,Auto Related,587,4%
Idaho,Health Care,450,3%
Idaho,Debt Collection,441,3%
Idaho,Internet Services,433,3%
Illinois,Identity Theft,"39,314",22%
Illinois,"Credit Bureaus, Information Furnishers and Report Users","35,713",20%
Illinois,Imposter Scams,"20,996",12%
Illinois,Online Shopping and Negative Reviews,"10,825",6%
Illinois,Banks and Lenders,"8,771",5%
Illinois,Auto Related,"6,622",4%
Illinois,Debt Collection,"4,528",3%
Illinois,"Prizes, Sweepstakes and Lotteries","4,236",2%
Illinois,Internet Services,"4,163",2%
Illinois,Credit Cards and Loss Protection,"4,083",2%
Indiana,Identity Theft,"11,870",17%
Indiana,Imposter Scams,"11,245",16%
Indiana,"Credit Bureaus, Information Furnishers and Report Users","8,837",13%
Indiana,Online Shopping and Negative Reviews,"5,096",7%
Indiana,Banks and Lenders,"3,355",5%
Indiana,"Prizes, Sweepstakes and Lotteries","3,256",5%
Indiana,Auto Related,"2,512",4%
Indiana,Internet Services,"1,777",3%
Indiana,Debt Collection,"1,766",3%
Indiana,Health Care,1708,2%
Iowa,Imposter Scams,"4,602",19%
Iowa,Identity Theft,"4,468",19%
Iowa,Online Shopping and Negative Reviews,"2,180",9%
Iowa,"Credit Bureaus, Information Furnishers and Report Users",1449,6%
Iowa,Banks and Lenders,1212,5%
Iowa,"Prizes, Sweepstakes and Lotteries",1011,4%
Iowa,Auto Related,768,3%
Iowa,Debt Collection,661,3%
Iowa,Internet Services,639,3%
Iowa,Health Care,620,3%
Kansas,Imposter Scams,"5,031",19%
Kansas,Identity Theft,"4,405",17%
Kansas,Online Shopping and Negative Reviews,"2,044",8%
Kansas,"Credit Bureaus, Information Furnishers and Report Users","1,529",6%
Kansas,"Prizes, Sweepstakes and Lotteries",1508,6%
Kansas,Banks and Lenders,1271,5%
Kansas,Auto Related,1031,4%
Kansas,Health Care,833,3%
Kansas,Internet Services,745,3%
Kansas,Debt Collection,744,3%
Kentucky,Imposter Scams,"6,941",18%
Kentucky,Identity Theft,"5,340",14%
Kentucky,Online Shopping and Negative Reviews,"3,381",9%
Kentucky,"Credit Bureaus, Information Furnishers and Report Users","2,746",7%
Kentucky,"Prizes, Sweepstakes and Lotteries","2,261",6%
Kentucky,Banks and Lenders,"2,071",5%
Kentucky,Auto Related,"1,640",4%
Kentucky,Internet Services,"1,134",3%
Kentucky,Telephone and Mobile Services,1071,3%
Kentucky,Health Care,1046,3%
Louisiana,"Credit Bureaus, Information Furnishers and Report Users","16,979",27%
Louisiana,Identity Theft,"12,816",21%
Louisiana,Imposter Scams,"6,703",11%
Louisiana,Online Shopping and Negative Reviews,"2,777",4%
Louisiana,Banks and Lenders,"2,636",4%
Louisiana,Debt Collection,"2,069",3%
Louisiana,"Prizes, Sweepstakes and Lotteries","1,971",3%
Louisiana,Auto Related,"1,779",3%
Louisiana,Internet Services,1125,2%
Louisiana,Telephone and Mobile Services,1124,2%
Maine,Imposter Scams,"2,655",21%
Maine,Identity Theft,1714,13%
Maine,Online Shopping and Negative Reviews,1271,10%
Maine,"Prizes, Sweepstakes and Lotteries",708,6%
Maine,Banks and Lenders,694,5%
Maine,"Credit Bureaus, Information Furnishers and Report Users",449,4%
Maine,Auto Related,445,3%
Maine,Health Care,356,3%
Maine,Internet Services,355,3%
Maine,Credit Cards and Loss Protection,310,2%
Maryland,"Credit Bureaus, Information Furnishers and Report Users","18,410",18%
Maryland,Identity Theft,"18,327",18%
Maryland,Imposter Scams,"14,968",15%
Maryland,Online Shopping and Negative Reviews,"5,833",6%
Maryland,Banks and Lenders,"5,688",6%
Maryland,Auto Related,"3,714",4%
Maryland,"Prizes, Sweepstakes and Lotteries","2,999",3%
Maryland,Debt Collection,"2,696",3%
Maryland,Credit Cards and Loss Protection,"2,317",2%
Maryland,Internet Services,"2,255",2%
Massachusetts,Identity Theft,"24,540",28%
Massachusetts,Imposter Scams,"14,643",17%
Massachusetts,"Credit Bureaus, Information Furnishers and Report Users","7,105",8%
Massachusetts,Online Shopping and Negative Reviews,"6,549",8%
Massachusetts,Banks and Lenders,"4,117",5%
Massachusetts,Auto Related,"2,646",3%
Massachusetts,Internet Services,"2,130",2%
Massachusetts,"Prizes, Sweepstakes and Lotteries","2,055",2%
Massachusetts,Credit Cards and Loss Protection,"1,980",2%
Massachusetts,Health Care,"1,859",2%
Michigan,Identity Theft,"23,621",20%
Michigan,Imposter Scams,"17,466",15%
Michigan,"Credit Bureaus, Information Furnishers and Report Users","16,865",14%
Michigan,Online Shopping and Negative Reviews,"7,978",7%
Michigan,Banks and Lenders,"6,065",5%
Michigan,"Prizes, Sweepstakes and Lotteries","4,549",4%
Michigan,Auto Related,"3,743",3%
Michigan,Debt Collection,"3,413",3%
Michigan,Internet Services,"3,081",3%
Michigan,Telephone and Mobile Services,"2,782",2%
Minnesota,Imposter Scams,"10,576",20%
Minnesota,Identity Theft,"8,063",15%
Minnesota,Online Shopping and Negative Reviews,"4,537",9%
Minnesota,"Credit Bureaus, Information Furnishers and Report Users","3,376",6%
Minnesota,Banks and Lenders,"3,038",6%
Minnesota,"Prizes, Sweepstakes and Lotteries","2,393",5%
Minnesota,Auto Related,"1,719",3%
Minnesota,Health Care,1411,3%
Minnesota,Internet Services,1359,3%
Minnesota,Credit Cards and Loss Protection,1204,2%
Mississippi,"Credit Bureaus, Information Furnishers and Report Users","6,982",21%
Mississippi,Identity Theft,"6,663",20%
Mississippi,Imposter Scams,"3,823",11%
Mississippi,Online Shopping and Negative Reviews,"1,759",5%
Mississippi,Banks and Lenders,"1,557",5%
Mississippi,"Prizes, Sweepstakes and Lotteries","1,509",5%
Mississippi,Auto Related,1219,4%
Mississippi,Debt Collection,1176,4%
Mississippi,Telephone and Mobile Services,638,2%
Mississippi,Internet Services,632,2%
Missouri,Imposter Scams,"10,437",15%
Missouri,Identity Theft,"9,873",14%
Missouri,"Credit Bureaus, Information Furnishers and Report Users","9,201",13%
Missouri,Online Shopping and Negative Reviews,"5,272",7%
Missouri,Banks and Lenders,"3,717",5%
Missouri,Auto Related,"3,515",5%
Missouri,"Prizes, Sweepstakes and Lotteries","3,228",5%
Missouri,Health Care,"2,077",3%
Missouri,Telephone and Mobile Services,"1,991",3%
Missouri,Debt Collection,1974,3%
Montana,Imposter Scams,"2,161",22%
Montana,Identity Theft,1354,14%
Montana,Online Shopping and Negative Reviews,927,10%
Montana,"Prizes, Sweepstakes and Lotteries",648,7%
Montana,Banks and Lenders,432,4%
Montana,"Credit Bureaus, Information Furnishers and Report Users",365,4%
Montana,Auto Related,332,3%
Montana,"Privacy, Data Security, and Cyber Threats",267,3%
Montana,Health Care,250,3%
Montana,Internet Services,236,2%
Nebraska,Imposter Scams,"3,234",18%
Nebraska,Identity Theft,"2,673",15%
Nebraska,"Credit Bureaus, Information Furnishers and Report Users",2363,13%
Nebraska,Online Shopping and Negative Reviews,1313,7%
Nebraska,"Prizes, Sweepstakes and Lotteries",897,5%
Nebraska,Banks and Lenders,792,4%
Nebraska,Auto Related,580,3%
Nebraska,Health Care,517,3%
Nebraska,Internet Services,451,3%
Nebraska,Debt Collection,361,2%
Nevada,Identity Theft,"12,362",21%
Nevada,"Credit Bureaus, Information Furnishers and Report Users","11,361",19%
Nevada,Imposter Scams,"6,790",11%
Nevada,Online Shopping and Negative Reviews,"3,097",5%
Nevada,Banks and Lenders,"2,796",5%
Nevada,Auto Related,"2,167",4%
Nevada,Debt Collection,"1,796",3%
Nevada,"Prizes, Sweepstakes and Lotteries","1,731",3%
Nevada,Credit Cards and Loss Protection,1353,2%
Nevada,Health Care,1258,2%
New Hampshire,Imposter Scams,"3,037",21%
New Hampshire,Identity Theft,"1,892",13%
New Hampshire,Online Shopping and Negative Reviews,1460,10%
New Hampshire,Banks and Lenders,760,5%
New Hampshire,Auto Related,621,4%
New Hampshire,"Prizes, Sweepstakes and Lotteries",556,4%
New Hampshire,Health Care,498,3%
New Hampshire,"Credit Bureaus, Information Furnishers and Report Users",492,3%
New Hampshire,Internet Services,400,3%
New Hampshire,Telephone and Mobile Services,350,2%
New Jersey,Identity Theft,"26,136",20%
New Jersey,"Credit Bureaus, Information Furnishers and Report Users","21,593",17%
New Jersey,Imposter Scams,"17,346",14%
New Jersey,Online Shopping and Negative Reviews,"8,552",7%
New Jersey,Banks and Lenders,"6,746",5%
New Jersey,Auto Related,"4,363",3%
New Jersey,Credit Cards and Loss Protection,"3,594",3%
New Jersey,Debt Collection,"3,293",3%
New Jersey,Internet Services,"3,225",3%
New Jersey,"Prizes, Sweepstakes and Lotteries","2,995",2%
New Mexico,Imposter Scams,"4,352",21%
New Mexico,Identity Theft,"2,825",13%
New Mexico,Online Shopping and Negative Reviews,1600,8%
New Mexico,"Credit Bureaus, Information Furnishers and Report Users",1323,6%
New Mexico,"Prizes, Sweepstakes and Lotteries",1154,6%
New Mexico,Banks and Lenders,1028,5%
New Mexico,Auto Related,906,4%
New Mexico,Health Care,584,3%
New Mexico,Business and Job Opportunities,495,2%
New Mexico,Internet Services,477,2%
New York,Identity Theft,"51,484",20%
