Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
80,"Trenton-Princeton, NJ Metropolitan Statistical Area","1,095","4,216"
81,"Boulder, CO Metropolitan Statistical Area","1,093","3,593"
82,"San Antonio-New Braunfels, TX Metropolitan Statistical Area","1,092","27,625"
83,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","1,091","8,133"
84,"Durham-Chapel Hill, NC Metropolitan Statistical Area","1,091","7,008"
85,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area","1,087","1,360"
86,"LaGrange, GA-AL Micropolitan Statistical Area","1,087","1,134"
87,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area","1,085","51,293"
88,"Santa Fe, NM Metropolitan Statistical Area","1,083","1,664"
89,"Florence, SC Metropolitan Statistical Area","1,083","2,173"
90,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","1,080","26,931"
91,"Lafayette, LA Metropolitan Statistical Area","1,070","5,135"
92,"Mobile, AL Metropolitan Statistical Area","1,070","4,602"
93,"Reno, NV Metropolitan Statistical Area","1,068","5,166"
94,"Columbus, OH Metropolitan Statistical Area","1,062","22,544"
95,"Ann Arbor, MI Metropolitan Statistical Area","1,061","3,952"
96,"Wilmington, NC Metropolitan Statistical Area","1,060","3,022"
97,"Fort Collins, CO Metropolitan Statistical Area","1,059","3,755"
98,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","1,056","22,079"
99,"Greenville, NC Metropolitan Statistical Area","1,056","1,801"
100,"Salisbury, MD-DE Metropolitan Statistical Area","1,053","4,364"
101,"Spartanburg, SC Metropolitan Statistical Area","1,044","3,371"
102,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","1,033","8,862"
103,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area","1,028","2,807"
104,"Bend, OR Metropolitan Statistical Area","1,024","1,996"
105,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","1,023","2,984"
106,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area","1,012","2,772"
107,"Asheville, NC Metropolitan Statistical Area","1,011","4,706"
108,"Albuquerque, NM Metropolitan Statistical Area","1,010","9,224"
109,"El Paso, TX Metropolitan Statistical Area","1,006","8,693"
110,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area","1,006","2,844"
111,"Flint, MI Metropolitan Statistical Area","1,005","4,086"
112,"Harrisburg-Carlisle, PA Metropolitan Statistical Area","1,001","5,880"
113,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","1,001","8,991"
114,"Ithaca, NY Metropolitan Statistical Area",998,"1,054"
115,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",997,"15,666"
116,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",997,"45,649"
117,"Chattanooga, TN-GA Metropolitan Statistical Area",996,"5,579"
118,"Kankakee, IL Metropolitan Statistical Area",991,"1,071"
119,"New Haven-Milford, CT Metropolitan Statistical Area",989,"8,555"
120,"Hilton Head Island-Bluffton, SC Metropolitan Statistical Area",987,"2,115"
121,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",984,"8,317"
122,"Jackson, MS Metropolitan Statistical Area",983,"5,844"
123,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",977,"2,762"
124,"Bellingham, WA Metropolitan Statistical Area",974,"2,188"
125,"Burlington, NC Metropolitan Statistical Area",974,"1,648"
126,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",973,"19,406"
127,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",971,"6,745"
128,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",970,"9,306"
129,"Winston-Salem, NC Metropolitan Statistical Area",970,"6,524"
130,"Kingston, NY Metropolitan Statistical Area",969,"1,763"
131,"Gulfport-Biloxi, MS Metropolitan Statistical Area",968,"4,015"
132,"Akron, OH Metropolitan Statistical Area",963,"6,765"
133,"Rocky Mount, NC Metropolitan Statistical Area",962,"1,387"
134,"Eugene-Springfield, OR Metropolitan Statistical Area",960,"3,653"
135,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",958,"5,534"
136,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",956,"5,419"
137,"Medford, OR Metropolitan Statistical Area",955,"2,116"
138,"Coeur d'Alene, ID Metropolitan Statistical Area",945,"1,591"
139,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",944,"2,144"
140,"Knoxville, TN Metropolitan Statistical Area",944,"8,247"
141,"Pueblo, CO Metropolitan Statistical Area",939,"1,573"
142,"Manchester-Nashua, NH Metropolitan Statistical Area",939,"3,948"
143,"Kansas City, MO-KS Metropolitan Statistical Area",937,"20,384"
144,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",936,"11,980"
145,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",935,"3,722"
146,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",934,"45,876"
147,"Reading, PA Metropolitan Statistical Area",932,"3,981"
148,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",931,"8,900"
149,"Barnstable Town, MA Metropolitan Statistical Area",928,"2,115"
150,"Tyler, TX Metropolitan Statistical Area",926,"2,142"
151,"Jacksonville, NC Metropolitan Statistical Area",923,"1,860"
152,"Norwich-New London, CT Metropolitan Statistical Area",920,"2,475"
