Reports by Military Consumers,,,,,
,,,,,
Report Type,# of Reports,,,,
Fraud,"93,735",,,,
Identity Theft,"39,046",,,,
Other,"62,471",,,,
,,,,,
# of Fraud Reports,"93,735",,,,
# of Reports with $ Loss,"30,948",33% of military consumer fraud reports,,,
Total $ Loss,$477M,,,,
Median $ Loss,$599 ,,,,
,,,,,
Top 10 Fraud Categories,,,,,
Rank,Category, # of Reports  ,% Reporting $ Loss, Total $ Loss , Median $ Loss 
1,Imposter Scams,"42,766",23%,$178.0M,"$1,000 "
2,Online Shopping and Negative Reviews,"13,057",78%,$26.4M,$150 
3,Investment Related,"3,991",81%,$147.0M,"$7,000 "
4,Business and Job Opportunities,"3,595",34%,$26.4M,"$2,600 "
5,"Prizes, Sweepstakes and Lotteries","3,389",34%,$30.3M,"$1,000 "
6,Internet Services,"2,044",19%,$1.7M,$200 
7,Telephone and Mobile Services,"2,030",42%,$1.3M,$200 
8,Foreign Money Offers and Fake Check Scams,"1,842",37%,$10.5M,"$2,550 "
9,Mortgage Foreclosure Relief and Debt Management,"1,562",31%,$7.0M,"$1,356 "
10,Advance Payments for Credit Services,"1,271",32%,$7.1M,"$1,000 "
,,,,,
Identity Theft Types,,,,,
Rank, Theft Type ,# of Reports,,,
1,Credit Card Fraud,"14,742",,,
2,Bank Fraud,"8,790",,,
3,Loan or Lease Fraud,"6,568",,,
4,Other Identity Theft,"6,463",,,
5,Phone or Utilities Fraud,"4,146",,,
6,Government Documents or Benefits Fraud,"3,842",,,
7,Employment or Tax-Related Fraud,"3,262",,,
,,,,,
Top 10 Other Categories,,,,,
Rank,Category,# of Reports,,,
1,"Credit Bureaus, Information Furnishers and Report Users","18,910",,,
2,Banks and Lenders,"11,644",,,
3,Credit Cards and Loss Protection,"5,130",,,
4,Debt Collection,"5,012",,,
5,Auto Related,"4,272",,,
6,"Home Repair, Improvement and Products",1321,,,
7,"Privacy, Data Security, and Cyber Threats",1112,,,
8,Education,1005,,,
9,Television and Electronic Media,924,,,
10,Computer Equipment and Software,102,,,
,,,,,
"Certain categories are comprised of subcategories that fall in both Fraud and Other report types. See Appendix B3. The Fraud rankings exclude subcategories that are not fraud, and the Other rankings exclude subcategories that are classified as fraud.",,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,,,
