Data Contributors,,,
,,,
FTC,,,
Year,Data Contributor,# of Reports,%
2023,"Pennsylvania, Attorney General","15,735",0.29%
2023,"New York, Attorney General","13,996",0.26%
2023,"North Carolina, Department of Justice","12,571",0.23%
2023,"Wisconsin, Department of Agriculture, Trade, and Consumer Protection","9,386",0.17%
2023,"Tennessee, Attorney General","7,809",0.14%
2023,"Michigan, Attorney General","7,097",0.13%
2023,"South Carolina, Department of Consumer Affairs","5,390",0.10%
2023,"Indiana, Attorney General","5,311",0.10%
2023,"Maine, Attorney General","3,875",0.07%
2023,"Oregon, Department of Justice","3,384",0.06%
2023,"Louisiana, Attorney General","3,244",0.06%
2023,"Iowa, Attorney General","2,325",0.04%
2023,"Nebraska, Attorney General","2,056",0.04%
2023,"Connecticut, Department of Consumer Protection","1,451",0.03%
2023,"Nevada, Attorney General",378,0.01%
2023,"Idaho, Attorney General",281,0.01%
2023,"Alaska, Attorney General",231,0.00%
2023,"Hawaii, Office of Consumer Protection",219,0.00%
,,,
"Percentages are based on the total number of Sentinel reports in 2021 (6,122,341), 2022 (5,300,157), and 2023 (5,392,028).",,,
,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,
