State Rankings: Fraud and Other Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Georgia,"1,564","166,229"
2,Florida,"1,563","333,570"
3,Nevada,"1,531","46,840"
4,Delaware,"1,500","14,733"
5,Maryland,"1,372","84,353"
6,Arizona,"1,216","86,066"
7,South Carolina,"1,170","59,444"
8,Pennsylvania,"1,149","148,998"
9,Virginia,"1,139","97,746"
10,Texas,"1,136","327,936"
11,North Carolina,"1,131","117,231"
12,New Jersey,"1,105","102,041"
13,Alabama,"1,104","55,182"
14,Illinois,"1,102","141,330"
15,Colorado,"1,073","61,433"
16,Tennessee,"1,068","73,244"
17,Louisiana,"1,053","49,020"
18,New York,"1,039","209,039"
19,California,"1,027","405,354"
20,Washington,"1,009","76,832"
21,Missouri,995,"61,131"
22,Oregon,991,"41,706"
23,Michigan,941,"94,683"
24,Connecticut,940,"33,892"
25,New Hampshire,917,"12,576"
26,Ohio,914,"107,556"
27,Mississippi,902,"26,774"
28,Massachusetts,894,"62,481"
29,Alaska,877,"6,456"
30,New Mexico,859,"18,118"
31,Indiana,857,"57,865"
32,Rhode Island,840,"9,170"
33,Vermont,828,"5,314"
34,Hawaii,822,"11,947"
35,Maine,818,"11,098"
36,Utah,813,"26,263"
37,Arkansas,808,"24,291"
38,Idaho,796,"14,424"
39,Wisconsin,785,"46,121"
40,Minnesota,783,"44,428"
41,Wyoming,783,"4,516"
42,Oklahoma,781,"30,833"
43,Montana,777,"8,375"
44,Nebraska,768,"14,994"
45,West Virginia,762,"13,720"
46,Kansas,752,"22,052"
47,Kentucky,746,"33,525"
48,Iowa,619,"19,673"
49,North Dakota,606,"4,685"
50,South Dakota,588,"5,183"
,District of Columbia,"1,885","12,877"
,Puerto Rico,167,"5,521"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2021 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,
,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,
