State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Alabama,Credit Card,"5,390",44%
Alabama,Other Identity Theft,"3,616",30%
Alabama,Loan or Lease,"2,050",17%
Alabama,Bank,"1,111",9%
Alabama,Phone or Utilities,876,7%
Alabama,Employment or Tax-Related,758,6%
Alabama,Government Documents or Benefits,728,6%
Alaska,Credit Card,267,32%
Alaska,Bank,196,23%
Alaska,Other Identity Theft,182,22%
Alaska,Loan or Lease,106,13%
Alaska,Phone or Utilities,100,12%
Alaska,Employment or Tax-Related,86,10%
Alaska,Government Documents or Benefits,66,8%
Arizona,Credit Card,"8,248",44%
Arizona,Other Identity Theft,"4,284",23%
Arizona,Loan or Lease,"2,678",14%
Arizona,Bank,"2,212",12%
Arizona,Employment or Tax-Related,"2,038",11%
Arizona,Phone or Utilities,"1,737",9%
Arizona,Government Documents or Benefits,926,5%
Arkansas,Credit Card,"1,750",35%
Arkansas,Other Identity Theft,"1,557",31%
Arkansas,Loan or Lease,897,18%
Arkansas,Bank,614,12%
Arkansas,Employment or Tax-Related,554,11%
Arkansas,Phone or Utilities,478,9%
Arkansas,Government Documents or Benefits,322,6%
California,Credit Card,"62,758",52%
California,Other Identity Theft,"27,360",23%
California,Loan or Lease,"15,916",13%
California,Bank,"11,878",10%
California,Employment or Tax-Related,"9,274",8%
California,Phone or Utilities,"6,715",6%
California,Government Documents or Benefits,"5,862",5%
Colorado,Credit Card,"4,543",36%
Colorado,Government Documents or Benefits,"2,672",21%
Colorado,Bank,"2,323",18%
Colorado,Other Identity Theft,"2,005",16%
Colorado,Loan or Lease,"1,494",12%
Colorado,Employment or Tax-Related,"1,159",9%
Colorado,Phone or Utilities,941,7%
Connecticut,Government Documents or Benefits,"5,642",41%
Connecticut,Credit Card,"3,414",25%
Connecticut,Bank,"2,226",16%
Connecticut,Other Identity Theft,"1,768",13%
Connecticut,Loan or Lease,"1,035",7%
Connecticut,Employment or Tax-Related,834,6%
Connecticut,Phone or Utilities,679,5%
Delaware,Credit Card,"1,624",46%
Delaware,Other Identity Theft,922,26%
Delaware,Loan or Lease,561,16%
Delaware,Bank,383,11%
Delaware,Phone or Utilities,347,10%
Delaware,Government Documents or Benefits,203,6%
Delaware,Employment or Tax-Related,147,4%
District of Columbia,Credit Card,"1,462",45%
District of Columbia,Other Identity Theft,614,19%
District of Columbia,Government Documents or Benefits,562,17%
District of Columbia,Loan or Lease,415,13%
District of Columbia,Bank,388,12%
District of Columbia,Employment or Tax-Related,186,6%
District of Columbia,Phone or Utilities,181,6%
Florida,Credit Card,"48,962",52%
Florida,Other Identity Theft,"25,508",27%
Florida,Loan or Lease,"15,757",17%
Florida,Bank,"7,768",8%
Florida,Phone or Utilities,"6,140",7%
Florida,Employment or Tax-Related,"4,607",5%
Florida,Government Documents or Benefits,"2,805",3%
Georgia,Credit Card,"21,376",44%
Georgia,Other Identity Theft,"17,614",36%
Georgia,Loan or Lease,"10,364",21%
Georgia,Phone or Utilities,"3,663",8%
Georgia,Bank,"3,444",7%
Georgia,Employment or Tax-Related,"2,282",5%
Georgia,Government Documents or Benefits,"1,332",3%
Hawaii,Credit Card,692,39%
Hawaii,Other Identity Theft,443,25%
Hawaii,Bank,259,15%
Hawaii,Loan or Lease,241,14%
Hawaii,Government Documents or Benefits,182,10%
