"Fraud, Identity Theft, and Other Reports by Military Consumers",,,,,
,,,,,
Military Status,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Active Duty Service Member,"16,649","7,361",42%,$52M,$750 
Military Retiree/Veteran,"152,385","74,227",31%,$350M,$577 
Reserve/National Guard,"10,600","5,054",40%,$39M,$780 
Spouse/Dependent of Active Duty Service Member,"12,576","7,093",40%,$36M,$500 
,,,,,
Military Branch,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
U.S. Air Force,"36,175","19,159",27%,$78M,$500 
U.S. Army,"82,088","35,686",33%,$171M,$550 
U.S. Coast Guard,"2,950","1,528",35%,$11M,$750 
U.S. Marines,"18,827","8,403",35%,$41M,$500 
U.S. Navy,"37,812","18,329",30%,$76M,$509 
U.S. Space Force,703,455,50%,$18M,"$1,484 "
,,,,,
"Of the 193,600 total reports from military consumers in 2023, 92% provided military branch information.",,,,,
,,,,,
Military Rank,# of Reports,# of Fraud Reports,% Reporting Fraud Loss,Total Fraud Loss,Median Fraud Loss
Enlisted,"125,221","64,617",32%,$274M,$500 
Officer,"28,296","16,365",31%,$117M,$741 
,,,,,
"Of the 193,600 total reports from military consumers in 2023, 92% provided information about rank.",,,,,
,,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,,,
