Fraud Reports and Reported Amount Lost by State,,,,
,,,,
State,# of Reports,% Reporting $ Loss,Total $ Loss,Median $ Loss
Alabama,"24,948",26%,"$73,737,090 ",$450 
Alaska,"4,727",28%,"$20,460,928 ",$750 
Arizona,"50,278",27%,"$239,777,615 ",$700 
Arkansas,"14,045",27%,"$40,237,686 ",$400 
California,"226,791",28%,"$1,381,234,227 ",$670 
Colorado,"40,625",27%,"$164,231,218 ",$500 
Connecticut,"19,276",26%,"$70,579,861 ",$500 
Delaware,"6,888",26%,"$22,312,486 ",$490 
District of Columbia,"6,299",26%,"$13,308,298 ",$442 
Florida,"148,499",27%,"$632,237,780 ",$600 
Georgia,"65,825",25%,"$234,303,273 ",$505 
Hawaii,"8,241",27%,"$43,816,872 ",$600 
Idaho,"9,829",27%,"$40,624,066 ",$500 
Illinois,"67,647",26%,"$244,732,451 ",$500 
Indiana,"33,242",26%,"$92,375,184 ",$400 
Iowa,"12,999",28%,"$42,571,728 ",$401 
Kansas,"14,490",26%,"$40,386,958 ",$453 
Kentucky,"21,386",26%,"$52,405,449 ",$350 
Louisiana,"20,384",27%,"$46,914,087 ",$400 
Maine,"7,500",27%,"$17,067,396 ",$410 
Maryland,"43,433",24%,"$164,254,658 ",$562 
Massachusetts,"39,152",26%,"$142,269,315 ",$500 
Michigan,"52,036",26%,"$151,679,000 ",$410 
Minnesota,"29,236",27%,"$121,407,477 ",$500 
Mississippi,"12,589",26%,"$37,318,517 ",$383 
Missouri,"34,194",25%,"$88,776,127 ",$420 
Montana,"5,999",28%,"$21,093,571 ",$500 
Nebraska,"9,183",26%,"$23,777,655 ",$400 
Nevada,"23,112",28%,"$113,635,736 ",$649 
New Hampshire,"8,526",24%,"$27,482,077 ",$450 
New Jersey,"52,478",26%,"$251,740,615 ",$521 
New Mexico,"11,985",28%,"$41,259,154 ",$551 
New York,"111,817",26%,"$400,897,419 ",$500 
North Carolina,"60,599",26%,"$189,857,613 ",$469 
North Dakota,"3,181",30%,"$15,661,895 ",$500 
Ohio,"61,303",25%,"$154,121,565 ",$400 
Oklahoma,"19,012",26%,"$58,889,923 ",$450 
Oregon,"29,002",24%,"$97,506,657 ",$500 
Pennsylvania,"73,759",25%,"$224,230,529 ",$440 
Puerto Rico,"2,529",49%,"$7,998,520 ",$785 
Rhode Island,"5,613",26%,"$18,526,640 ",$500 
South Carolina,"29,567",26%,"$112,724,392 ",$500 
South Dakota,"3,619",29%,"$12,779,635 ",$500 
Tennessee,"39,216",28%,"$133,551,785 ",$500 
Texas,"151,680",28%,"$636,419,230 ",$500 
Utah,"18,291",30%,"$85,547,381 ",$500 
Vermont,"3,767",24%,"$8,805,393 ",$400 
Virginia,"54,602",26%,"$205,237,285 ",$500 
Washington,"53,269",25%,"$247,490,038 ",$500 
West Virginia,"9,204",27%,"$23,320,882 ",$421 
Wisconsin,"29,481",26%,"$75,930,415 ",$400 
Wyoming,"3,164",28%,"$7,687,151 ",$500 
,,,,
"The amount lost refers to reports with a loss of $1 – $999,999.  The number of reports for each state excludes state-specific data contributor reports.",,,,
,,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,,
