"Fraud, Identity Theft, and Other Reports by Military Consumers
",,,,,
,,,,,
Military Status,# of Reports,# of Fraud Reports,Percentage Reporting Fraud Loss,Median Fraud Loss,Total Fraud Loss
Military Retiree\Veteran,"78,249","34,479",15%, $700 ," $38,709,926 "
Dependent Spouse – Service Member,"11,414","7,306",14%, $550 ," $6,632,871 "
Active Duty Service Member,"8,414","2,520",26%, $383 ," $2,543,859 "
Inactive Reserve\National Guard,"5,869","1,972",21%, $500 ," $2,762,876 "
Dependent Child\Other – Service Member,"2,016",737,29%, $500 ," $3,734,075 "
,,,,,
"Of the 113,594 total reports from military consumers in 2017, 93% provided military status information.",,,,,
,,,,,
Military Branch,# of Reports,# of Fraud Reports,Percentage Reporting Fraud Loss,Median Fraud Loss,Total Fraud Loss
U.S. Army,"40,420","21,489",16%, $700 ," $27,108,319 "
U.S. Navy,"36,060","10,053",15%, $600 ," $12,449,736 "
U.S. Air Force,"17,185","8,841",16%, $600 ," $9,710,836 "
U.S. Marines,"8,825","4,279",16%, $550 ," $4,176,205 "
U.S. Coast Guard,"1,593",850,17%, $550 ," $1,473,375 "
,,,,,
"Of the 113,594 total reports from military consumers in 2017, 92% provided military branch information.
",,,,,
,,,,,
Military Rank,# of Reports,# of Fraud Reports,Percentage Reporting Fraud Loss,Median Fraud Loss,Total Fraud Loss
Enlisted Rank,"37,501","6,827",5%, $431 ," $10,855,231 "
Officer Rank,"8,702","1,905",6%, $500 ," $7,895,781 "
,,,,,
"Of the 113,594 total reports from military consumers in 2017, 41% provided information about rank.",,,,,
,,,,,
,,,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,,,
