Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
1,"Homosassa Springs, FL Metropolitan Statistical Area","1,156","1,660"
2,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",927,"53,680"
3,"Ocala, FL Metropolitan Statistical Area",827,"2,885"
4,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",824,"24,972"
5,"Gainesville, FL Metropolitan Statistical Area",807,"2,265"
6,"Montgomery, AL Metropolitan Statistical Area",785,"2,935"
7,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",781,"5,639"
8,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",773,"55,938"
9,"Prescott, AZ Metropolitan Statistical Area",770,"1,737"
10,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",746,"32,052"
11,"Santa Fe, NM Metropolitan Statistical Area",745,"1,107"
12,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",743,"45,051"
13,"Jacksonville, FL Metropolitan Statistical Area",737,"10,889"
14,"Macon-Bibb County, GA Metropolitan Statistical Area",702,"1,610"
15,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",696,"4,437"
16,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",674,"16,666"
17,"Punta Gorda, FL Metropolitan Statistical Area",666,"1,189"
18,"Memphis, TN-MS-AR Metropolitan Statistical Area",660,"8,865"
19,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",657,"14,159"
20,"Columbia, SC Metropolitan Statistical Area",657,"5,367"
21,"Mobile, AL Metropolitan Statistical Area",656,"2,722"
22,"Waco, TX Metropolitan Statistical Area",654,"1,735"
23,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",646,"3,598"
24,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",641,"15,655"
25,"Wichita Falls, TX Metropolitan Statistical Area",640,964
26,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",637,"4,241"
27,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",636,"2,859"
28,"Columbus, GA-AL Metropolitan Statistical Area",631,"1,947"
29,"Sacramento-Roseville-Arden-Arcade, CA Metropolitan Statistical Area",623,"14,306"
30,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",623,"3,606"
31,"Huntsville, AL Metropolitan Statistical Area",616,"2,772"
32,"Brunswick, GA Metropolitan Statistical Area",616,719
33,"Killeen-Temple, TX Metropolitan Statistical Area",615,"2,682"
34,"Texarkana, TX-AR Metropolitan Statistical Area",614,921
35,"Dover, DE Metropolitan Statistical Area",609,"1,064"
36,"Savannah, GA Metropolitan Statistical Area",606,"2,327"
