Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
88,"Hammond, LA Metropolitan Statistical Area",105,137
89,"Colorado Springs, CO Metropolitan Statistical Area",105,746
90,"Torrington, CT Micropolitan Statistical Area",104,189
91,"Traverse City, MI Micropolitan Statistical Area",103,153
92,"El Paso, TX Metropolitan Statistical Area",103,864
93,"Savannah, GA Metropolitan Statistical Area",102,392
94,"Merced, CA Metropolitan Statistical Area",101,272
95,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",101,"2,826"
96,"The Villages, FL Metropolitan Statistical Area",101,125
97,"Reno, NV Metropolitan Statistical Area",101,461
98,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",101,739
99,"Springfield, IL Metropolitan Statistical Area",100,211
100,"Greeley, CO Metropolitan Statistical Area",100,296
101,"Brownsville-Harlingen, TX Metropolitan Statistical Area",99,418
102,"Holland, MI Micropolitan Statistical Area",99,114
103,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",97,435
104,"Bay City, MI Metropolitan Statistical Area",97,102
105,"Prescott, AZ Metropolitan Statistical Area",97,219
106,"Bremerton-Silverdale, WA Metropolitan Statistical Area",97,257
107,"Salt Lake City, UT Metropolitan Statistical Area",97,"1,150"
108,"Columbia, SC Metropolitan Statistical Area",97,792
109,"Corpus Christi, TX Metropolitan Statistical Area",97,440
110,"Saginaw, MI Metropolitan Statistical Area",97,186
111,"Kansas City, MO-KS Metropolitan Statistical Area",96,"2,024"
112,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",96,"1,793"
113,"Pueblo, CO Metropolitan Statistical Area",96,158
114,"Panama City, FL Metropolitan Statistical Area",96,191
115,"Ocala, FL Metropolitan Statistical Area",95,333
116,"Boise City, ID Metropolitan Statistical Area",95,659
117,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",95,"1,220"
118,"Owensboro, KY Metropolitan Statistical Area",95,112
119,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",95,389
120,"Missoula, MT Metropolitan Statistical Area",95,110
121,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",94,"3,353"
122,"Tulsa, OK Metropolitan Statistical Area",94,931
123,"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",94,"2,033"
124,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",94,"4,508"
125,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",94,251
126,"Chico, CA Metropolitan Statistical Area",94,213
127,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",94,192
128,"College Station-Bryan, TX Metropolitan Statistical Area",93,238
129,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",93,779
130,"Vineland-Bridgeton, NJ Metropolitan Statistical Area",93,143
131,"Fayetteville, NC Metropolitan Statistical Area",93,353
132,"Charleston-North Charleston, SC Metropolitan Statistical Area",92,704
133,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",92,114
134,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",92,"1,847"
135,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",91,"1,969"
136,"Norwich-New London, CT Metropolitan Statistical Area",91,245
