"Military Consumer Identity Theft Reports by Type
",,,
,,,
Theft Type,Theft Subtype,# of Reports,Percentage Difference from Previous Year
Bank Fraud,"Debit Cards, Electronic Funds Transfer, or ACH","3,161",12%
Bank Fraud,New Accounts,"1,644",-5%
Bank Fraud,Existing Accounts,"1,454",19%
Credit Card Fraud,New Accounts,"8,579",-5%
Credit Card Fraud,Existing Accounts,"3,318",18%
Employment or Tax-Related Fraud,Tax Fraud,"3,939",-54%
Employment or Tax-Related Fraud,Employment or Wage-Related Fraud,"1,036",43%
Government Documents or Benefits Fraud,Government Benefits Applied For\Received,"1,662",31%
Government Documents or Benefits Fraud,Other Government Documents Issued\Forged,552,-25%
Government Documents or Benefits Fraud,Driver's License Issued\Forged,265,-10%
Government Documents or Benefits Fraud,Passport Issued\Forged,34,-8%
Loan or Lease Fraud,Business\Personal Loan,985,1%
Loan or Lease Fraud,Auto Loan\Lease,593,23%
Loan or Lease Fraud,Student Loan,367,92%
Loan or Lease Fraud,Real Estate Loan,279,-3%
Loan or Lease Fraud,Apartment or House Rented,216,19%
Other Identity Theft,Other,"2,812",10%
Other Identity Theft,Online Shopping or Payment Account,774,38%
Other Identity Theft,Email or Social Media,700,27%
Other Identity Theft,Medical Services,442,15%
Other Identity Theft,Evading the Law,350,12%
Other Identity Theft,Insurance,227,21%
Other Identity Theft,Securities Accounts,182,12%
Phone or Utilities Fraud,Mobile Telephone – New Accounts,"2,037",27%
Phone or Utilities Fraud,Utilities – New Accounts,"1,747",-1%
Phone or Utilities Fraud,Mobile Telephone – Existing Accounts,491,23%
Phone or Utilities Fraud,Landline Telephone – New Accounts,488,164%
Phone or Utilities Fraud,Landline Telephone – Existing Accounts,149,217%
Phone or Utilities Fraud,Utilities – Existing Accounts,93,3%
,,,
"Percentages are based on the total number of 2017 Military identity theft reports in Sentinel: 30,184. Consumers can report multiple types of identity theft. In 2017, 17% of Military identity theft reports included more than one type of identity theft.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
