State: Identity Theft Reports,,,
,,,
State,Identity Theft Type,# of Reports,Percentage
Minnesota,Credit Card Fraud,1983,46%
Minnesota,Employment or Tax-Related Fraud,676,16%
Minnesota,Government Documents or Benefits Fraud,248,6%
Minnesota,Loan or Lease Fraud,265,6%
Minnesota,Phone or Utilities Fraud,558,13%
Missouri,Bank Fraud,718,14%
Missouri,Credit Card Fraud,1639,33%
Missouri,Employment or Tax-Related Fraud,1205,24%
Missouri,Government Documents or Benefits Fraud,300,6%
Missouri,Loan or Lease Fraud,452,9%
Missouri,Phone or Utilities Fraud,668,13%
Mississippi,Bank Fraud,277,13%
Mississippi,Credit Card Fraud,508,25%
Mississippi,Employment or Tax-Related Fraud,515,25%
Mississippi,Government Documents or Benefits Fraud,138,7%
Mississippi,Loan or Lease Fraud,254,12%
Mississippi,Phone or Utilities Fraud,335,16%
Montana,Bank Fraud,86,13%
Montana,Credit Card Fraud,229,36%
Montana,Employment or Tax-Related Fraud,173,27%
Montana,Government Documents or Benefits Fraud,30,5%
Montana,Loan or Lease Fraud,40,6%
Montana,Phone or Utilities Fraud,71,11%
North Carolina,Bank Fraud,1172,12%
North Carolina,Credit Card Fraud,3518,37%
North Carolina,Employment or Tax-Related Fraud,1586,17%
North Carolina,Government Documents or Benefits Fraud,584,6%
North Carolina,Loan or Lease Fraud,870,9%
North Carolina,Phone or Utilities Fraud,1799,19%
North Dakota,Bank Fraud,73,16%
North Dakota,Credit Card Fraud,192,41%
North Dakota,Employment or Tax-Related Fraud,92,20%
North Dakota,Government Documents or Benefits Fraud,23,5%
North Dakota,Loan or Lease Fraud,38,8%
North Dakota,Phone or Utilities Fraud,62,13%
Nebraska,Bank Fraud,206,18%
Nebraska,Credit Card Fraud,435,37%
Nebraska,Employment or Tax-Related Fraud,242,21%
Nebraska,Government Documents or Benefits Fraud,80,7%
Nebraska,Loan or Lease Fraud,87,7%
Nebraska,Phone or Utilities Fraud,147,13%
New Hampshire,Bank Fraud,180,16%
New Hampshire,Credit Card Fraud,424,39%
New Hampshire,Employment or Tax-Related Fraud,256,23%
New Hampshire,Government Documents or Benefits Fraud,54,5%
New Hampshire,Loan or Lease Fraud,56,5%
New Hampshire,Phone or Utilities Fraud,147,13%
New Jersey,Bank Fraud,1189,12%
New Jersey,Credit Card Fraud,4110,43%
New Jersey,Employment or Tax-Related Fraud,1737,18%
New Jersey,Government Documents or Benefits Fraud,477,5%
New Jersey,Loan or Lease Fraud,657,7%
New Jersey,Phone or Utilities Fraud,1581,17%
New Mexico,Bank Fraud,308,16%
New Mexico,Credit Card Fraud,650,34%
New Mexico,Employment or Tax-Related Fraud,417,22%
New Mexico,Government Documents or Benefits Fraud,161,8%
New Mexico,Loan or Lease Fraud,182,10%
New Mexico,Phone or Utilities Fraud,275,14%
Nevada,Bank Fraud,581,15%
Nevada,Credit Card Fraud,1488,39%
Nevada,Employment or Tax-Related Fraud,1229,32%
Nevada,Government Documents or Benefits Fraud,251,7%
Nevada,Loan or Lease Fraud,397,10%
Nevada,Phone or Utilities Fraud,468,12%
New York,Bank Fraud,3017,15%
New York,Credit Card Fraud,8093,40%
New York,Employment or Tax-Related Fraud,4074,20%
New York,Government Documents or Benefits Fraud,1016,5%
New York,Loan or Lease Fraud,1441,7%
New York,Phone or Utilities Fraud,3187,16%
Ohio,Bank Fraud,1243,14%
Ohio,Credit Card Fraud,3067,34%
Ohio,Employment or Tax-Related Fraud,1929,21%
Ohio,Government Documents or Benefits Fraud,494,5%
Ohio,Loan or Lease Fraud,747,8%
Ohio,Phone or Utilities Fraud,1730,19%
Oklahoma,Bank Fraud,442,15%
Oklahoma,Credit Card Fraud,934,32%
Oklahoma,Employment or Tax-Related Fraud,706,24%
Oklahoma,Government Documents or Benefits Fraud,217,7%
Oklahoma,Loan or Lease Fraud,260,9%
Oklahoma,Phone or Utilities Fraud,426,15%
Oregon,Bank Fraud,570,15%
Oregon,Credit Card Fraud,1484,40%
Oregon,Employment or Tax-Related Fraud,795,21%
Oregon,Government Documents or Benefits Fraud,186,5%
Oregon,Loan or Lease Fraud,221,6%
Oregon,Phone or Utilities Fraud,528,14%
Pennsylvania,Bank Fraud,1554,12%
Pennsylvania,Credit Card Fraud,5293,42%
