Report Categories over Three Years,,,
,,,
Year,Category, # of Reports ,Percentage
2019,Advance Payments for Credit Services,"20,556",0.60%
2019,Auto Related,"126,096",3.68%
2019,Banks and Lenders,"160,726",4.69%
2019,Business and Job Opportunities,"38,451",1.12%
2019,Charitable Solicitations,"3,805",0.11%
2019,Computer Equipment and Software,"14,681",0.43%
2019,"Credit Bureaus, Information Furnishers and Report Users","166,603",4.86%
2019,Credit Cards,"55,682",1.62%
2019,Debt Collection,"139,193",4.06%
2019,Education,"21,611",0.63%
2019,Foreign Money Offers and Fake Check Scams,"31,174",0.91%
2019,Funeral Services,"1,187",0.03%
2019,Grants,"5,303",0.15%
2019,Health Care,"66,554",1.94%
2019,"Home Repair, Improvement and Products","31,847",0.93%
2019,Identity Theft,"650,523",18.97%
2019,Imposter Scams,"663,930",19.36%
2019,Internet Services,"88,156",2.57%
2019,Investment Related,"18,230",0.53%
2019,Magazines and Books,"7,828",0.23%
2019,Miscellaneous Reports,"55,231",1.61%
2019,Mortgage Foreclosure Relief and Debt Management,"10,847",0.32%
2019,Office Supplies and Services,"5,718",0.17%
2019,Online Shopping and Negative Reviews,"181,297",5.29%
2019,"Privacy, Data Security, and Cyber Threats","26,950",0.79%
2019,"Prizes, Sweepstakes and Lotteries","125,127",3.65%
2019,Tax Preparers,"4,345",0.13%
2019,Telephone and Mobile Services,"110,726",3.23%
2019,Television and Electronic Media,"58,929",1.72%
2019,"Travel, Vacations and Timeshare Plans","37,891",1.11%
2019,Unspecified Reports,"724,353",21.13%
2020,Advance Payments for Credit Services,"17,239",0.35%
2020,Auto Related,"131,687",2.71%
2020,Banks and Lenders,"184,638",3.80%
2020,Business and Job Opportunities,"61,501",1.26%
2020,Charitable Solicitations,"4,843",0.10%
2020,Computer Equipment and Software,"22,471",0.46%
2020,"Credit Bureaus, Information Furnishers and Report Users","318,656",6.55%
2020,Credit Cards,"68,495",1.41%
2020,Debt Collection,"124,309",2.56%
2020,Education,"27,474",0.56%
2020,Foreign Money Offers and Fake Check Scams,"39,099",0.80%
2020,Funeral Services,"1,427",0.03%
2020,Grants,"4,162",0.09%
2020,Health Care,"90,675",1.86%
2020,"Home Repair, Improvement and Products","60,909",1.25%
2020,Identity Theft,"1,388,540",28.54%
2020,Imposter Scams,"503,058",10.34%
2020,Internet Services,"148,505",3.05%
2020,Investment Related,"26,912",0.55%
2020,Magazines and Books,"6,835",0.14%
2020,Miscellaneous Reports,"52,182",1.07%
2020,Mortgage Foreclosure Relief and Debt Management,"11,075",0.23%
2020,Office Supplies and Services,"5,762",0.12%
2020,Online Shopping and Negative Reviews,"370,045",7.61%
2020,"Privacy, Data Security, and Cyber Threats","76,531",1.57%
2020,"Prizes, Sweepstakes and Lotteries","116,454",2.39%
2020,Tax Preparers,"4,901",0.10%
2020,Telephone and Mobile Services,"110,976",2.28%
2020,Television and Electronic Media,"54,388",1.12%
2020,"Travel, Vacations and Timeshare Plans","77,602",1.60%
2020,Unspecified Reports,"972,125",19.98%
2021,Advance Payments for Credit Services,"24,152",0.42%
2021,Auto Related,"137,468",2.40%
2021,Banks and Lenders,"195,370",3.41%
2021,Business and Job Opportunities,"104,019",1.81%
2021,Charitable Solicitations,"9,270",0.16%
2021,Computer Equipment and Software,"15,701",0.27%
2021,"Credit Bureaus, Information Furnishers and Report Users","592,928",10.33%
2021,Credit Cards,"65,173",1.14%
2021,Debt Collection,"151,335",2.64%
2021,Education,"22,810",0.40%
2021,Foreign Money Offers and Fake Check Scams,"39,139",0.68%
2021,Funeral Services,"1,310",0.02%
2021,Grants,"4,254",0.07%
2021,Health Care,"89,801",1.57%
2021,"Home Repair, Improvement and Products","70,612",1.23%
2021,Identity Theft,"1,434,676",25.01%
2021,Imposter Scams,"984,756",17.16%
2021,Internet Services,"121,445",2.12%
2021,Investment Related,"78,988",1.38%
2021,Magazines and Books,"5,541",0.10%
2021,Miscellaneous Reports,"44,033",0.77%
2021,Mortgage Foreclosure Relief and Debt Management,"21,258",0.37%
2021,Office Supplies and Services,"3,609",0.06%
2021,Online Shopping and Negative Reviews,"398,283",6.94%
2021,"Privacy, Data Security, and Cyber Threats","70,177",1.22%
2021,"Prizes, Sweepstakes and Lotteries","148,243",2.58%
2021,Tax Preparers,"5,424",0.09%
2021,Telephone and Mobile Services,"92,802",1.62%
2021,Television and Electronic Media,"41,905",0.73%
2021,"Travel, Vacations and Timeshare Plans","53,891",0.94%
2021,Unspecified Reports,"1,159,827",20.22%
,,,
"Percentages are based on the total number of Sentinel reports in 2019 (3,428,818), 2020 (4,865,023), and 2021 (5,737,265). Consumers can report more than one category or subcategory.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
