Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Providence-Warwick, RI-MA Metropolitan Statistical Area","1,981","32,176"
2,"Lawrence, KS Metropolitan Statistical Area","1,779","2,175"
3,"Topeka, KS Metropolitan Statistical Area","1,548","3,591"
4,"Wichita, KS Metropolitan Statistical Area","1,378","8,825"
5,"Lafayette, LA Metropolitan Statistical Area","1,212","5,931"
6,"Baton Rouge, LA Metropolitan Statistical Area","1,184","10,126"
7,"Tuscaloosa, AL Metropolitan Statistical Area","1,153","2,907"
8,"Manhattan, KS Metropolitan Statistical Area","1,062","1,384"
9,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",975,"92,239"
10,"Memphis, TN-MS-AR Metropolitan Statistical Area",924,"12,434"
11,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",850,"51,172"
12,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",839,"51,751"
13,"Springfield, IL Metropolitan Statistical Area",833,"1,723"
14,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",817,"57,733"
15,"Kansas City, MO-KS Metropolitan Statistical Area",801,"17,291"
16,"Kankakee, IL Metropolitan Statistical Area",786,863
17,"Bloomington, IL Metropolitan Statistical Area",740,"1,269"
18,"Rockford, IL Metropolitan Statistical Area",712,"2,393"
19,"Syracuse, NY Metropolitan Statistical Area",682,"4,423"
20,"Cleveland-Elyria, OH Metropolitan Statistical Area",675,"13,833"
21,"Decatur, IL Metropolitan Statistical Area",670,697
22,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",664,"15,055"
23,"New Orleans-Metairie, LA Metropolitan Statistical Area",654,"8,311"
24,"Rochester, NY Metropolitan Statistical Area",648,"6,929"
25,"Champaign-Urbana, IL Metropolitan Statistical Area",647,"1,462"
26,"Fort Collins, CO Metropolitan Statistical Area",637,"2,272"
27,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",636,"38,789"
28,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",633,"18,786"
29,"Peoria, IL Metropolitan Statistical Area",633,"2,534"
30,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",632,"47,825"
31,"Tallahassee, FL Metropolitan Statistical Area",631,"2,444"
32,"Boulder, CO Metropolitan Statistical Area",627,"2,046"
33,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",599,"5,272"
34,"Shreveport-Bossier City, LA Metropolitan Statistical Area",597,"2,357"
35,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",592,"4,022"
36,"Colorado Springs, CO Metropolitan Statistical Area",588,"4,385"
37,"Columbia, SC Metropolitan Statistical Area",567,"4,757"
38,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",559,"14,591"
39,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",545,"3,949"
40,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",541,"6,105"
41,"Columbus, OH Metropolitan Statistical Area",540,"11,452"
42,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",536,"15,013"
43,"Sumter, SC Metropolitan Statistical Area",531,746
44,"Savannah, GA Metropolitan Statistical Area",526,"2,071"
45,"Greeley, CO Metropolitan Statistical Area",521,"1,690"
46,"Columbus, GA-AL Metropolitan Statistical Area",520,"1,669"
47,"Montgomery, AL Metropolitan Statistical Area",512,"1,913"
48,"Akron, OH Metropolitan Statistical Area",511,"3,598"
49,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",509,"67,258"
50,"Albany, GA Metropolitan Statistical Area",508,746
51,"Binghamton, NY Metropolitan Statistical Area",504,"1,202"
52,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",502,"96,480"
53,"Birmingham-Hoover, AL Metropolitan Statistical Area",498,"5,432"
54,"Pueblo, CO Metropolitan Statistical Area",498,839
55,"Kingston, NY Metropolitan Statistical Area",493,876
56,"Pinehurst-Southern Pines, NC Micropolitan Statistical Area",493,497
57,"Killeen-Temple, TX Metropolitan Statistical Area",489,"2,251"
58,"Mobile, AL Metropolitan Statistical Area",474,"2,038"
59,"St. Louis, MO-IL Metropolitan Statistical Area",472,"13,244"
60,"Ottawa, IL Micropolitan Statistical Area",469,690
61,"Carbondale-Marion, IL Metropolitan Statistical Area",469,637
62,"Alexandria, LA Metropolitan Statistical Area",468,712
63,"Warner Robins, GA Metropolitan Statistical Area",460,852
64,"Hammond, LA Metropolitan Statistical Area",451,608
65,"East Stroudsburg, PA Metropolitan Statistical Area",445,758
66,"Dover, DE Metropolitan Statistical Area",439,793
67,"Macon-Bibb County, GA Metropolitan Statistical Area",436,"1,002"
68,"Canton-Massillon, OH Metropolitan Statistical Area",433,"1,720"
69,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",430,"21,302"
70,"Ithaca, NY Metropolitan Statistical Area",430,439
71,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",426,"1,671"
72,"Grand Junction, CO Metropolitan Statistical Area",425,656
73,"Danville, VA Micropolitan Statistical Area",424,426
74,"Florence, SC Metropolitan Statistical Area",424,868
75,"Reno, NV Metropolitan Statistical Area",422,"2,005"
76,"Utica-Rome, NY Metropolitan Statistical Area",414,"1,202"
77,"Jacksonville, FL Metropolitan Statistical Area",413,"6,433"
78,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",402,"10,601"
79,"Pittsburgh, PA Metropolitan Statistical Area",401,"9,299"
80,"Fayetteville, NC Metropolitan Statistical Area",401,"2,110"
81,"LaGrange, GA-AL Micropolitan Statistical Area",389,401
82,"Dayton-Kettering, OH Metropolitan Statistical Area",387,"3,122"
