Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2019,Advance Payments for Credit Services,Advance-Fee Credit,"15,807",0.46%
2019,Advance Payments for Credit Services,Credit Card Loss Protection,176,0.01%
2019,Advance Payments for Credit Services,Credit Repair,"4,097",0.12%
2019,Advance Payments for Credit Services,Refund Scams,476,0.01%
2019,Auto Related,Auto Financing,"9,877",0.29%
2019,Auto Related,Auto Parts & Repairs,"27,442",0.80%
2019,Auto Related,Auto Renting & Leasing,"11,176",0.33%
2019,Auto Related,Auto Service & Warranties,"8,712",0.25%
2019,Auto Related,Gasoline,311,0.01%
2019,Auto Related,New Auto Sales,"39,213",1.14%
2019,Auto Related,Used Auto Sales,"31,209",0.91%
2019,Banks and Lenders,Auto Title Lending,969,0.03%
2019,Banks and Lenders,Bank & Credit Union Lending,370,0.01%
2019,Banks and Lenders,"Banks, Credit Unions & S&Ls","58,323",1.70%
2019,Banks and Lenders,Finance Company Lending,"7,984",0.23%
2019,Banks and Lenders,Misc. Institution Lending,"12,344",0.36%
2019,Banks and Lenders,Mortgage Lending,"36,304",1.06%
2019,Banks and Lenders,Payday Loans,"7,803",0.23%
2019,Banks and Lenders,Student Loans,"36,849",1.07%
2019,Business and Job Opportunities,Business & Work-at-Home Opportunities,"15,706",0.46%
2019,Business and Job Opportunities,Franchises & Distributorships*,757,0.02%
2019,Business and Job Opportunities,Invention Promotion,856,0.02%
2019,Business and Job Opportunities,Job Scams & Employment Agencies,"19,429",0.57%
2019,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"1,747",0.05%
2019,Charitable Solicitations,Charitable Solicitations,"3,805",0.11%
2019,Computer Equipment and Software,Computer Equipment & Software,"14,681",0.43%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"165,986",4.84%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,648,0.02%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,348,0.01%
2019,Credit Cards,Credit Cards,"55,682",1.62%
2019,Debt Collection,Creditor Debt Collection,"37,448",1.09%
2019,Debt Collection,Third Party Debt Collection,"102,041",2.98%
2019,Education,Colleges & Universities,"18,989",0.55%
2019,Education,Trade & Vocational Schools,"2,718",0.08%
2019,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"27,352",0.80%
2019,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"3,907",0.11%
2019,Funeral Services,Funeral Services,"1,187",0.03%
2019,Grants,Non-Educational Grants,"4,462",0.13%
2019,Grants,Scholarships & Educational Grants,869,0.03%
2019,Health Care,Connected Wearable Devices*,109,0.00%
2019,Health Care,"Diet Products, Plans & Centers","16,075",0.47%
2019,Health Care,Eye Care*,"4,998",0.15%
2019,Health Care,Health Care Billing,"1,300",0.04%
2019,Health Care,Health Care: Dietary Supplements\Herbal Remedies§,"3,362",0.10%
2019,Health Care,Health Care: Drugs-OTC\Prescription§,"2,594",0.08%
2019,Health Care,Health Care: Other Medical Treatments*§,"17,370",0.51%
2019,Health Care,Health Care: Other Products\Supplies*§,"12,517",0.37%
2019,Health Care,Medical Insurance & Discount Plans,"6,762",0.20%
2019,Health Care,Medical Treatments & Cures‡,"1,258",0.04%
2019,Health Care,Misc. Medical*‡,471,0.01%
2019,"Home Repair, Improvement and Products",Home Appliances,"2,972",0.09%
2019,"Home Repair, Improvement and Products",Home Furnishings,"2,278",0.07%
2019,"Home Repair, Improvement and Products",Home Protection Devices,"1,189",0.03%
2019,"Home Repair, Improvement and Products",Home Repair,"12,635",0.37%
2019,"Home Repair, Improvement and Products",Home Warranties‡,700,0.02%
2019,"Home Repair, Improvement and Products",Housing,"12,091",0.35%
2019,Identity Theft,Identity Theft,"650,523",18.97%
2019,Imposter Scams,Business Imposters,"106,732",3.11%
2019,Imposter Scams,Family & Friend Imposters,"20,138",0.59%
2019,Imposter Scams,Government Imposters,"391,819",11.43%
2019,Imposter Scams,Romance Scams,"39,874",1.16%
2019,Imposter Scams,Tech Support Scams,"108,259",3.16%
2019,Internet Auction,Internet Auction§,"1,832",0.05%
2019,Internet Services,Broadband Internet Access*,"3,785",0.11%
2019,Internet Services,Broadband Internet Cost*,"2,917",0.09%
2019,Internet Services,Broadband Internet Speed*,"1,115",0.03%
2019,Internet Services,Gaming & Virtual Reality*,"4,289",0.13%
2019,Internet Services,Internet Information Services§,"43,771",1.28%
2019,Internet Services,Online Payment Services,"12,061",0.35%
2019,Internet Services,Social Networking Services,"16,382",0.48%
2019,Internet Services,Website Content‡,552,0.02%
2019,Internet Services,Website Design & Promotion,"4,270",0.12%
2019,Investment Related,"Art, Gems & Rare Coin Investments",700,0.02%
2019,Investment Related,Investment Seminars & Advice,"7,353",0.21%
2019,Investment Related,Miscellaneous Investments,"8,998",0.26%
2019,Investment Related,Stocks & Commodity Futures Trading,"1,183",0.03%
2019,Magazines and Books,Books & Magazines,"7,828",0.23%
2019,Miscellaneous Reports,Business Equipment & Facilities Leasing,233,0.01%
2019,Miscellaneous Reports,Children's Products,"1,474",0.04%
2019,Miscellaneous Reports,Food,"1,661",0.05%
2019,Miscellaneous Reports,"Garments, Wool, Leather Goods & Textiles",907,0.03%
2019,Miscellaneous Reports,Immigration Services,969,0.03%
2019,Miscellaneous Reports,Insurance (excl. Medical),"6,163",0.18%
2019,Miscellaneous Reports,Jewelry & Watches,"4,750",0.14%
2019,Miscellaneous Reports,Modeling Agencies\Services§,192,0.01%
2019,Miscellaneous Reports,Personal Care Products,"2,498",0.07%
2019,Miscellaneous Reports,Property & Inheritance Tracers,485,0.01%
2019,Miscellaneous Reports,Real Estate,"18,423",0.54%
2019,Miscellaneous Reports,Tobacco Products,979,0.03%
2019,Miscellaneous Reports,Utilities,"16,500",0.48%
2019,Mortgage Foreclosure Relief and Debt Management,Credit & Debt Counseling,"9,707",0.28%
2019,Mortgage Foreclosure Relief and Debt Management,Mortgage Modification & Foreclosure Relief,"1,140",0.03%
2019,Office Supplies and Services,Office Directory Listings & Ad Space,"3,318",0.10%
2019,Office Supplies and Services,Office Supplies & Services,"2,400",0.07%
2019,Online Shopping and Negative Reviews,Negative Online Reviews*,779,0.02%
2019,Online Shopping and Negative Reviews,Online Shopping,"180,822",5.27%
2019,"Privacy, Data Security, and Cyber Threats‡",Malware & Computer Exploits†,"26,944",0.79%
2019,"Privacy, Data Security, and Cyber Threats‡",Privacy & Data Security‡,6,0.00%
2019,"Prizes, Sweepstakes and Lotteries","Prizes, Sweepstakes & Lotteries","125,127",3.65%
2019,Tax Preparers,Tax Preparers,"4,345",0.13%
2019,Telephone and Mobile Services,Connected Non-Wearable Devices*,458,0.01%
