Identity Theft Reports by Type,,,
,,,
Theft Type,Theft Subtype,# of Reports,% Difference From Previous Year
Credit Card Fraud,New Accounts ,"363,092",-1%
Credit Card Fraud,Existing Accounts ,"32,204",-5%
Loan or Lease Fraud,Apartment or House Rented,"13,166",-3%
Loan or Lease Fraud,Auto Loan\Lease,"70,710",-3%
Loan or Lease Fraud,Business\Personal Loan,"105,711",6%
Loan or Lease Fraud,Federal Student Loan,"18,202",-34%
Loan or Lease Fraud,Non-Federal Student Loan,"13,897",-19%
Loan or Lease Fraud,Real Estate Loan,"9,087",-23%
Phone or Utilities Fraud,Landline Telephone – Existing Accounts,"2,140",2%
Phone or Utilities Fraud,Landline Telephone – New Accounts,"11,503",-6%
Phone or Utilities Fraud,Mobile Telephone – Existing Accounts,"5,433",-10%
Phone or Utilities Fraud,Mobile Telephone – New Accounts,"37,795",-22%
Phone or Utilities Fraud,Utilities – Existing Accounts,"1,642",-27%
Phone or Utilities Fraud,Utilities – New Accounts,"41,004",-1%
Bank Fraud,"Debit Cards, Electronic Funds Transfer, or ACH","33,248",8%
Bank Fraud,Existing Accounts,"14,358",5%
Bank Fraud,New Accounts,"83,721",64%
Employment or Tax-Related Fraud,Employment or Wage-Related Fraud,"24,004",-10%
Employment or Tax-Related Fraud,Tax Fraud,"89,649",0%
Government Documents or Benefits Fraud,Driver's License Issued\Forged,"5,506",-11%
Government Documents or Benefits Fraud,Government Benefits Applied For\Received,"385,264",-3%
Government Documents or Benefits Fraud,Other Government Documents Issued\Forged,"8,366",-12%
Government Documents or Benefits Fraud,Passport Issued\Forged,"1,117",-20%
Other Identity Theft,Email or Social Media,"15,374",9%
Other Identity Theft,Evading the Law,"4,740",1%
Other Identity Theft,Insurance,"10,397",21%
Other Identity Theft,Medical Services,"42,773",-6%
Other Identity Theft,Online Shopping or Payment Account,"15,207",3%
Other Identity Theft,Other,"300,244",7%
Other Identity Theft,Securities Accounts,"8,455",122%
,,,
"Consumers can report multiple types of identity theft. In 2021, 14% of identity theft reports included more than one type of identity theft",,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
