Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
1,"Tuscaloosa, AL Metropolitan Statistical Area","3,691","9,303"
2,"Memphis, TN-MS-AR Metropolitan Statistical Area","2,170","29,208"
3,"Lafayette, LA Metropolitan Statistical Area","1,908","9,333"
4,"Sebastian-Vero Beach, FL Metropolitan Statistical Area","1,812","2,898"
5,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area","1,769","106,521"
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","1,690","103,131"
7,"Savannah, GA Metropolitan Statistical Area","1,657","6,516"
8,"Montgomery, AL Metropolitan Statistical Area","1,623","6,058"
9,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area","1,508","34,173"
10,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","1,497","92,338"
11,"Florence, SC Metropolitan Statistical Area","1,477","3,027"
12,"Jacksonville, FL Metropolitan Statistical Area","1,470","22,928"
13,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","1,467","12,280"
14,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","1,454","40,722"
15,"Charleston-North Charleston, SC Metropolitan Statistical Area","1,448","11,612"
16,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","1,437","8,647"
17,"East Stroudsburg, PA Metropolitan Statistical Area","1,429","2,434"
18,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","1,421","37,055"
19,"Homosassa Springs, FL Metropolitan Statistical Area","1,376","2,060"
20,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","1,369","43,726"
21,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","1,328","83,429"
22,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","1,292","22,850"
23,"Dover, DE Metropolitan Statistical Area","1,289","2,330"
24,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","1,284","33,852"
25,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","1,283","97,143"
26,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","1,283","90,625"
27,"Gadsden, AL Metropolitan Statistical Area","1,282","1,311"
28,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","1,280","8,555"
29,"Santa Fe, NM Metropolitan Statistical Area","1,262","1,897"
30,"Anchorage, AK Metropolitan Statistical Area","1,251","4,958"
31,"New Orleans-Metairie, LA Metropolitan Statistical Area","1,236","15,706"
32,"Huntsville, AL Metropolitan Statistical Area","1,233","5,816"
33,"Columbia, SC Metropolitan Statistical Area","1,228","10,299"
34,"Lakeland-Winter Haven, FL Metropolitan Statistical Area","1,225","8,877"
35,"Alexandria, LA Metropolitan Statistical Area","1,223","1,860"
36,"Columbus, OH Metropolitan Statistical Area","1,219","25,877"
37,"Colorado Springs, CO Metropolitan Statistical Area","1,219","9,090"
38,"Trenton-Princeton, NJ Metropolitan Statistical Area","1,218","4,477"
39,"Fayetteville, NC Metropolitan Statistical Area","1,214","6,397"
40,"Tallahassee, FL Metropolitan Statistical Area","1,213","4,697"
41,"Killeen-Temple, TX Metropolitan Statistical Area","1,205","5,545"
42,"Port St. Lucie, FL Metropolitan Statistical Area","1,203","5,888"
43,"Baton Rouge, LA Metropolitan Statistical Area","1,201","10,265"
44,"Birmingham-Hoover, AL Metropolitan Statistical Area","1,200","13,086"
45,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area","1,194","26,593"
46,"Ocala, FL Metropolitan Statistical Area","1,188","4,343"
47,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area","1,186","2,789"
48,"Cleveland-Elyria, OH Metropolitan Statistical Area","1,186","24,285"
49,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","1,183","5,879"
50,"Vallejo, CA Metropolitan Statistical Area","1,179","5,276"
51,"Boulder, CO Metropolitan Statistical Area","1,170","3,815"
52,"Gainesville, FL Metropolitan Statistical Area","1,166","3,837"
53,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","1,166","5,859"
54,"Richmond, VA Metropolitan Statistical Area","1,163","15,022"
55,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","1,160","34,412"
56,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","1,153","109,022"
57,"St. Louis, MO-IL Metropolitan Statistical Area","1,149","32,219"
58,"Punta Gorda, FL Metropolitan Statistical Area","1,149","2,170"
59,"Reno, NV Metropolitan Statistical Area","1,147","5,455"
60,"Columbus, GA-AL Metropolitan Statistical Area","1,140","3,660"
61,"Clarksville, TN-KY Metropolitan Statistical Area","1,133","3,489"
62,"Beaumont-Port Arthur, TX Metropolitan Statistical Area","1,132","4,445"
63,"Danville, VA Micropolitan Statistical Area","1,128","1,132"
64,"Kingston, NY Metropolitan Statistical Area","1,125","1,998"
65,"Raleigh-Cary, NC Metropolitan Statistical Area","1,122","15,602"
66,"Warner Robins, GA Metropolitan Statistical Area","1,121","2,079"
67,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area","1,119","3,251"
68,"Salisbury, MD-DE Metropolitan Statistical Area","1,119","4,650"
69,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","1,117","21,614"
70,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","1,116","214,435"
71,"Albany, GA Metropolitan Statistical Area","1,114","1,635"
72,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area","1,107","54,762"
73,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area","1,102","26,044"
74,"Syracuse, NY Metropolitan Statistical Area","1,084","7,032"
75,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","1,075","8,286"
76,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","1,073","2,276"
77,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","1,064","6,482"
78,"Akron, OH Metropolitan Statistical Area","1,064","7,483"
79,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","1,062","42,255"
80,"Mobile, AL Metropolitan Statistical Area","1,059","4,549"
81,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area","1,059","2,874"
82,"Shreveport-Bossier City, LA Metropolitan Statistical Area","1,059","4,178"
83,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area","1,057","3,011"
84,"Pueblo, CO Metropolitan Statistical Area","1,053","1,773"
85,"San Antonio-New Braunfels, TX Metropolitan Statistical Area","1,047","26,708"
86,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area","1,046","34,933"
87,"Providence-Warwick, RI-MA Metropolitan Statistical Area","1,046","16,989"
88,"Fort Collins, CO Metropolitan Statistical Area","1,045","3,731"
89,"Asheville, NC Metropolitan Statistical Area","1,043","4,825"
90,"Rochester, NY Metropolitan Statistical Area","1,042","11,151"
91,"Panama City, FL Metropolitan Statistical Area","1,042","1,821"
92,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","1,035","136,827"
93,"Sebring-Avon Park, FL Metropolitan Statistical Area","1,035","1,099"
94,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","1,033","7,672"
95,"Topeka, KS Metropolitan Statistical Area","1,033","2,397"
96,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area","1,028","48,657"
97,"Spokane-Spokane Valley, WA Metropolitan Statistical Area","1,024","5,819"
98,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","1,022","25,469"
99,"Tucson, AZ Metropolitan Statistical Area","1,018","10,664"
100,"Pittsburgh, PA Metropolitan Statistical Area","1,016","23,543"
101,"Jackson, MS Metropolitan Statistical Area","1,011","6,014"
102,"Fresno, CA Metropolitan Statistical Area","1,010","10,091"
103,"Macon-Bibb County, GA Metropolitan Statistical Area","1,008","2,319"
104,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area","1,007","2,655"
105,"Greensboro-High Point, NC Metropolitan Statistical Area","1,007","7,770"
106,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","1,006","49,034"
107,"Sumter, SC Metropolitan Statistical Area","1,006","1,413"
108,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","1,002","43,295"
109,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area","1,001","1,261"
110,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","1,001","8,811"
111,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",997,"20,684"
112,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",997,"6,769"
