State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Alabama,"Credit Bureaus, Information Furnishers and Report Users","21,755",27%
Alabama,Identity Theft,"19,691",25%
Alabama,Imposter Scams,"9,047",11%
Alabama,Online Shopping and Negative Reviews,"3,693",5%
Alabama,"Prizes, Sweepstakes and Lotteries","2,377",3%
Alabama,Banks and Lenders,"2,331",3%
Alabama,Debt Collection,"2,307",3%
Alabama,Auto Related,"1,695",2%
Alabama,Internet Services,"1,265",2%
Alabama,Telephone and Mobile Services,1165,1%
Alaska,Imposter Scams,3514,38%
Alaska,Identity Theft,896,10%
Alaska,Online Shopping and Negative Reviews,658,7%
Alaska,"Prizes, Sweepstakes and Lotteries",506,5%
Alaska,"Credit Bureaus, Information Furnishers and Report Users",428,5%
Alaska,Banks and Lenders,275,3%
Alaska,Internet Services,253,3%
Alaska,"Privacy, Data Security, and Cyber Threat",230,2%
Alaska,Business and Job Opportunities,186,2%
Alaska,Health Care,159,2%
Arizona,Identity Theft,"28,108",27%
Arizona,Imposter Scams,"17,867",17%
Arizona,Online Shopping and Negative Reviews,"6,830",6%
Arizona,"Credit Bureaus, Information Furnishers and Report Users","6,741",6%
Arizona,Banks and Lenders,"4,213",4%
Arizona,"Prizes, Sweepstakes and Lotteries","3,060",3%
Arizona,Debt Collection,"2,939",3%
Arizona,Auto Related,"2,887",3%
Arizona,Internet Services,"2,581",2%
Arizona,Health Care,"2,559",2%
Arkansas,Identity Theft,"6,358",21%
Arkansas,Imposter Scams,"5,639",18%
Arkansas,"Credit Bureaus, Information Furnishers and Report Users","2,357",8%
Arkansas,Online Shopping and Negative Reviews,"2,151",7%
Arkansas,"Prizes, Sweepstakes and Lotteries",1571,5%
Arkansas,Banks and Lenders,1137,4%
Arkansas,Debt Collection,966,3%
Arkansas,Auto Related,951,3%
Arkansas,Business and Job Opportunities,879,3%
Arkansas,Internet Services,777,3%
California,Identity Theft,"133,119",25%
California,Imposter Scams,"82,860",16%
California,"Credit Bureaus, Information Furnishers and Report Users","59,313",11%
California,Online Shopping and Negative Reviews,"36,623",7%
California,Banks and Lenders,"23,062",4%
California,Debt Collection,"14,973",3%
California,Internet Services,"13,431",3%
California,"Prizes, Sweepstakes and Lotteries","13,410",3%
