State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Alabama,Bank Fraud,1067,5%
Alabama,Credit Card Fraud,"7,017",36%
Alabama,Employment or Tax-Related Fraud,"1,453",7%
Alabama,Government Documents or Benefits Fraud,"3,284",17%
Alabama,Loan or Lease Fraud,"3,033",15%
Alabama,Other Identity Theft,"6,433",33%
Alabama,Phone or Utilities Fraud,"1,097",6%
Alaska,Bank Fraud,155,17%
Alaska,Credit Card Fraud,219,24%
Alaska,Employment or Tax-Related Fraud,124,14%
Alaska,Government Documents or Benefits Fraud,175,20%
Alaska,Loan or Lease Fraud,120,13%
Alaska,Other Identity Theft,240,27%
Alaska,Phone or Utilities Fraud,83,9%
Arizona,Bank Fraud,"1,727",6%
Arizona,Credit Card Fraud,"5,783",21%
Arizona,Employment or Tax-Related Fraud,"2,756",10%
Arizona,Government Documents or Benefits Fraud,"11,469",41%
Arizona,Loan or Lease Fraud,"3,088",11%
Arizona,Other Identity Theft,"6,344",23%
Arizona,Phone or Utilities Fraud,"1,584",6%
Arkansas,Bank Fraud,477,8%
Arkansas,Credit Card Fraud,"1,607",25%
Arkansas,Employment or Tax-Related Fraud,862,14%
Arkansas,Government Documents or Benefits Fraud,719,11%
Arkansas,Loan or Lease Fraud,999,16%
Arkansas,Other Identity Theft,"2,456",39%
Arkansas,Phone or Utilities Fraud,485,8%
California,Bank Fraud,"9,961",7%
California,Credit Card Fraud,"61,904",47%
California,Employment or Tax-Related Fraud,"11,389",9%
California,Government Documents or Benefits Fraud,"8,250",6%
California,Loan or Lease Fraud,"20,792",16%
California,Other Identity Theft,"38,424",29%
California,Phone or Utilities Fraud,"8,743",7%
Colorado,Bank Fraud,"2,006",6%
Colorado,Credit Card Fraud,"3,135",9%
Colorado,Employment or Tax-Related Fraud,"1,871",6%
Colorado,Government Documents or Benefits Fraud,"23,292",69%
Colorado,Loan or Lease Fraud,"1,335",4%
Colorado,Other Identity Theft,"3,874",12%
Colorado,Phone or Utilities Fraud,687,2%
Connecticut,Bank Fraud,842,13%
Connecticut,Credit Card Fraud,"2,248",34%
Connecticut,Employment or Tax-Related Fraud,641,10%
Connecticut,Government Documents or Benefits Fraud,"1,012",15%
Connecticut,Loan or Lease Fraud,886,13%
Connecticut,Other Identity Theft,"1,792",27%
Connecticut,Phone or Utilities Fraud,675,10%
Delaware,Bank Fraud,720,13%
Delaware,Credit Card Fraud,"1,386",25%
Delaware,Employment or Tax-Related Fraud,232,4%
Delaware,Government Documents or Benefits Fraud,1256,23%
Delaware,Loan or Lease Fraud,725,13%
Delaware,Other Identity Theft,1639,30%
Delaware,Phone or Utilities Fraud,458,8%
District of Columbia,Bank Fraud,412,10%
District of Columbia,Credit Card Fraud,1102,27%
District of Columbia,Employment or Tax-Related Fraud,279,7%
District of Columbia,Government Documents or Benefits Fraud,1397,34%
District of Columbia,Loan or Lease Fraud,382,9%
District of Columbia,Other Identity Theft,879,22%
District of Columbia,Phone or Utilities Fraud,160,4%
Florida,Bank Fraud,"9,454",9%
Florida,Credit Card Fraud,"47,073",43%
Florida,Employment or Tax-Related Fraud,"5,543",5%
Florida,Government Documents or Benefits Fraud,"10,083",9%
Florida,Loan or Lease Fraud,"17,804",16%
Florida,Other Identity Theft,"37,099",34%
Florida,Phone or Utilities Fraud,"7,503",7%
Georgia,Bank Fraud,"2,670",4%
Georgia,Credit Card Fraud,"26,199",40%
Georgia,Employment or Tax-Related Fraud,"3,254",5%
Georgia,Government Documents or Benefits Fraud,"2,383",4%
Georgia,Loan or Lease Fraud,"14,917",23%
Georgia,Other Identity Theft,"28,320",43%
Georgia,Phone or Utilities Fraud,"5,410",8%
Hawaii,Bank Fraud,252,8%
Hawaii,Credit Card Fraud,628,21%
Hawaii,Employment or Tax-Related Fraud,228,8%
Hawaii,Government Documents or Benefits Fraud,"1,256",42%
Hawaii,Loan or Lease Fraud,245,8%
Hawaii,Other Identity Theft,622,21%
Hawaii,Phone or Utilities Fraud,106,4%
Idaho,Bank Fraud,338,12%
Idaho,Credit Card Fraud,540,20%
Idaho,Employment or Tax-Related Fraud,274,10%
Idaho,Government Documents or Benefits Fraud,954,35%
Idaho,Loan or Lease Fraud,279,10%
Idaho,Other Identity Theft,547,20%
Idaho,Phone or Utilities Fraud,160,6%
Illinois,Bank Fraud,"5,257",4%
Illinois,Credit Card Fraud,"14,181",12%
Illinois,Employment or Tax-Related Fraud,"5,398",5%
Illinois,Government Documents or Benefits Fraud,"76,376",65%
Illinois,Loan or Lease Fraud,"6,810",6%
Illinois,Other Identity Theft,"15,395",13%
Illinois,Phone or Utilities Fraud,"3,328",3%
Indiana,Bank Fraud,"1,467",12%
Indiana,Credit Card Fraud,"2,758",23%
Indiana,Employment or Tax-Related Fraud,"1,464",12%
Indiana,Government Documents or Benefits Fraud,"2,775",23%
Indiana,Loan or Lease Fraud,"1,475",12%
Indiana,Other Identity Theft,"3,084",26%
Indiana,Phone or Utilities Fraud,896,8%
Iowa,Bank Fraud,454,12%
Iowa,Credit Card Fraud,843,22%
Iowa,Employment or Tax-Related Fraud,503,13%
Iowa,Government Documents or Benefits Fraud,1104,29%
Iowa,Loan or Lease Fraud,381,10%
Iowa,Other Identity Theft,758,20%
Iowa,Phone or Utilities Fraud,270,7%
Kansas,Bank Fraud,1455,4%
Kansas,Credit Card Fraud,"1,390",4%
Kansas,Employment or Tax-Related Fraud,"1,372",3%
Kansas,Government Documents or Benefits Fraud,"33,334",84%
Kansas,Loan or Lease Fraud,757,2%
Kansas,Other Identity Theft,"2,402",6%
Kansas,Phone or Utilities Fraud,334,1%
Kentucky,Bank Fraud,912,9%
Kentucky,Credit Card Fraud,"1,248",12%
Kentucky,Employment or Tax-Related Fraud,"1,008",10%
Kentucky,Government Documents or Benefits Fraud,"5,528",53%
Kentucky,Loan or Lease Fraud,725,7%
Kentucky,Other Identity Theft,"1,690",16%
Kentucky,Phone or Utilities Fraud,460,4%
Louisiana,Bank Fraud,1097,3%
Louisiana,Credit Card Fraud,"12,505",37%
Louisiana,Employment or Tax-Related Fraud,"1,426",4%
Louisiana,Government Documents or Benefits Fraud,"2,323",7%
Louisiana,Loan or Lease Fraud,"10,890",32%
Louisiana,Other Identity Theft,"12,891",38%
Louisiana,Phone or Utilities Fraud,"3,378",10%
Maine,Bank Fraud,231,10%
Maine,Credit Card Fraud,303,14%
Maine,Employment or Tax-Related Fraud,195,9%
Maine,Government Documents or Benefits Fraud,"1,134",51%
Maine,Loan or Lease Fraud,144,6%
Maine,Other Identity Theft,354,16%
Maine,Phone or Utilities Fraud,93,4%
Maryland,Bank Fraud,"2,458",8%
Maryland,Credit Card Fraud,"8,677",29%
Maryland,Employment or Tax-Related Fraud,"1,332",4%
Maryland,Government Documents or Benefits Fraud,"9,228",31%
Maryland,Loan or Lease Fraud,"3,555",12%
Maryland,Other Identity Theft,"7,670",26%
Maryland,Phone or Utilities Fraud,"1,801",6%
Massachusetts,Bank Fraud,"1,688",10%
Massachusetts,Credit Card Fraud,"4,029",24%
