Data Contributors,,,
,,,
FTC,,,
Year,Data Contributor,# of Reports,%
2019,FTC - Web Reports (IDT),"477,492",13.93%
2019,FTC - Web Reports (Fraud & Other),"455,546",13.29%
2019,FTC - Mobile Reports (Fraud & Other),"358,136",10.44%
2019,FTC - Mobile Reports (IDT),"101,692",2.97%
2019,"FTC - ""877 FTC HELP"" (Fraud & Other)","342,946",10.00%
2019,"FTC - ""877 ID THEFT""","71,339",2.08%
2020,FTC - Web Reports (IDT),"1,066,274",21.92%
2020,FTC - Web Reports (Fraud & Other),"639,779",13.15%
2020,FTC - Mobile Reports (Fraud & Other),"515,048",10.59%
2020,FTC - Mobile Reports (IDT),"216,320",4.45%
2020,"FTC - ""877 FTC HELP"" (Fraud & Other)","232,843",4.79%
2020,"FTC - ""877 ID THEFT""","105,000",2.16%
2021,FTC - Web Reports (IDT),"1,001,737",17.46%
2021,FTC - Web Reports (Fraud & Other),"814,297",14.19%
2021,FTC - Mobile Reports (Fraud & Other),"679,034",11.84%
2021,FTC - Mobile Reports (IDT),"218,457",3.81%
2021,"FTC - ""877 FTC HELP"" (Fraud & Other)","199,392",3.48%
2021,"FTC - ""877 ID THEFT""","92,057",1.60%
,,,
Top Data Contributors,,,
Year,Data Contributor,# of Reports,%
2019,Consumer Financial Protection Bureau,"353,149",10.30%
2019,Better Business Bureau,"675,269",19.69%
2019,Social Security Administration,1,0.00%
2019,Internet Crime Complaint Center,"100,574",2.93%
2020,Consumer Financial Protection Bureau,"525,719",10.81%
2020,Better Business Bureau,"885,011",18.19%
2020,Internet Crime Complaint Center,"208,090",4.28%
2021,Consumer Financial Protection Bureau,"843,956",14.71%
2021,Better Business Bureau,"755,923",13.18%
2021,Australian Competition and Consumer Commission,"207,089",3.61%
2021,Social Security Administration,"180,752",3.15%
2021,Internet Crime Complaint Center,"161,414",2.81%
,,,
Other Data Contributors,,,
Year,Data Contributor,# of Reports,%
2019,U.S. Department of Justice Disaster Fraud Task Force,129,0.00%
2019,Publishers Clearing House,"100,471",2.93%
2019,Microsoft Corporation Cyber Crime Center,"77,769",2.27%
2019,U.S. Department of Education,"42,698",1.25%
2019,MoneyGram International & Western Union Money Transfer,"52,860",1.54%
