Top Three Identity Theft Reports by Year,,
,,
Theft Type,Year,# of Reports
2017,Credit Card Fraud,"133,107"
2017,Government Documents or Benefits Fraud,"25,961"
2017,Loan or Lease Fraud,"30,101"
2018,Credit Card Fraud,"157,745"
2018,Government Documents or Benefits Fraud,"24,959"
2018,Loan or Lease Fraud,"51,944"
2019,Credit Card Fraud,"271,938"
2019,Government Documents or Benefits Fraud,"23,242"
2019,Loan or Lease Fraud,"104,776"
2020,Credit Card Fraud,"393,378"
2020,Government Documents or Benefits Fraud,"407,512"
2020,Loan or Lease Fraud,"205,072"
2021,Credit Card Fraud,"389,737"
2021,Government Documents or Benefits Fraud,"395,948"
2021,Loan or Lease Fraud,"197,914"
,,
,,
The top identity theft types can vary by year. This table shows the top three types of identity theft reported in 2021 and how those types changed over five years.,,
,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,
