Major Data Contributors,,,
,,,
Data Contributor,Data Contributor Type,# of Reports,%
FTC - Web Reports (IDT),FTC,"1,001,737",17.46%
FTC - Web Reports (Fraud & Other),FTC,"814,297",14.19%
FTC - Mobile Reports (Fraud & Other),FTC,"679,034",11.84%
FTC - Mobile Reports (IDT),FTC,"218,457",3.81%
"FTC - ""877 FTC HELP"" (Fraud & Other)",FTC,"199,392",3.48%
"FTC - ""877 ID THEFT""",FTC,"92,057",1.60%
Consumer Financial Protection Bureau,Other Data Contributors,"843,956",14.71%
Better Business Bureau,Other Data Contributors,"755,923",13.18%
Other Data Contributors,Other Data Contributors,"449,648",7.84%
Australian Competition and Consumer Commission,Other Data Contributors,"207,089",3.61%
Social Security Administration,Other Data Contributors,"180,752",3.15%
Internet Crime Complaint Center,Other Data Contributors,"161,414",2.81%
State Law Enforcement Agencies,Other Data Contributors,"133,509",2.33%
,,,
"Percentages are based on the total number of 2021 Sentinel reports (5,737,265). Where appropriate, the type of report provided by the organization is indicated in parenthesis.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",,,
