Metropolitan Area,Reports per 100K Population
"Burlington-South Burlington, VT Metropolitan Statistical Area",337
"Claremont-Lebanon, NH-VT Micropolitan Statistical Area",401
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
