Metropolitan Area,Reports per 100K Population
"Boulder, CO Metropolitan Statistical Area",442
"Colorado Springs, CO Metropolitan Statistical Area",552
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",543
"Fort Collins, CO Metropolitan Statistical Area",440
"Grand Junction, CO Metropolitan Statistical Area",380
"Greeley, CO Metropolitan Statistical Area",409
"Pueblo, CO Metropolitan Statistical Area",481
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Colorado Attorney General.",
